,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31
AdjustmentForAmortization,1806.000,,,,1803.000,,100003.000,,
AmortizationOfDebtDiscountPremium,,,,,,2406.000,100003.000,,
AmortizationOfFinancingCosts,,,,,,3228.000,100003.000,46565.000,0.000
AmortizationOfFinancingCostsAndDiscounts,,,,,5920.000,,,,
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,,,,,740000.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,533666.000,533666.000,,
AssetImpairmentCharges,,,,,,,,7758.000,2612.000
CashAndCashEquivalentsPeriodIncreaseDecrease,11038.000,,,,76290.000,,-189677.000,,
ComprehensiveIncomeNetOfTax,-83710.000,-75396.000,-95207.000,-107779.000,600303.000,-118031.000,-432986.000,3271744.000,43105.000
CostOfPropertyRepairsAndMaintenance,,,,,,,,0.000,0.000
CostsAndExpenses,80553.000,92876.000,88428.000,116108.000,210504.000,118132.000,424982.000,,
DebtInstrumentDecreaseForgiveness,14468.000,,,,,,,,
DebtInstrumentPeriodicPaymentInterest,,,,,,100.000,,,
DepreciationAndAmortization,1806.000,1805.000,1805.000,1805.000,1803.000,,,,
EarningsPerShareBasic,0.000,0.000,,,0.020,-0.010,-0.020,0.190,0.000
EarningsPerShareBasicAndDiluted,,,0.000,,,,,,
EarningsPerShareDiluted,,,,,0.020,-0.010,-0.020,0.180,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,-4526.000,,,,-3379.000,,-4615.000,,
FinancingInterestExpense,2382.000,2169.000,2227.000,2303.000,430.000,5.000,,0.000,0.000
ForeignCurrencyTransactionGainLossBeforeTax,3578.000,,,,-7513.000,216.000,2449.000,-1079.000,-1385.000
ForeignCurrencyTransactionGainLossRealized,,,,,1813.000,,,,
ForeignCurrencyTransactionGainLossUnrealized,,,,,,101.000,-3929.000,-3244.000,1806.000
ForeignCurrencyTransactionLossBeforeTax,3578.000,-830.000,110.000,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,808994.000,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,0.000,0.000
GeneralAndAdministrativeExpense,13933.000,17506.000,7931.000,16861.000,14337.000,15487.000,24124.000,28389.000,4966.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,3274988.000,41299.000
IncomeTaxExpenseBenefit,,,,,,,5000.000,0.000,0.000
IncreaseDecreaseInAccountsAndOtherReceivables,,,,,-3596.000,,30225.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-21378.000,,,,-38717.000,,146503.000,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,-2586.000,,
IncreaseDecreaseInDueToOfficersAndStockholders,,,,,-240619.000,,,,
IncreaseDecreaseInNotesPayableCurrent,,,,,,1500000.000,-232084.000,,
IncreaseDecreaseInOtherReceivables,-2277.000,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,576150.000,,
