,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30
AccountsPayableCurrent,1006709.000,911865.000,1397549.000,1954744.000,3175240.000,4387831.000,4329829.000,4512878.000
AccountsReceivableNetCurrent,,88036.000,668707.000,201120.000,389264.000,239015.000,17013.000,8882.000
AccruedLiabilitiesCurrentAndNoncurrent,204929.000,209730.000,214605.000,209656.000,279063.000,330166.000,429603.000,565235.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,18284.000,24955.000,167256.000,571474.000,994940.000,1418211.000,0.000,0.000
Assets,27675786.000,27229381.000,26135631.000,26454321.000,25551777.000,18145791.000,17911318.000,17319444.000
AssetsCurrent,5560436.000,4671432.000,3286288.000,3720502.000,3259026.000,654933.000,1201722.000,613231.000
AssetsHeldForSaleLongLivedFairValueDisclosure,,,,,1875637.000,650262.000,16709596.000,16706213.000
AssetsHeldForSaleOtherNoncurrent,1875637.000,1875637.000,1875637.000,1875637.000,1875637.000,650262.000,16709596.000,16706213.000
CashAndCashEquivalentsAtCarryingValue,4968119.000,662946.000,170566.000,56796.000,111399.000,64331.000,199869.000,7014.000
CertificatesOfDepositAtCarryingValue,519098.000,255923.000,0.000,0.000,0.000,0.000,,
CommonStockSharesOutstanding,33018.000,33018.000,33018.000,33280.000,33348.000,33348.000,33348.000,33348.000
ConstructionInProgressGross,8833494.000,9902982.000,0.000,76392.000,0.000,0.000,,
ConstructionPayableCurrent,,,,,1179000.000,,,
ContractReceivableRetainage,,,,,,,253726.000,
ContractualObligation,,,,,8000000.000,8000000.000,8000000.000,8000000.000
DebtCurrent,,,,,5663185.000,5606432.000,5606432.000,5606432.000
DebtInstrumentCarryingAmount,,,,,6711296.000,6654543.000,6716199.000,6716199.000
DeferredFinanceCostsNet,132716.000,135530.000,128189.000,0.000,0.000,0.000,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,10617682.000,11585170.000,,,,,,
EscrowDeposit,1052588.000,379894.000,379932.000,379950.000,379961.000,379979.000,0.000,0.000
InterestReceivableCurrent,2424.000,850.000,0.000,0.000,0.000,,,
InventoryFinishedGoodsNetOfReserves,,,,,1997962.000,50909.000,26388.000,10615.000
InventoryGross,15292.000,3602931.000,2278023.000,3249044.000,2735894.000,216962.000,105758.000,47651.000
InventoryNet,,,,,2735894.000,216962.000,105758.000,47651.000
InventoryRawMaterialsNetOfReserves,,,,,377654.000,166053.000,79370.000,37036.000
InventoryWorkInProcessNetOfReserves,,,,,360278.000,0.000,,
LandAndLandImprovements,,,,,508526.000,431801.000,0.000,0.000
LiabilitiesAndStockholdersEquity,27675786.000,27229381.000,26135631.000,26454321.000,25551777.000,18145791.000,17911318.000,17319444.000
LiabilitiesCurrent,1565244.000,2205921.000,2911422.000,10043007.000,11065597.000,10574429.000,10894364.000,11054545.000
LineOfCreditFacilityAmountOutstanding,,,,2097758.000,1698109.000,0.000,,
LinesOfCreditCurrent,,610500.000,858722.000,,,,,
LongTermDebtCurrent,353606.000,473826.000,440546.000,5780849.000,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextRollingTwelveMonths,,,,,5663185.000,5606432.000,5606432.000,5606432.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFive,,,,,1048111.000,1048111.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFour,,,,,0.000,0.000,1109767.000,1109767.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearThree,,,,,0.000,0.000,0.000,0.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwo,,,,,0.000,0.000,0.000,0.000
LongTermDebtNoncurrent,5696652.000,5577058.000,5457925.000,770000.000,1048111.000,1048111.000,1109767.000,1109767.000
MachineryAndEquipmentGross,6303038.000,6313762.000,15629656.000,15937509.000,16028797.000,13613377.000,0.000,0.000
OtherAssets,10804.000,43419.000,10855.000,43420.000,10854.000,0.000,,
OtherAssetsNoncurrent,3222310.000,2585246.000,2545465.000,2449914.000,2417416.000,1181262.000,16709596.000,16706213.000
PrepaidExpenseAndOtherAssets,55503.000,60746.000,168992.000,213542.000,22469.000,134625.000,100363.000,87352.000
PropertyPlantAndEquipmentGross,10059546.000,10069721.000,20303878.000,20207513.000,19875335.000,16309596.000,,
PropertyPlantAndEquipmentNet,18893040.000,19972703.000,20303878.000,20283905.000,19875335.000,16309596.000,0.000,0.000
RestrictedCashAndCashEquivalentsAtCarryingValue,,,,,,,524993.000,462332.000
RetentionPayable,,,,,374000.000,374000.000,374000.000,374000.000
ShortTermBorrowings,,,,,250000.000,250000.000,528500.000,370000.000
StockholdersEquity,,,,15641314.000,13438069.000,6523251.000,5907187.000,5155132.000
