,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AdjustmentsToAdditionalPaidInCapitalOther,522000.000,,,,,,,,,,,,,,,
AdvertisingExpense,,,,,,,,,,,,,,5035.000,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,22500.000,60000.000,5500.000,254749.000,,1431499.000,141800.000
AmortizationOfFinancingCosts,,,,,,,,,,94670.000,,,,0.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,220000000.000,,,,,,,108842933.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-144353.000,,,,-26784.000,,,,-17692.000,,,,15064.000,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,0.000,,,,0.000,,,,47678.000,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,0.000,,,,0.000,,,,0.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,-1309424.000,,,,,,,,98307.000,,
CostOfRevenue,857422.000,741625.000,418813.000,404509.000,725104.000,898669.000,1726871.000,1802895.000,1072295.000,1942364.000,893352.000,904568.000,-1122474.000,402432.000,408376.000,242885.000
Depreciation,,,,,,,,,,5953.000,,,,4289.000,,
DepreciationAmortizationAndAccretionNet,,926668.000,,,,225782.000,,,,100623.000,,,,4289.000,,
DepreciationDepletionAndAmortization,690877.000,926668.000,260089.000,489308.000,131800.000,225782.000,66937.000,160930.000,160009.000,100623.000,5989.000,6074.000,-3514.000,4289.000,41359.000,54464.000
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationsBeforeIncomeTax,,,,,,1309424.000,,,,0.000,,,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,1309424.000,,,,0.000,,,,0.000,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,1309424.000,,,,0.000,,,,-137094.000,277637.000,-12077.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,-22837.000,-22837.000,-22837.000,-22836.000,1309424.000,,,,,,,,-137094.000,277637.000,-12077.000
DiscontinuedOperationProvisionForLossGainOnDisposalBeforeIncomeTax,,,,,,0.000,,,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,,0.000,,,,0.000,,,,0.000,,
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,,,,,,,,,0.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,,,,,,,,,,0.000,,,,,,
