,2012-03-31,2013-03-31
AdjustmentsToAdditionalPaidInCapitalOther,20340.000,15442.000
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,637502.000
AllocatedShareBasedCompensationExpense,,637502.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-6649.000,507346.000
DebtInstrumentDecreaseForgiveness,,15442.000
EarningsPerShareBasic,0.000,
EarningsPerShareBasicAndDiluted,,0.000
EffectiveIncomeTaxRateContinuingOperations,,0.340
GeneralAndAdministrativeExpense,26891.000,1194638.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,198000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-406000.000
IncomeTaxReconciliationNondeductibleExpense,,208000.000
IncomeTaxesPaid,0.000,
IncreaseDecreaseInAccountsPayable,,53574.000
IncreaseDecreaseInPrepaidExpense,-5333.000,-5333.000
InterestIncomeExpenseNet,,1106.000
InterestPaid,0.000,
NetCashProvidedByUsedInFinancingActivities,25575.000,1504469.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,25575.000,1504469.000
NetCashProvidedByUsedInOperatingActivities,-32224.000,-497123.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-32224.000,-497123.000
NetIncomeLoss,-26891.000,-1193532.000
OperatingExpenses,,1194638.000
OperatingIncomeLoss,,-1194638.000
PaymentsToAcquireMineralRights,,500000.000
ProceedsFromIssuanceOfCommonStock,22600.000,1500000.000
ProceedsFromLoans,2975.000,
ProceedsFromRepaymentsOfRelatedPartyDebt,,11969.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,6158669.000
StockIssuedDuringPeriodSharesOther,2260000.000,
StockIssuedDuringPeriodValueNewIssues,,1500000.000
StockIssuedDuringPeriodValuePurchaseOfAssets,,37435904.000
StockholdersEquityOther,,-7500.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,188000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,75486205.000
WeightedAverageNumberOfSharesOutstandingBasic,8390109.000,
