,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AllocatedShareBasedCompensationExpense,,,600000.000,400000.000,,400000.000,500000.000,200000.000,
AmortizationOfFinancingCosts,,881000.000,,,,890000.000,,,
ComprehensiveIncomeNetOfTax,,-4487000.000,-4076000.000,-2565000.000,-2456000.000,4207000.000,3780000.000,-575000.000,-7437000.000
CostOfServices,8981000.000,9037000.000,11401000.000,11933000.000,12437000.000,12738000.000,12409000.000,13373000.000,15902000.000
CostsAndExpenses,42177000.000,45259000.000,46732000.000,48024000.000,53788000.000,48424000.000,48794000.000,52181000.000,57462000.000
DeferredIncomeTaxExpenseBenefit,,1972000.000,,,,1242000.000,,,
DepreciationDepletionAndAmortization,6747000.000,6664000.000,6700000.000,6946000.000,6703000.000,6662000.000,6493000.000,6486000.000,6587000.000
FuelCosts,6981000.000,7891000.000,7178000.000,7361000.000,8019000.000,8410000.000,7739000.000,8482000.000,9967000.000
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,,9000.000,26000.000,,69000.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-4445000.000,-2527000.000,-2527000.000,64000.000,-720000.000,5428000.000,3233000.000,-1124000.000,4609000.000
IncomeTaxExpenseBenefit,4357000.000,1972000.000,1563000.000,2641000.000,1428000.000,1242000.000,-526000.000,-528000.000,11950000.000
IncreaseDecreaseInAccountsAndOtherReceivables,,1646000.000,,,,4407000.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-12982000.000,,,,-9070000.000,,,
IncreaseDecreaseInAccruedTaxesPayable,,-4904000.000,,,,1637000.000,,,
IncreaseDecreaseInDeferredRevenue,,-551000.000,,,,278000.000,,,
IncreaseDecreaseInMaterialsAndSupplies,,2159000.000,,,,886000.000,,,
IncreaseDecreaseInOtherCurrentLiabilities,,172000.000,,,,47000.000,,,
IncreaseDecreaseInOtherNoncurrentLiabilities,,3985000.000,,,,-5976000.000,,,
IncreaseDecreaseInOtherOperatingAssets,,-182000.000,,,,-111000.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,2178000.000,,,
InterestIncomeExpenseNonoperatingNet,-14454000.000,-14615000.000,-14371000.000,-14877000.000,-14952000.000,-14965000.000,-14881000.000,-15114000.000,-15175000.000
InterestPaid,,19277000.000,,,,19297000.000,,,
LaborAndRelatedExpense,10782000.000,12231000.000,11922000.000,11677000.000,12755000.000,13039000.000,13618000.000,14144000.000,14580000.000
LeaseAndRentalExpense,2780000.000,3147000.000,3187000.000,3435000.000,3654000.000,4018000.000,3898000.000,3901000.000,4613000.000
NetCashProvidedByUsedInContinuingOperations,,-18890000.000,,,,-4794000.000,,,
NetCashProvidedByUsedInFinancingActivities,,-535000.000,,,,-1128000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-535000.000,,,,-1128000.000,,,
NetCashProvidedByUsedInInvestingActivities,,-5178000.000,,,,-5108000.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-5178000.000,,,,-5108000.000,,,
NetCashProvidedByUsedInOperatingActivities,,-13177000.000,,,,1442000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-13177000.000,,,,1442000.000,,,
NetIncomeLoss,-8802000.000,-4499000.000,-4090000.000,-2577000.000,-2148000.000,4186000.000,3759000.000,-596000.000,-7341000.000
OperatingIncomeLoss,10017000.000,12086000.000,11767000.000,14938000.000,14229000.000,20342000.000,18110000.000,13987000.000,19781000.000
OtherCostAndExpenseOperating,5893000.000,6374000.000,6353000.000,6698000.000,6749000.000,3626000.000,4637000.000,5795000.000,5114000.000
OtherNonoperatingIncomeExpense,-8000.000,2000.000,77000.000,3000.000,3000.000,51000.000,4000.000,3000.000,3000.000
PaidInKindInterest,,,,,,8592000.000,,,
PaymentsForRepurchaseOfCommonStock,,535000.000,,,,1128000.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,,5430000.000,,,,5684000.000,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,252000.000,,,,576000.000,,,
SalesRevenueServicesNet,52194000.000,57345000.000,58499000.000,62962000.000,68017000.000,68766000.000,66904000.000,66168000.000,77243000.000
ShareBasedCompensation,,502000.000,,,,383000.000,,,
