,2011-07-31,2011-10-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,13431347.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-111081.000,-143627.000,17028.000,-53485.000,-1359.000,-56818.000,8626.000,,13487.000
ComprehensiveIncomeNetOfTax,,,,-291844.000,-190268.000,,-120134.000,-173232.000,-184698.000
CostOfGoodsAndServicesSold,,,,407419.000,568164.000,,394078.000,264377.000,
DeferredRevenuePeriodIncreaseDecrease,,,486768.000,15219.000,,,,,
Depreciation,3400.000,3401.000,,,,,,,
DepreciationAndAmortization,,,6119.000,6115.000,-6143.000,18444.000,5653.000,5717.000,4711.000
DepreciationDepletionAndAmortization,,,,,6143.000,,5653.000,,4711.000
EarningsPerShareBasic,,,,,,,0.000,,
EarningsPerShareBasicAndDiluted,-0.000,-0.030,,,0.000,,0.000,-0.010,-0.000
EarningsPerShareDiluted,,,,,,,0.000,,
EffectOfExchangeRateOnCashAndCashEquivalents,3.000,16.000,3.000,261.000,153.000,-2174.000,-1769.000,,-2786.000
ForeignCurrencyTransactionGainLossBeforeTax,,,,,-760.000,,4739.000,12696.000,4363.000
GeneralAndAdministrativeExpense,159514.000,153395.000,,,-270291.000,,138751.000,100742.000,105822.000
GrossProfit,,,,,159694.000,,267100.000,120963.000,
IncomeLossFromContinuingOperations,-159514.000,-153395.000,,-264631.000,,,,,
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,,,,,,,-1.000,,-1.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-159514.000,-153395.000,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,1.000,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,-264631.000,-236283.000,,19623.000,-685968.000,-218471.000
IncomeLossFromContinuingOperationsPerDilutedShare,,0.010,,,,,,,
IncomeLossFromOperationsBeforeExtraordinaryItemsPerBasicAndDilutedShare,,,,,,,19624.000,,
IncreaseDecreaseInAccountsAndOtherReceivables,,,15880.000,-340840.000,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,14787.000,-3875.000,317449.000,-116466.000,,,,,
IncreaseDecreaseInAccountsReceivable,,9.000,,,-92327.000,,-224912.000,,224380.000
IncreaseDecreaseInDeferredRevenue,,,,,-528488.000,,-214126.000,,
IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits,,,-96353.000,158970.000,,,,,
IncreaseDecreaseInDueToRelatedParties,-3.000,-26.000,,,,,,,
IncreaseDecreaseInInventories,,,-244435.000,-31421.000,105885.000,217791.000,200305.000,,-22793.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,,,133078.000,,-49376.000,,-76568.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,246116.000,,-406.000,,32850.000
IncreaseDecreaseInPrepaidExpense,,-20000.000,,,,,,,
IncreaseDecreaseInRestrictedCash,,,-116589.000,52567.000,,,,,
InterestAndDividendIncomeOperating,,,,210.000,,,,,
InterestExpenseRelatedParty,,,,,,,7519.000,,
InterestOnConvertibleDebtNetOfTax,30246.000,30243.000,37268.000,38247.000,,,,,
InvestmentIncomeInterest,,,,,120.000,,90.000,35.000,67.000
NetCashProvidedByUsedInFinancingActivities,,,-99589.000,395208.000,237050.000,-38310.000,218871.000,,28377.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-99589.000,395208.000,237050.000,-38310.000,218871.000,,28377.000
NetCashProvidedByUsedInOperatingActivities,-111084.000,-143643.000,116614.000,-448954.000,-238562.000,-16334.000,-208476.000,,-12104.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-111084.000,-143643.000,116614.000,-448954.000,-238562.000,-16334.000,-208476.000,,-12104.000
NetIncomeLoss,-159514.000,-153395.000,-507099.000,-264632.000,-236283.000,-3844314.000,19624.000,-685959.000,-218470.000
