,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsPayableCurrent,986307000.000,1044217000.000,882651000.000,1069096000.000,916248000.000,1035834000.000,1362702000.000,1217180000.000,1036122000.000,1170405000.000,900131000.000,1173313000.000,1145591000.000,1159726000.000,1104105000.000,1166431000.000,941596000.000,1013026000.000
AccountsReceivableGrossCurrent,557102000.000,693937000.000,790355000.000,568558000.000,452926000.000,560924000.000,693022000.000,568871000.000,636694000.000,651863000.000,753033000.000,670641000.000,701534000.000,703524000.000,765306000.000,596917000.000,638721000.000,636610000.000
AccountsReceivableNetCurrent,932137000.000,1203102000.000,1248373000.000,1001868000.000,829063000.000,1037450000.000,1147280000.000,1001715000.000,1031560000.000,1222433000.000,1267759000.000,1172186000.000,1128192000.000,1232949000.000,1313383000.000,1103255000.000,1067907000.000,1190363000.000
AccruedLiabilitiesCurrent,394985000.000,390089000.000,391712000.000,385512000.000,370761000.000,366799000.000,369286000.000,362226000.000,116542000.000,112450000.000,115507000.000,115139000.000,118741000.000,120015000.000,403492000.000,418128000.000,419471000.000,411157000.000
AccumulatedDeferredInvestmentTaxCredit,288591000.000,284852000.000,281112000.000,284747000.000,282140000.000,280041000.000,276413000.000,273696000.000,270912000.000,268128000.000,266547000.000,263765000.000,260714000.000,258419000.000,257036000.000,247521000.000,251616000.000,249345000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,214300000.000,,,,230400000.000,,,,203000000.000,,,,185500000.000,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,154370000.000,157556000.000,104207000.000,150939000.000,201045000.000,183020000.000,221450000.000,214547000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,48050000.000,34534000.000,21937000.000,177497000.000,322932000.000,214842000.000,108704000.000,79905000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,272207000.000,269868000.000,267211000.000,499556000.000,493289000.000,476229000.000,470032000.000,590712000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,2610000.000,2622000.000,2730000.000,2668000.000,2979000.000,2770000.000,3085000.000,3177000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-67177000.000,-75156000.000,-138337000.000,-168452000.000,33667000.000,-75597000.000,-136793000.000,-293083000.000,-303658000.000,-274303000.000,-243530000.000,-29324000.000,-5202000.000,31068000.000,20384000.000,-42307000.000,-59737000.000,-46816000.000
AdditionalPaidInCapital,5366518000.000,5366132000.000,5362959000.000,5360682000.000,5352256000.000,5356475000.000,5353519000.000,5357852000.000,5349885000.000,5355753000.000,5362424000.000,5368131000.000,5350632000.000,5358395000.000,5367768000.000,5375353000.000,5351690000.000,5362333000.000
AllowanceForDoubtfulAccountsReceivableCurrent,30754000.000,31002000.000,32139000.000,31159000.000,30079000.000,30226000.000,31525000.000,31956000.000,32122000.000,32130000.000,33482000.000,34311000.000,34064000.000,33719000.000,34687000.000,35663000.000,35884000.000,38398000.000
AssetRetirementObligationsNoncurrent,3164406000.000,3218881000.000,3274479000.000,3296570000.000,3352820000.000,3400985000.000,3456685000.000,3513634000.000,3525687000.000,3584788000.000,3702881000.000,3933416000.000,4040099000.000,4108256000.000,4272151000.000,4458296000.000,4513168000.000,4486356000.000
Assets,38598566000.000,39129761000.000,39161498000.000,40701699000.000,40930224000.000,40917605000.000,42023680000.000,43202502000.000,42792973000.000,43262285000.000,43324126000.000,43406446000.000,43876769000.000,44150747000.000,44541649000.000,46527854000.000,46377533000.000,46265651000.000
AssetsCurrent,3777586000.000,3863142000.000,4154498000.000,3622703000.000,3476337000.000,3203500000.000,3807750000.000,3683126000.000,3322873000.000,3591722000.000,3489590000.000,3929691000.000,4193316000.000,4245133000.000,4264539000.000,4389633000.000,4139985000.000,4085050000.000
AssetsNoncurrent,6182976000.000,6135864000.000,5925275000.000,6959945000.000,7102474000.000,6992817000.000,6892266000.000,7291712000.000,7213434000.000,7146157000.000,7148870000.000,6241626000.000,6277544000.000,6256501000.000,6157782000.000,7389149000.000,7315833000.000,7271714000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,,,,2054000000.000,2096000000.000
AvailableForSaleSecurities,3733000000.000,3775000000.000,3566000000.000,3788000000.000,4039000000.000,4015000000.000,4176000000.000,4190000000.000,4453000000.000,,,4903000000.000,4991000000.000,5165000000.000,5180000000.000,5371000000.000,5453000000.000,5389000000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,1613000000.000,1533000000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,,5000000.000,19000000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,498000000.000,548000000.000,603000000.000,583000000.000,568000000.000,555000000.000,557000000.000,562000000.000,558000000.000,555000000.000,574000000.000,620000000.000,637000000.000,612000000.000,666000000.000,681000000.000,692000000.000,693000000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,579000000.000,564000000.000,553000000.000,566000000.000,618000000.000,619000000.000,666000000.000,681000000.000,692000000.000,692000000.000,679000000.000,752000000.000,787000000.000,812000000.000,818000000.000,783000000.000,801000000.000,792000000.000
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,1488000000.000,1508000000.000,1504000000.000,1530000000.000,1589000000.000,1609000000.000,1612000000.000,1637000000.000,1654000000.000,1701000000.000,1709000000.000,1843000000.000,1895000000.000,1921000000.000,1957000000.000,2019000000.000,,
AvailableForSaleSecuritiesDebtMaturitiesFairValue,1525000000.000,1571000000.000,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,49000000.000,51000000.000,49000000.000,69000000.000,54000000.000,64000000.000,46000000.000,53000000.000,71000000.000,78000000.000,109000000.000,83000000.000,95000000.000,91000000.000,45000000.000,94000000.000,70000000.000,64000000.000
AvailableForSaleSecuritiesDebtSecurities,,,1636000000.000,1659000000.000,1669000000.000,1687000000.000,1723000000.000,1731000000.000,1748000000.000,1732000000.000,1740000000.000,1830000000.000,1930000000.000,1972000000.000,2006000000.000,2085000000.000,2126000000.000,2115000000.000
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,45000000.000,19000000.000,7000000.000,8000000.000,6000000.000,6000000.000,5000000.000,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,392000000.000,538000000.000,734000000.000,682000000.000,799000000.000,778000000.000,999000000.000,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,300000000.000,300000000.000,,,,,,,,,,,,,,,
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,0.500,0.500,,,,,,,,,,,,,,,
CapitalLeaseObligationsCurrent,3461000.000,3599000.000,3578000.000,3631000.000,3692000.000,3753000.000,3816000.000,3880000.000,3495000.000,3111000.000,2717000.000,2323000.000,2368000.000,2413000.000,2460000.000,2508000.000,2557000.000,2606000.000
CapitalLeaseObligationsNoncurrent,41187000.000,40177000.000,39341000.000,38421000.000,37471000.000,36513000.000,35531000.000,34541000.000,33976000.000,33402000.000,32814000.000,32218000.000,31608000.000,30988000.000,30354000.000,29710000.000,29051000.000,28382000.000
