,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,1971000.000,2053000.000,2907000.000,2161000.000,115000.000,400000.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,786000.000,,
AllocatedShareBasedCompensationExpense,,2053000.000,1829000.000,1718000.000,,
AssetRetirementObligationAccretionExpense,16000.000,40000.000,,,72000.000,80000.000
AssetRetirementObligationLiabilitiesIncurred,,,-691000.000,122000.000,162000.000,
AssetRetirementObligationLiabilitiesSettled,,,,,91000.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-9920000.000,-16304000.000,-10960000.000,-15223000.000,-8067000.000
ContributionsFromNoncontrollingInterests,,103807000.000,,,,
CostsAndExpenses,15219000.000,11378000.000,9757000.000,10969000.000,9735000.000,7127000.000
DebtConversionConvertedInstrumentAmount1,,,,,2488000.000,
DebtIssuanceCosts,,,,50000.000,80000.000,
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,12076000.000,,472000.000,,
DepreciationAndAmortization,412000.000,310000.000,341000.000,339000.000,251000.000,237000.000
EarningsPerShareBasicAndDiluted,-0.160,-0.110,-0.180,-0.120,-0.160,-0.070
EffectiveIncomeTaxRateContinuingOperations,,0.350,0.350,0.350,0.350,0.350
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,1078000.000,443000.000,155000.000,35000.000
EscrowDepositDisbursementsRelatedToPropertyAcquisition,1691000.000,1059000.000,,,,
EscrowDepositDisbursementsRelatedToPropertyAcquisition1,,,728000.000,-709000.000,,-7000.000
ExplorationExpenseMining,1568000.000,778000.000,772000.000,2097000.000,1032000.000,1077000.000
FairValueAssumptionsExpectedVolatilityRate,,,,,0.400,
FairValueAssumptionsRiskFreeInterestRate,,,,,0.015,
GainLossOnContractTermination,,,,,-4317000.000,
GainsLossesOnExtinguishmentOfDebt,,,,,-971000.000,
GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,,,804000.000,,,
GeneralAndAdministrativeExpense,10248000.000,10600000.000,8985000.000,8872000.000,8703000.000,6050000.000
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,,0.000,,-38000.000,-900000.000,-21000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-16304000.000,-10998000.000,-16123000.000,-8088000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-15448000.000,-9920000.000,,,,
IncomeTaxExpenseBenefit,0.000,0.000,0.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-10761000.000,-3569000.000,-8170000.000,417000.000,-2445000.000,-1400000.000
IncreaseDecreaseInDepositOtherAssets,,2158000.000,3689000.000,752000.000,11473000.000,
IncreaseDecreaseInInterestPayableNet,,,,,200000.000,
IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,,,,,74000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-43000.000,31000.000,489000.000,73000.000,-548000.000,-61000.000
