,2011-12-31,2012-12-31,2013-12-31
AllowanceForDoubtfulAccountsReceivableChargeOffs,,2295.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-48048.000,-42671.000,-51137.000
CostOfGoodsSold,34178.000,26155.000,16172.000
Depreciation,21107.000,20125.000,15972.000
DepreciationAndAmortization,,20125.000,15972.000
DepreciationExpense,21107.000,,
EarningsPerShareBasicAndDiluted,7624304.000,-0.010,-0.010
GeneralAndAdministrativeExpense,102491.000,83487.000,118942.000
GrossProfit,24064.000,45133.000,50681.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-107602.000,-59780.000,-84169.000
IncomeTaxExpenseBenefit,0.000,0.000,
IncomeTaxesPaid,0.000,,
IncreaseDecreaseInAccountsPayable,1107.000,7176.000,2567.000
IncreaseDecreaseInAccountsReceivable,-2779.000,-2616.000,1725.000
IncreaseDecreaseInAccruedLiabilities,11758.000,-13887.000,12781.000
IncreaseDecreaseInInventories,0.000,,
IncreaseDecreaseInOperatingAssets,,,-108.000
InterestIncomeExpenseNet,361.000,186.000,-64.000
InterestPaid,0.000,,
LeaseAndRentalExpense,,12000.000,12000.000
NetCashProvidedByUsedInFinancingActivities,139.000,255.000,68.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,139.000,255.000,68.000
NetCashProvidedByUsedInInvestingActivities,0.000,4569.000,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,4569.000,0.000
NetCashProvidedByUsedInOperatingActivities,-48187.000,-47495.000,-51205.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-48187.000,-47495.000,-51205.000
NetIncomeLoss,-107602.000,-59780.000,-84169.000
OperatingExpenses,132027.000,105099.000,134914.000
OperatingIncomeLoss,-107963.000,-59966.000,-84233.000
OtherIncome,0.000,186.000,-64.000
OtherLaborRelatedExpenses,,0.000,24720.000
ProceedsFromCustomers,,59580.000,57636.000
ProceedsFromIssuanceOfCommonStock,0.000,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,-4569.000,0.000
PropertyPlantAndEquipmentAdditions,0.000,,
ProvisionForDoubtfulAccounts,3222.000,1487.000,0.000
RepaymentsOfDebtAndCapitalLeaseObligations,-5844.000,5844.000,0.000
RepaymentsOfRelatedPartyDebt,5983.000,6099.000,68.000
Revenues,58242.000,71288.000,66853.000
SalesRevenueNet,58242.000,71102.000,66917.000
SellingAndMarketingExpense,8429.000,1487.000,0.000
ShareBasedGoodsAndNonemployeeServicesTransactionExpense,25000.000,0.000,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,-14945.000,-21042.000
WeightedAverageNumberOfSharesIssuedBasic,-0.010,7755400.000,7755400.000
