,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForRevisionInEstimates,,,,,12000000.000,,,,5000000.000,,,,-16000000.000,,,,-5000000.000,,,,-19000000.000,,,,26000000.000,
AccrualForEnvironmentalLossContingenciesPayments,9000000.000,,,,12000000.000,,,,8000000.000,,,,19000000.000,,,,16000000.000,,,,7000000.000,,,,,
AccrualForEnvironmentalLossContingenciesPayments1,,,,,,,,,,,,,,,,,,,,,,,,,11000000.000,
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,40000000.000,,,,17000000.000,,,,68000000.000,,,,112000000.000,,,,44000000.000,,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,113000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,50000000.000,,,,58000000.000,,,,55000000.000,,,,47000000.000,,,,54000000.000,,,,48000000.000,
AmortizationOfFinancingCostsAndDiscounts,4000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,49000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,,,,,,6700000.000,,,,
AssetImpairmentCharges,10000000.000,,,,36000000.000,,,,26000000.000,,,,29000000.000,,,,17000000.000,,,,33000000.000,,,,23000000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,311000000.000,,,,-3331000000.000,,,,-2006000000.000,,,,-2146000000.000,,,,-3078000000.000,,,,-3416000000.000,,,,-611000000.000,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,52000000.000,,,,31000000.000,,,,43000000.000,,,,-11000000.000,,,,-147000000.000,,,,-123000000.000,,,,-72000000.000,
CommonStockDividendsPerShareCashPaid,0.420,0.420,0.420,,0.440,0.440,0.440,,0.490,0.485,0.485,,0.730,0.730,0.730,,0.910,0.910,0.910,,1.090,1.090,1.090,,1.420,1.420
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,,,,,,,,,,,,,0.000,
ComprehensiveIncomeNetOfTax,942000000.000,,,,1329000000.000,1246000000.000,1590000000.000,,,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,,,,1000000.000,-1000000.000,-1000000.000,0.000,,-1000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,1483000000.000,1354000000.000,1747000000.000,7532000000.000,1979000000.000,1880000000.000,1371000000.000,-3783000000.000,1423000000.000,1505000000.000,1860000000.000,1540000000.000,1130000000.000,-192000000.000,2415000000.000,666000000.000,1659000000.000,1941000000.000
CostOfGoodsSold,9506000000.000,10823000000.000,12006000000.000,14307000000.000,13661000000.000,14759000000.000,14683000000.000,17206000000.000,13728000000.000,16437000000.000,16865000000.000,18610000000.000,15258000000.000,16674000000.000,18091000000.000,18528000000.000,16380000000.000,19247000000.000,19393000000.000,18426000000.000,16945000000.000,20265000000.000,17907000000.000,17596000000.000,15363000000.000,16443000000.000
CostOfRevenue,12049000000.000,13200000000.000,14357000000.000,16261000000.000,16069000000.000,16740000000.000,16794000000.000,19041000000.000,15756000000.000,18450000000.000,18674000000.000,20388000000.000,17296000000.000,18670000000.000,20075000000.000,20711000000.000,18496000000.000,21350000000.000,21600000000.000,20642000000.000,19097000000.000,22325000000.000,19904000000.000,19464000000.000,17264000000.000,18388000000.000
CostOfServices,2510000000.000,2348000000.000,2319000000.000,1920000000.000,2380000000.000,1962000000.000,2089000000.000,1816000000.000,2009000000.000,1995000000.000,1791000000.000,1758000000.000,2020000000.000,1979000000.000,1966000000.000,2167000000.000,2100000000.000,2086000000.000,2191000000.000,2201000000.000,2136000000.000,2044000000.000,1983000000.000,1855000000.000,1888000000.000,1932000000.000
DefinedBenefitPlanContributionsByEmployer,,,,,4000000.000,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanCurtailments,34000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,331000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,,,426000000.000,,,,429000000.000,,,,448000000.000,,,,459000000.000,,,,443000000.000,,,,471000000.000,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,-14000000.000,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,-3000000.000,,,,-2000000.000,,,,,,,,1000000.000,,,,,,,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,-2000000.000,-1000000.000,4000000.000,6000000.000,-1000000.000,,-2000000.000,,,1000000.000,-2000000.000,,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,1000000.000,0.000,-2000000.000,-3000000.000,1000000.000,0.000,1000000.000,0.000,0.000,0.000,0.000,0.000,,,0.000,,,,,,,,,,,
EarningsPerShareBasic,0.790,1.270,1.470,1.860,1.230,1.280,1.360,1.280,1.450,1.430,1.530,1.620,1.300,2.260,1.880,2.030,1.890,1.610,2.500,1.520,1.850,-0.370,3.640,2.580,2.360,2.930
EarningsPerShareDiluted,0.780,1.250,1.460,1.850,1.220,1.270,1.350,1.270,1.440,1.410,1.510,1.600,1.280,2.240,1.860,2.000,1.870,1.590,2.470,1.510,1.830,-0.370,3.600,2.550,2.340,2.890
EffectOfExchangeRateOnCashAndCashEquivalents,25000000.000,,,,22000000.000,,,,-11000000.000,,,,4000000.000,,,,-17000000.000,,,,12000000.000,,,,20000000.000,
EffectiveIncomeTaxRateContinuingOperations,0.334,0.339,0.334,-0.751,0.368,0.331,0.295,-0.654,0.231,0.334,0.328,-0.629,0.339,0.037,0.329,-0.468,0.313,0.316,0.315,-0.667,0.300,0.511,-0.034,-0.656,0.259,0.287
EquityMethodInvestmentDividendsOrDistributions,,,,,,,155000000.000,,50000000.000,53000000.000,60000000.000,63000000.000,59000000.000,75000000.000,81000000.000,78000000.000,79000000.000,45000000.000,62000000.000,53000000.000,49000000.000,117000000.000,83000000.000,65000000.000,96000000.000,52000000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,22000000.000,,,,40000000.000,,,,23000000.000,,,,68000000.000,,,,112000000.000,,,,44000000.000,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,22000000.000,,,,40000000.000,,,,23000000.000,,,,68000000.000,,,,112000000.000,,,,44000000.000,,,,,
ExtendedProductWarrantyAccrualWarrantiesIssued,,,,,109000000.000,,,,63000000.000,,,,,,,,,,,,,,,,,
FinancialServicesCosts,,29000000.000,32000000.000,,28000000.000,19000000.000,22000000.000,19000000.000,19000000.000,18000000.000,18000000.000,20000000.000,18000000.000,17000000.000,18000000.000,16000000.000,16000000.000,17000000.000,16000000.000,15000000.000,16000000.000,16000000.000,14000000.000,13000000.000,13000000.000,13000000.000
FinancingInterestExpense,33000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
