,2011-09-30,2012-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,-1312.000
ComprehensiveIncomeNetOfTax,-151200.000,537600.000
Depreciation,,30.000
DepreciationAndAmortization,,30.000
EarningsPerShareBasicAndDiluted,,0.000
FeesAndCommissionsOther,124235.000,
GeneralAndAdministrativeExpense,3670.000,3119.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-31612.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,-31612.000
IncomeLossFromContinuingOperationsPerBasicShare,0.000,
IncomeLossFromContinuingOperationsPerDilutedShare,0.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-20945.000
IncreaseDecreaseInAccountsPayableRelatedParties,,2312.000
IncreaseDecreaseInAccountsReceivable,27015.000,
IncreaseDecreaseInNotesPayableCurrent,,50000.000
InterestExpense,216.000,881.000
LicenseCosts,825.000,
MarketingAndAdvertisingExpense,149.000,5485.000
NetCashProvidedByUsedInFinancingActivities,,50000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,50000.000
NetCashProvidedByUsedInInvestingActivities,,-1097.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-1097.000
NetCashProvidedByUsedInOperatingActivities,,-50215.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-50215.000
NetIncomeLoss,110428.000,505988.000
NonoperatingIncomeExpense,-216.000,
OperatingCostsAndExpenses,241.000,881.000
OperatingExpenses,,67247.000
OperatingIncomeLoss,110644.000,-30731.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,-40772.000,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-151200.000,537600.000
OtherCostAndExpenseOperating,40606.000,938.000
PaymentsForProceedsFromOtherInvestingActivities,,537600.000
PaymentsToAcquirePropertyPlantAndEquipment,,1097.000
ProfessionalAndContractServicesExpense,21991.000,35539.000
ProfessionalFees,3830.000,4740.000
Revenues,151250.000,36516.000
SalesRevenueNet,151250.000,36516.000
TravelAndEntertainmentExpense,218.000,1498.000
WeightedAverageNumberOfDilutedSharesOutstanding,69847041.000,
WeightedAverageNumberOfSharesIssuedBasic,,25367541.000
WeightedAverageNumberOfSharesOutstandingBasic,25367541.000,
