,2015-06-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,565.000,,,,-67.000,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,-794.000,,,,-1.000,
ConversionGainsAndLossesOnForeignInvestments,,,430.000,190.000,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,-0.000,0.000,0.000,-0.010
ForeignCurrencyTransactionGainLossBeforeTax,197.000,504.000,-2768.000,-754.000,2121.000,1056.000,1395.000
GeneralAndAdministrativeExpense,3221.000,8918.000,3094.000,5571.000,15756.000,5362.000,11376.000
ImpairmentOfOilAndGasProperties,,,,,,,45042.000
IncreaseDecreaseInAccountsPayable,,6349.000,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,7048.000,
InterestExpense,1882.000,1603.000,1555.000,1656.000,2345.000,1752.000,1778.000
NetCashProvidedByUsedInFinancingActivities,,5531.000,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,5531.000,,,,,
NetCashProvidedByUsedInOperatingActivities,,-4172.000,,,,-66.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-4172.000,,,,-66.000,
NetIncomeLoss,-5103.000,-10521.000,-4219.000,-7037.000,-18101.000,-7114.000,-58196.000
NonoperatingIncomeExpense,-1882.000,-1603.000,-1125.000,-1466.000,-2345.000,-1752.000,-1778.000
OperatingIncomeLoss,-3221.000,-8918.000,-3094.000,-5571.000,-15756.000,-5362.000,-56418.000
ProceedsFromIssuanceOfCommonStock,,2750.000,,,,,
ProceedsFromRelatedPartyDebt,,4800.000,,,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,-2019.000,,,,,
ProfitLoss,-5300.000,-10017.000,-6987.000,-7791.000,-15980.000,-6058.000,-56801.000
RepaymentsOfRelatedPartyDebt,,4800.000,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,10000000.000,10019565.000,10338440.000,10669429.000,-20563768.000,10804000.000,10804000.000
