,2015-01-31,2015-04-30,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-11183.000,,,,-920.000,,
ComprehensiveIncomeNetOfTax,-5250.000,-6896.000,-2524.000,-7906.000,-4023.000,-13168.000,-21249.000,-274760.000,-508902.000
CostOfGoodsAndServicesSold,,,10649.000,1689.000,200.000,11797.000,2061.000,,
CostOfGoodsSold,2419.000,1762.000,,,,,,,
EarningsPerShareBasicAndDiluted,-0.000,0.000,-0.000,,-0.000,,-0.000,-0.000,-0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,-991.000,,,,-67.000,,
GeneralAndAdministrativeExpense,2445.000,4612.000,1964.000,7302.000,1232.000,1913.000,2129.000,248979.000,467278.000
GrossProfit,3099.000,2082.000,8496.000,195.000,723.000,-5189.000,-92.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-4628.000,-7316.000,-1533.000,-16157.000,-4214.000,-14082.000,-21706.000,-274760.000,-508802.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,5061.000,,,,13808.000,,
IncreaseDecreaseInAccountsReceivable,,,-13720.000,,,,-49.000,,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,,6998.000,,
InterestExpense,,,,,,,,2080.000,3014.000
NetCashProvidedByUsedInOperatingActivities,,,-10192.000,,,,-851.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-10192.000,,,,-851.000,,
NetIncomeLoss,-4628.000,-7316.000,-1533.000,-7224.000,-4214.000,-14082.000,-21706.000,-274760.000,-508802.000
NonoperatingIncomeExpense,,,,,,,,-2080.000,-3014.000
OperatingExpenses,7727.000,9398.000,10029.000,16352.000,4937.000,8893.000,21614.000,272680.000,505788.000
OperatingIncomeLoss,,,,,,,,-272680.000,-505788.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,-622.000,420.000,-991.000,-682.000,191.000,914.000,457.000,,-100.000
OtherNonoperatingExpense,,,,1067.000,,,,,
OtherNonoperatingIncome,,,,10000.000,,,,,
OtherSellingGeneralAndAdministrativeExpense,2445.000,,,,,,,,
ProfessionalFees,5282.000,4786.000,8065.000,9050.000,3705.000,6980.000,19485.000,23701.000,38510.000
Revenues,5518.000,3844.000,19145.000,1884.000,923.000,6608.000,1969.000,,
SalesRevenueNet,5518.000,3844.000,19145.000,1884.000,923.000,6608.000,1969.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,5000000.000,5037453.000,8333346.000,8333346.000,8333346.000,-16666692.000,300000456.000,134793104.000,310152928.000
