,2011-12-31
AllocatedShareBasedCompensationExpense,418477.000
AssetImpairmentCharges,2393779.000
CashAndCashEquivalentsPeriodIncreaseDecrease,3267.000
CostsAndExpenses,14295334.000
DepreciationDepletionAndAmortization,683530.000
EarningsPerShareBasicAndDiluted,-0.190
ExplorationAbandonmentAndImpairmentExpense,123653.000
ExplorationExpense,362402.000
ExplorationExpenseMining,90711.000
GainLossOnSaleOfPropertyPlantEquipment,44335.000
GainLossRelatedToLitigationSettlement,-1500000.000
GeneralAndAdministrativeExpense,6841752.000
IncreaseDecreaseInAccountsReceivable,2730877.000
IncreaseDecreaseInOperatingLiabilities,750322.000
InterestExpense,234613.000
NetCashProvidedByUsedInFinancingActivities,12485091.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,12485091.000
NetCashProvidedByUsedInInvestingActivities,-3487727.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-3487727.000
NetCashProvidedByUsedInOperatingActivities,-8994097.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-8994097.000
NetIncomeLoss,-11680027.000
OilAndGasProductionExpense,1814405.000
OilAndGasRevenue,2347368.000
OtherNoncashIncomeExpense,-23736.000
PaymentsForProceedsFromOtherInvestingActivities,-1290600.000
PaymentsToAcquirePropertyPlantAndEquipment,5097221.000
ProceedsFromIssuanceOfDebt,3150000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,318894.000
RepaymentsOfLongTermDebt,140781.000
Revenues,2615307.000
SalesRevenueNet,2615307.000
StockIssuedDuringPeriodValueShareBasedCompensation,418477.000
