,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-223189.000,,,,-173790.000
CostOfRealEstateSales,215.000,708.000,262.000,0.000,255.000,0.000,0.000
DepreciationNonproduction,930.000,887.000,887.000,885.000,887.000,887.000,887.000
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,534388.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-119178.000,,,,41714.000
IncreaseDecreaseInAssetsHeldForSale,,,-10614.000,,,,0.000
IncreaseDecreaseInDueToAffiliates,,,-50.000,,,,0.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,42550.000
InvestmentIncomeInterest,1045.000,1899.000,189.000,187.000,166.000,147.000,50.000
NetCashProvidedByUsedInInvestingActivities,,,0.000,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,0.000,,,,
NetCashProvidedByUsedInOperatingActivities,,,-223189.000,,,,-173790.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-223189.000,,,,-173790.000
NetIncomeLoss,-94854.000,-95487.000,-115462.000,-112578.000,-112826.000,-156855.000,-173841.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,-0.050,-0.050,-0.060,-0.060,-0.060,-0.090,-0.100
OperatingExpenses,113110.000,122508.000,124501.000,112765.000,116959.000,164771.000,174276.000
OtherNonoperatingIncome,272.000,1311.000,,0.000,0.000,,385.000
PaymentsToAcquireHeldToMaturitySecurities,,,0.000,,,,
PaymentsToAcquireOtherProductiveAssets,,,0.000,,,,
ProceedsFromSaleAndMaturityOfHeldToMaturitySecurities,,,0.000,,,,
SalesOfRealEstate,16939.000,23811.000,8850.000,0.000,3967.000,0.000,0.000
SellingGeneralAndAdministrativeExpense,111965.000,120913.000,123352.000,111880.000,115817.000,163884.000,173389.000
WeightedAverageLimitedPartnershipAndGeneralPartnershipUnitsOutstandingBasic,1811062.000,1811062.000,1811062.000,1811062.000,1811062.000,-3622124.000,1811062.000
