,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionExpense,,,,,,,,,,,,,5000.000
AllocatedShareBasedCompensationExpense,1196000.000,1723000.000,1877000.000,1957000.000,2235000.000,1830000.000,1945000.000,1720000.000,1994000.000,2414000.000,2519000.000,2716000.000,3129000.000
AmortizationOfFinancingCostsAndDiscounts,51000.000,,,,84000.000,,,,91000.000,,,,20000.000
AmortizationOfIntangibleAssets,100000.000,100000.000,100000.000,200000.000,100000.000,100000.000,100000.000,200000.000,100000.000,100000.000,100000.000,200000.000,100000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,38606000.000,,,,,,,,8733000.000,,,,7747000.000
CapitalExpendituresIncurredButNotYetPaid,20000.000,,,,16000.000,,,,137000.000,,,,159000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,11490000.000,,,,-7643000.000,,,,-717000.000,,,,-1670000.000
ComprehensiveIncomeNetOfTax,-8320000.000,-8659000.000,-11434000.000,-9373000.000,-8904000.000,-7368000.000,-6048000.000,-3518000.000,-4911000.000,-3468000.000,-3890000.000,409000.000,-5255000.000
ConversionOfStockAmountIssued1,509000.000,,,,0.000,,,,,,,,
CostOfRevenue,13148000.000,13469000.000,13504000.000,14540000.000,14778000.000,14270000.000,14812000.000,15635000.000,16610000.000,16764000.000,17790000.000,15770000.000,19971000.000
Depreciation,1500000.000,1600000.000,1500000.000,1400000.000,1600000.000,1800000.000,1700000.000,1800000.000,2000000.000,1900000.000,2000000.000,2000000.000,2000000.000
DepreciationDepletionAndAmortization,1592000.000,,,,1775000.000,,,,2103000.000,,,,2095000.000
EarningsPerShareBasicAndDiluted,-1.480,-0.180,-0.240,0.900,-0.180,-0.150,-0.120,-0.070,-0.100,-0.070,-0.070,0.010,-0.100
FairValueAdjustmentOfWarrants,-1745000.000,,0.000,,0.000,0.000,0.000,0.000,,,,,
GainLossOnSaleOfPropertyPlantEquipment,0.000,,,,-10000.000,,,,-1000.000,,,,-3000.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,-1026000.000,,
GeneralAndAdministrativeExpense,6171000.000,3515000.000,7967000.000,6763000.000,7275000.000,6027000.000,6087000.000,6433000.000,6536000.000,5882000.000,6143000.000,6511000.000,8860000.000
GrossProfit,11126000.000,11216000.000,12365000.000,13734000.000,15496000.000,16004000.000,17475000.000,20398000.000,21405000.000,22122000.000,23192000.000,28437000.000,27043000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-8293000.000,-8647000.000,-11422000.000,-9339000.000,-8885000.000,-7389000.000,-5998000.000,-3505000.000,-4883000.000,-3426000.000,-3892000.000,395000.000,-5206000.000
IncomeTaxExpenseBenefit,27000.000,12000.000,13000.000,33000.000,18000.000,-20000.000,50000.000,13000.000,28000.000,42000.000,-2000.000,-14000.000,49000.000
IncreaseDecreaseInAccountsPayableTrade,-221000.000,,,,-1629000.000,,,,825000.000,,,,-95000.000
IncreaseDecreaseInAccountsReceivable,-344000.000,,,,510000.000,,,,1990000.000,,,,1595000.000
IncreaseDecreaseInDeferredRevenue,582000.000,,,,286000.000,,,,1659000.000,,,,909000.000
IncreaseDecreaseInOtherCurrentLiabilities,,,,,,,,,1935000.000,,,,3119000.000
IncreaseDecreaseInOtherNoncurrentAssets,65000.000,,,,94000.000,,,,30000.000,,,,-30000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,-47000.000,,,,9000.000,,,,-24000.000,,,,24000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,1211000.000,,,,1715000.000,,,,2129000.000
IncreaseDecreaseInPropertyAndOtherTaxesPayable,523000.000,,,,960000.000,,,,93000.000,,,,-11000.000
IncreaseDecreaseInRestrictedCash,25000.000,,,,-660000.000,,,,0.000,,,,
InterestExpense,778000.000,1092000.000,1116000.000,1175000.000,1139000.000,1155000.000,1235000.000,1198000.000,1199000.000,1197000.000,961000.000,869000.000,882000.000
NetCashProvidedByUsedInFinancingActivities,17766000.000,,,,-2352000.000,,,,-517000.000,,,,-1315000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,17766000.000,,,,-2352000.000,,,,-517000.000,,,,-1315000.000
NetCashProvidedByUsedInInvestingActivities,-96000.000,,,,462000.000,,,,-252000.000,,,,-514000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-96000.000,,,,462000.000,,,,-252000.000,,,,-514000.000
NetCashProvidedByUsedInOperatingActivities,-6180000.000,,,,-5753000.000,,,,52000.000,,,,159000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-6180000.000,,,,-5753000.000,,,,52000.000,,,,159000.000
NetIncomeLoss,-8320000.000,-8659000.000,-11435000.000,-9372000.000,-8903000.000,-7369000.000,-6048000.000,-3518000.000,-4911000.000,-3468000.000,-3890000.000,409000.000,-5255000.000
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,769000.000,,,,1309000.000,,,,1307000.000,,,,2603000.000
