,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-1984559.000,,,,-691274.000,,,,-638811.000,,,,-330047.000,,,,560329.000,,,,-4372.000,,
DebtInstrumentPeriodicPayment,,,,,,,,,45000.000,,,,,,,,,,,,,,
Depreciation,17224.000,,,,20546.000,,,,19205.000,,,,10282.000,,,,8181.000,,,,4963.000,,
EarningsPerShareBasicAndDiluted,-0.080,-0.110,-0.130,-0.080,-0.020,-0.030,-0.020,-0.030,-0.020,-0.030,-0.010,-0.020,-0.010,-0.030,0.000,-0.010,-0.010,-0.010,-0.010,0.000,0.000,0.000,-0.000
ExplorationExpenseMining,1615619.000,2137873.000,3124604.000,755272.000,200886.000,255676.000,380487.000,444949.000,140456.000,134964.000,29023.000,151460.000,66074.000,521883.000,-126373.000,60680.000,4848.000,39463.000,74042.000,97870.000,3245.000,6133.000,
GainLossOnSaleOfPropertyPlantEquipment,,,,,8773.000,,,,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,1222646.000,1929843.000,1951843.000,1650374.000,576591.000,854720.000,493620.000,478295.000,563302.000,863180.000,497325.000,409274.000,307719.000,621586.000,314399.000,206792.000,273308.000,343557.000,233004.000,138000.000,119506.000,103646.000,139047.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,279702.000,,,,-92663.000,,,,-117919.000,,,,-30963.000,,,,116962.000,,,,57744.000,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,,,,,,,,,,,131232.000,,,,58164.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,-47549.000,,,,-35251.000,,,,8421.000,,,,14582.000,,
IncreaseDecreaseInPrepaidExpense,-22114.000,,,,18400.000,,,,,,,,,,,,,,,,,,
InterestAndOtherIncome,10027.000,7965.000,6037.000,-52335.000,-3368.000,3737.000,7217.000,16802.000,1970.000,14339.000,-11647.000,627.000,206.000,297.000,117.000,2.000,55.000,6006.000,84.000,-5697.000,1.000,,1.000
InterestExpense,,134.000,82.000,,-8910.000,,,,,,,,,,,,,,,,,,
InterestPaid,,,,,137.000,,,,,,,,,,,,4404.000,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,19200.000,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,117499.000,,,,,,,,,,,,,,,,562000.000,,,,5000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,117499.000,,,,,,,,,,,,,,,,562000.000,,,,5000.000,,
NetCashProvidedByUsedInInvestingActivities,-287606.000,,,,-6795.000,,,,,,,,-15160.000,,,,-15000.000,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-287606.000,,,,-6795.000,,,,,,,,-15160.000,,,,-15000.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,-1814452.000,,,,-684479.000,,,,-638811.000,,,,-314887.000,,,,13329.000,,,,-9372.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1814452.000,,,,-684479.000,,,,-638811.000,,,,-314887.000,,,,13329.000,,,,-9372.000,,
NetIncomeLoss,-2828238.000,-4059885.000,-5070492.000,-2415985.000,-783019.000,-1107563.000,-866890.000,-932390.000,-705788.000,-987805.000,-533988.000,-563857.000,-377337.000,-1146922.000,-187659.000,-272352.000,-282504.000,-378870.000,-311764.000,-240801.000,-127946.000,-129289.000,-152320.000
NonoperatingIncomeExpense,10027.000,7831.000,5955.000,-37287.000,5542.000,2833.000,7217.000,-20230.000,-2030.000,10339.000,-7640.000,-3123.000,-3544.000,-3453.000,367.000,-4880.000,-4348.000,4150.000,-4718.000,-4931.000,-5195.000,-19510.000,-13273.000
OperatingExpenses,2838265.000,4067716.000,5076447.000,2405646.000,777477.000,1110396.000,874107.000,923244.000,703758.000,998144.000,526348.000,560734.000,373793.000,1143469.000,188026.000,267472.000,278156.000,383020.000,307046.000,235870.000,122751.000,109779.000,139047.000
OperatingIncomeLoss,-2838265.000,-4067716.000,-5076447.000,-2405646.000,-777477.000,-1110396.000,-874107.000,-923244.000,-703758.000,-998144.000,-526348.000,-560734.000,-373793.000,-1143469.000,-188026.000,-267472.000,-278156.000,-383020.000,-307046.000,-235870.000,-122751.000,-109779.000,-139047.000
OtherNonoperatingExpense,,,,,,,,,,4000.000,-4007.000,,3750.000,3750.000,-250.000,4882.000,4403.000,1856.000,4802.000,4932.000,5196.000,19510.000,13274.000
PaymentsToAcquireMiningAssets,235201.000,,,,10000.000,,,,,,,,15160.000,,,,15000.000,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,52405.000,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfPrivatePlacement,,,,,,,,,,,,,,,,,562000.000,,,,,,
ProceedsFromNotesPayable,,,,,,,,,,,,,,,,,,,,,5000.000,,
ProceedsFromPaymentsForOtherFinancingActivities,,,,,,,,,,,,,,,,,562000.000,,,,,,
ProceedsFromSaleOfOtherPropertyPlantAndEquipment,,,,,3205.000,,,,,,,,,,,,,,,,,,
ProceedsFromWarrantExercises,90156.000,,,,,,,,,,,,,,,,,,,,,,
RelatedPartyTransactionAmountsOfTransaction,,,,,,,,,,,,,1600.000,,,,1600.000,,,,1600.000,,
ShareBasedCompensation,719774.000,,,,143484.000,,,,118142.000,,,,47880.000,,,,47879.000,,,,12285.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,36550009.000,,36550009.000,36111975.000,36967536.000,-72959223.000,37036916.000,37036916.000,37036916.000,-74073832.000,37036916.000,38852027.000,41368016.000,-77586891.000,41368015.000,44411862.000,44665516.000,-86590416.000,44941532.000,44941532.000,44941532.000
