,2011-06-30
AssetRetirementObligationAccretionExpense,6885.000
CostsAndExpenses,364756.000
DepreciationDepletionAndAmortization,196534.000
GainLossOnDerivativeInstrumentsNetPretax,98152.000
GeneralAndAdministrativeExpense,40013.000
InterestIncomeDomesticDeposits,28.000
NetIncomeLossAllocatedToGeneralPartners,12112.000
NetIncomeLossAllocatedToLimitedPartners,48446.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,33.000
OilAndGasProductionExpense,121324.000
OilAndGasSalesRevenue,327134.000
OperatingIncomeLoss,60530.000
ProfitLoss,60558.000
Revenues,425286.000
SalesRevenueNet,425286.000
