,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccretionExpense,,4866.000,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,1044320.000,72064.000,19293.000
AssetImpairmentCharges,,6629108.000,5181550.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,1312723.000,-1294459.000,5443.000,-17681.000
ContributionOfProperty,1325067.000,,,
CostsAndExpenses,,8302985.000,7110667.000,496744.000
Depletion,,1210370.000,1375411.000,91383.000
DepreciationDepletionAndAmortization,,,,91383.000
ExplorationExpense,,14021000.000,,
GasGatheringTransportationMarketingAndProcessingCosts,,,,135247.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,134629.000,4406.000,16716.000
IncreaseDecreaseInAccountsReceivable,,250097.000,-151827.000,-7780.000
IncreaseDecreaseInDueToRelatedParties,2448088.000,,,
InterestIncomeExpenseNonoperatingNet,193.000,,,
LimitedPartnersCapitalAccountDistributionAmount,,937000.000,,
NaturalGasProductionRevenue,,1501077.000,,
NetCashProvidedByUsedInFinancingActivities,13952737.000,224570.000,-222854.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,13952737.000,224570.000,-222854.000,
NetCashProvidedByUsedInInvestingActivities,-12552912.000,-2447881.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-12552912.000,-2447881.000,,
NetCashProvidedByUsedInOperatingActivities,-87102.000,928852.000,228297.000,43789.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-87102.000,928852.000,228297.000,43789.000
NetIncomeLoss,-87102.000,-6800024.000,-6484897.000,-72090.000
NonoperatingIncomeExpense,-87102.000,,,
OperatingIncomeLoss,,,-6484897.000,
OtherNonoperatingIncomeExpense,-4773.000,,,
OtherSalesRevenueNet,,1884.000,,
PartnersCapitalAccountContributions,15195282.000,,,
PartnersCapitalAccountDistributions,,823693.000,,
PaymentsToAcquireOilAndGasProperty,,14021370.000,,
PaymentsToExploreAndDevelopOilAndGasProperties,15001000.000,-207.000,,
ProceedsFromPartnershipContribution,13952737.000,,,
ProfessionalFees,,,,89612.000
RelatedPartyTransactionAmountsOfTransaction,,2559000.000,,
Revenues,,1502961.000,625770.000,424654.000
SalesRevenueNet,,1502961.000,625770.000,424654.000
StockIssuedDuringPeriodValueNewIssues,,1048263.000,,
WellServiceExpense,,94114.000,157427.000,142296.000
