,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-7197.000,,,,51730.000,,,,147651.000,,,,-6099.000,,-132704.000
CostOfRealEstateSales,,,,,209084.000,,,,,,,,,,
CostOfRevenue,,,,,209084.000,,,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,,,,,-0.000,-0.000,
GeneralAndAdministrativeExpense,1824.000,2063.000,806.000,3896.000,16731.000,26006.000,5066.000,4440.000,6867.000,283.000,18373.000,16710.000,82809.000,2985.000,9601.000
GrossProfit,,,4940.000,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,-18721.000,,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,-357751.000,,,,,,
IncreaseDecreaseInAccruedInterestReceivableNet,846.000,,,,-2666.000,,,,,,,,,,
IncreaseDecreaseInConstructionPayables,,,,,,,,,,,,,,,-123104.000
IncreaseDecreaseInDeferredRevenue,-681.000,,,,,,,,,,,,1423.000,,
IncreaseDecreaseInFinanceReceivables,5375.000,,,,,,,,,,,,-44965.000,,
InterestExpense,,,,,,,,,2247.000,,,,,,2439.000
InterestExpenseRelatedParty,,,,,2161.000,,,,,,,,1014.000,,
InterestIncomeExpenseNonoperatingNet,-845.000,-710.000,-1163.000,-1947.000,-2151.000,-2706.000,-2500.000,-2502.000,-2247.000,-976.000,-977.000,-980.000,-1014.000,-1154.000,-2438.000
InterestIncomeOperating,1527.000,3848.000,3890.000,3891.000,3764.000,719.000,,,,,2835.000,,5321.000,5345.000,
NetCashProvidedByUsedInFinancingActivities,847.000,,,,139778.000,,,,-203233.000,,,,25000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,847.000,,,,139778.000,,,,-203233.000,,,,25000.000,,
NetCashProvidedByUsedInOperatingActivities,-8044.000,,,,-88048.000,,,,350884.000,,,,-31099.000,,-132704.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-8044.000,,,,-88048.000,,,,350884.000,,,,-31099.000,,-132704.000
NetIncomeLoss,-1142.000,1075.000,2971.000,1877.000,5472.000,-23587.000,-7566.000,3309.000,-9114.000,-1259.000,-15275.000,-13453.000,-78501.000,1206.000,-12039.000
NonoperatingIncomeExpense,-845.000,-710.000,-1163.000,-1947.000,-2027.000,-2656.000,-2500.000,-2502.000,-2247.000,-976.000,-977.000,-980.000,-1014.000,-1154.000,-2438.000
OperatingExpenses,1824.000,2063.000,806.000,3896.000,16731.000,26006.000,5066.000,4440.000,6867.000,283.000,18373.000,16710.000,82809.000,2985.000,9601.000
OperatingIncomeLoss,-297.000,1785.000,4134.000,3824.000,7499.000,-20931.000,-5066.000,5811.000,-6867.000,-283.000,-14298.000,-12473.000,-77487.000,2360.000,-9601.000
OtherNonoperatingIncome,,,,,124.000,50.000,,,,,,,,,
ProceedsFromRelatedPartyDebt,847.000,,,,141635.000,,,,,,,,25000.000,,
RepaymentsOfRelatedPartyDebt,,,,,1857.000,,,,203233.000,,,,,,
Revenues,1527.000,3848.000,4940.000,7720.000,233314.000,5075.000,,,,,4075.000,,5321.000,5345.000,
SalesOfRealEstate,,,,,226046.000,,,,,,,,,,
SalesRevenueNet,1527.000,3848.000,4940.000,7720.000,233314.000,5075.000,,,,,4075.000,,5321.000,5345.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,10000000.000,10000000.000,10000000.000,-20000000.000,10000000.000,10000000.000,10000000.000,-20000000.000,10000000.000,10000000.000,10000000.000,-20000000.000,10000000.000,10000000.000,100000000.000
