,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
InterestAndDividendIncomeOperating,-2105246.000,-2012455.000,-1692027.000,-1560137.000,-1454943.000,-1265309.000,-1181722.000,-1060726.000,-906306.000,-824562.000,-671121.000,-630283.000,-593452.000,,,
InterestIncomeExpenseNet,,,,,,,,,,,,,,,2.000,12.000
InterestIncomeOperating,84.000,63.000,,,,,,,,,,,,,,
LossContingencyAccrualCarryingValueProvision,,,,,,,0.000,,,,,,,,,
LossContingencyAccrualProvision,,,,,,,,,,,0.000,,,,0.000,
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,-7.100,4.840,-2.120,-4.720,-0.550,-6.680,3.250,-11.160,-8.230,5.050,-6.660,7.050,7.120,13.860,11.690,-24.210
NoninterestExpenseInvestmentAdvisoryFees,,,,,,,354408.000,,,,200201.000,,,,,
NoninterestExpenseRelatedToPerformanceFees,,,,,,,212133.000,,,,13.000,,,,,
OperatingExpenses,2105330.000,2012518.000,1692027.000,1560137.000,1454943.000,1265309.000,1181722.000,1060726.000,906306.000,824562.000,671121.000,630283.000,593452.000,600129.000,619475.000,554463.000
PartnersCapitalAccountContributions,,,370304.000,,,,37000.000,,,,22000.000,,,,,
PartnersCapitalAccountRedemptions,,,10279500.000,,,,9551711.000,,,,5449035.000,,,,2223323.000,
PartnersCapitalAccountUnitsContributed,,,2017.000,,,,220.000,,,,145.000,,,,,
PartnersCapitalAccountUnitsRedeemed,,,56070.000,,,,55989.000,,,,35945.000,,,,11636.000,
ProfitLoss,-7819043.000,5129118.000,-1944085.000,-4053795.000,-444668.000,-5287830.000,2243805.000,-7022177.000,-4806841.000,2855271.000,-2935559.000,2848850.000,2610422.000,5766867.000,3775775.000,-7521434.000
RealizedInvestmentGainsLosses,3095035.000,2656348.000,2997022.000,2886114.000,2057567.000,2059427.000,2066385.000,2577147.000,1192504.000,2553295.000,842574.000,-2124614.000,1259879.000,1555625.000,832224.000,1294442.000
RevenuesExcludingInterestAndDividends,-5713797.000,7141573.000,-252058.000,-2493658.000,1010275.000,-4022521.000,3425527.000,-5961451.000,-3900535.000,3679833.000,-2264438.000,3479133.000,3203874.000,,,
TradingGainsLosses,,,,,,,,,,,,,,,4395248.000,-6966983.000
UnrealizedGainLossOnInvestments,,,,-5379772.000,-1047292.000,,1359142.000,-8538598.000,-5093039.000,1126538.000,-3107012.000,5603747.000,1943995.000,4811371.000,3563024.000,-8261425.000
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,1102022.000,1058878.000,918561.000,858282.000,807066.000,-1750237.000,690241.000,629455.000,583845.000,-1296910.000,440768.000,403985.000,366836.000,-823593.000,323028.000,310623.000
