,2013-03-31,2013-06-30,2013-09-30,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdvertisingExpense,,,,,,976.000,,,,1025.000,,,,4418.000
AmortizationAndDepreciationOfDecontaminatingAndDecommissioningAssets,,,,,,7296.000,,,,10373.000,,,,
CashPeriodIncreaseDecrease,-2282.000,,,,,-13856.000,,,,77910.000,,,,-21228.000
CostOfGoodsSold,29025.000,40847.000,78520.000,59535.000,53782.000,91965.000,103014.000,119075.000,112926.000,126310.000,108804.000,113572.000,136222.000,105521.000
CostsAndExpenses,49915.000,47487.000,73335.000,,,,,,,,,,,
DebtInstrumentPeriodicPaymentPrincipal,,,,,,,,,,,,,,2090.000
Depreciation,,,,1297.000,2705.000,7296.000,7004.000,6498.000,8965.000,10373.000,12783.000,17125.000,15479.000,13469.000
EarningsPerShareBasicAndDiluted,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,-0.010
GainLossOnDispositionOfAssets,,,,,,553.000,1682.000,1757.000,1630.000,1321.000,1106.000,1636.000,1763.000,1604.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,,-553.000,,,,-1321.000,,,,-1604.000
GeneralAndAdministrativeExpense,49915.000,47487.000,73335.000,84886.000,89428.000,,,,,,,,,
GrossProfit,44329.000,41519.000,63329.000,83667.000,85956.000,119914.000,86062.000,100030.000,164355.000,133343.000,91181.000,122487.000,180372.000,104539.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-6167.000,-7044.000,-11160.000,-5101.000,-6644.000,-883.000,-15549.000,-18917.000,54502.000,12079.000,-33248.000,-11854.000,-15823.000,-61918.000
IncomeTaxExpenseBenefit,,,,,,,,,,,,,,0.000
IncomeTaxesPaid,,,,,,,,,,,,,,0.000
IncreaseDecreaseInAccountsPayable,9547.000,,,,,7463.000,,,,7416.000,,,,-7933.000
IncreaseDecreaseInAccountsReceivable,-5209.000,,,,,-28644.000,,,,25361.000,,,,29071.000
IncreaseDecreaseInInterestPayableNet,47.000,,,,,,,,,,,,,
IncreaseDecreaseInInventories,,,,,,5738.000,,,,-4583.000,,,,-9319.000
InterestExpense,-581.000,-1076.000,-1162.000,2603.000,477.000,1690.000,1307.000,907.000,1464.000,1035.000,863.000,1258.000,1515.000,2282.000
