,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,662000.000,544000.000,631000.000,531000.000,937000.000,1304000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,3604000.000,2797000.000,3041000.000,2992000.000,3057000.000,3502000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,54000.000,56000.000,184000.000,133000.000,284000.000,
AllocatedShareBasedCompensationExpense,,2800000.000,4000000.000,4800000.000,5600000.000,5000000.000
AmortizationOfFinancingCosts,226000.000,229000.000,245000.000,283000.000,317000.000,367000.000
AmortizationOfFinancingCostsAndDiscounts,,229000.000,244000.000,283000.000,317000.000,367000.000
AmortizationOfIntangibleAssets,7462000.000,8837000.000,7132000.000,7653000.000,7481000.000,8185000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,5528000.000,662000.000,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,-1646000.000,245000.000,-225000.000,-731000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-35109000.000,-10480000.000,11297000.000,-19990000.000,24400000.000,-24390000.000
CommonStockDividendsPerShareDeclared,0.200,0.200,0.210,0.225,0.250,0.275
ComprehensiveIncomeNetOfTax,,13463000.000,,,,
CostOfGoodsAndServicesSold,1058568000.000,1123564000.000,1117389000.000,1161024000.000,1262390000.000,1290331000.000
CurrentFederalTaxExpenseBenefit,,5679000.000,11707000.000,13402000.000,27564000.000,32721000.000
CurrentIncomeTaxExpenseBenefit,,6830000.000,13661000.000,16212000.000,31629000.000,37404000.000
CurrentStateAndLocalTaxExpenseBenefit,,1151000.000,1954000.000,2810000.000,4065000.000,4683000.000
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,444000.000,279000.000,790000.000,692000.000,1251000.000
DeferredFederalIncomeTaxExpenseBenefit,,2897000.000,3254000.000,-308000.000,-1481000.000,-2101000.000
DeferredIncomeTaxExpenseBenefit,-9525000.000,3541000.000,4514000.000,-4579000.000,-414000.000,-1239000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,318000.000,1233000.000,-4290000.000,1076000.000,862000.000
DefinedContributionPlanCostRecognized,,5200000.000,5500000.000,6100000.000,7100000.000,7800000.000
DefinedContributionPlanMaximumAnnualContributionPerEmployeePercent,,0.025,,,,
Depreciation,12591000.000,11793000.000,11440000.000,13683000.000,15935000.000,17981000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,-195000.000,-25000.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,355000.000,-76000.000,-15000.000,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,,-212000.000,119000.000,10000.000,0.000,
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,0.000,0.000,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,49000.000,7000.000,,
DividendsCommonStockCash,7552000.000,7471000.000,7835000.000,8447000.000,9358000.000,10264000.000
EarningsPerShareBasic,-0.990,0.360,0.730,0.610,1.320,1.740
EarningsPerShareDiluted,-0.990,0.360,0.730,0.610,1.300,1.720
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,0.350,0.350
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,1000000.000,1500000.000,1800000.000,2100000.000,1900000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,210000.000,100000.000,534000.000,115000.000,1240000.000,
GainLossOnDispositionOfAssets,,,589000.000,830000.000,880000.000,761000.000
GainLossOnDispositionOfProperty,239000.000,491000.000,,,,
GainLossOnSaleOfPropertyPlantEquipment,239000.000,607000.000,589000.000,830000.000,880000.000,761000.000
GoodwillAcquiredDuringPeriod,,7495000.000,,26480000.000,3533000.000,5334000.000
GoodwillImpairmentLoss,58922000.000,,0.000,727000.000,,
GrossProfit,181452000.000,207621000.000,239883000.000,249771000.000,318129000.000,344009000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-44664000.000,21539000.000,46780000.000,40228000.000,88664000.000,101061000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-36492000.000,11494000.000,28632000.000,28614000.000,57440000.000,64896000.000
IncomeLossFromContinuingOperationsPerBasicShare,-0.990,0.350,0.730,0.610,1.320,1.740
IncomeLossFromContinuingOperationsPerDilutedShare,-0.990,0.350,0.730,0.610,1.300,1.720
IncomeTaxExpenseBenefit,-8172000.000,10045000.000,18148000.000,11614000.000,31224000.000,36165000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,455000.000,1465000.000,-1944000.000,463000.000,-1254000.000
IncomeTaxReconciliationDeductionsQualifiedProductionActivities,,378000.000,520000.000,694000.000,1701000.000,2026000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,7539000.000,16373000.000,14080000.000,31032000.000,35371000.000
IncomeTaxReconciliationMinorityInterestIncomeExpense,,-565000.000,450000.000,1938000.000,2827000.000,
IncomeTaxReconciliationNondeductibleExpense,,481000.000,594000.000,704000.000,751000.000,825000.000
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,,,,,,-885000.000
IncomeTaxReconciliationOtherReconcilingItems,,384000.000,-607000.000,-161000.000,146000.000,-148000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,1011000.000,1910000.000,1653000.000,3432000.000,4262000.000
IncomeTaxReconciliationTaxContingencies,,198000.000,-145000.000,-40000.000,-72000.000,20000.000
IncomeTaxesPaid,,,,,,29349000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-21477000.000,-15507000.000,6776000.000,-4078000.000,11617000.000,2736000.000
IncreaseDecreaseInAccountsReceivable,-10390000.000,-2913000.000,12427000.000,18339000.000,3584000.000,-7038000.000
IncreaseDecreaseInBillingInExcessOfCostOfEarnings,5426000.000,1776000.000,-9226000.000,7545000.000,7908000.000,-8351000.000
IncreaseDecreaseInInventories,270000.000,-1195000.000,-1208000.000,-281000.000,-956000.000,-213000.000
IncreaseDecreaseInOtherOperatingAssets,-917000.000,3334000.000,491000.000,321000.000,479000.000,143000.000
IncreaseDecreaseInOtherOperatingLiabilities,-2402000.000,1231000.000,965000.000,1364000.000,-2100000.000,1689000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-977000.000,-370000.000,109000.000,-1494000.000,-364000.000,8850000.000
IncreaseDecreaseInUnbilledReceivables,-4162000.000,-1636000.000,1918000.000,-2744000.000,3630000.000,-3144000.000
IncrementalCommonSharesAttributableToContingentlyIssuableShares,,60000.000,108000.000,103000.000,160000.000,146000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,87000.000,183000.000,147000.000,266000.000,330000.000
InterestExpense,1886000.000,1595000.000,1351000.000,1858000.000,1753000.000,2345000.000
InterestExpenseRelatedParty,,255000.000,97000.000,38000.000,25000.000,70000.000
InterestPaid,,1326000.000,799000.000,1764000.000,1408000.000,1864000.000
InvestmentIncomeInterest,128000.000,24000.000,23000.000,18000.000,72000.000,9000.000
LeaseAndRentalExpense,,15200000.000,16200000.000,17800000.000,20600000.000,20600000.000
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,,,,8612000.000,4904000.000,
MinorityInterestDecreaseFromRedemptions,,,,,,35630000.000
MultiemployerPlansPlanContributions,,,0.000,0.000,0.000,0.000
NetCashProvidedByUsedInFinancingActivities,-29039000.000,-17822000.000,-10873000.000,11600000.000,-47839000.000,-36260000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-29039000.000,-17822000.000,-10873000.000,11600000.000,-47839000.000,-36260000.000
NetCashProvidedByUsedInInvestingActivities,-35750000.000,-23168000.000,-16253000.000,-74142000.000,-25628000.000,-79318000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-35750000.000,-23168000.000,-16253000.000,-74142000.000,-25628000.000,-79318000.000
NetCashProvidedByUsedInOperatingActivities,29680000.000,30510000.000,38423000.000,42552000.000,97867000.000,91188000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,29680000.000,30510000.000,38423000.000,42552000.000,97867000.000,91188000.000
NetIncomeLoss,,,,,49364000.000,
NetIncomeLossAttributableToNoncontrollingInterest,338000.000,-1614000.000,1287000.000,5536000.000,8076000.000,
NetIncomeLossAvailableToCommonStockholdersBasic,-36830000.000,13463000.000,27269000.000,23063000.000,,64896000.000
NoncontrollingInterestIncreaseFromBusinessCombination,17377000.000,,,,,
NonoperatingIncomeExpense,4704000.000,-764000.000,522000.000,-1994000.000,-1380000.000,-508000.000
OperatingIncomeLoss,-49368000.000,22303000.000,46258000.000,42222000.000,90044000.000,101569000.000
OtherNonoperatingIncome,934000.000,145000.000,204000.000,91000.000,76000.000,
OtherNonoperatingIncomeExpense,,,,,,1097000.000
PaymentsForRepurchaseOfCommonStock,7256000.000,2860000.000,1832000.000,7974000.000,8330000.000,13088000.000
PaymentsOfDividendsCommonStock,7520000.000,7498000.000,7875000.000,8444000.000,9358000.000,10264000.000
PaymentsOfFinancingCosts,517000.000,,552000.000,568000.000,,789000.000
PaymentsOfMergerRelatedCostsFinancingActivities,,,,,345000.000,200000.000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,662000.000,544000.000,631000.000,531000.000,937000.000,1304000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,29957000.000,12656000.000,,56314000.000,6158000.000,57163000.000
PaymentsToAcquirePropertyPlantAndEquipment,8666000.000,11782000.000,17403000.000,19183000.000,20808000.000,23217000.000
PaymentsToMinorityShareholders,,,,8612000.000,4904000.000,
ProceedsFromDivestitureOfBusinessesNetOfCashDivested,156000.000,164000.000,43000.000,,,
ProceedsFromLongTermLinesOfCredit,0.000,,,128500000.000,24500000.000,144000000.000
ProceedsFromMinorityShareholders,800000.000,,,,,
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,2000000.000,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,717000.000,1106000.000,1107000.000,1355000.000,1338000.000,1062000.000
ProceedsFromStockOptionsExercised,293000.000,329000.000,4883000.000,1229000.000,3738000.000,1578000.000
ProfitLoss,-36492000.000,11849000.000,28556000.000,28599000.000,57440000.000,64896000.000
ProvisionForDoubtfulAccounts,936000.000,2453000.000,19000.000,1275000.000,1552000.000,-27000.000
RepaymentsOfLongTermCapitalLeaseObligations,,,,115000.000,443000.000,251000.000
RepaymentsOfLongTermDebt,14387000.000,7349000.000,5400000.000,2000000.000,,
RepaymentsOfLongTermLinesOfCredit,,,,90000000.000,53000000.000,154000000.000
RepaymentsOfOtherDebt,,,,,,592000.000
Revenues,1240020000.000,1331185000.000,1357272000.000,1410795000.000,1580519000.000,1634340000.000
SalesRevenueNet,1240020000.000,1331185000.000,1357272000.000,1410795000.000,1580519000.000,1634340000.000
SellingGeneralAndAdministrativeExpense,172137000.000,185809000.000,194214000.000,207652000.000,228965000.000,243201000.000
ShareBasedCompensation,3604000.000,2797000.000,3974000.000,4806000.000,5609000.000,5041000.000
StockIssuedDuringPeriodValueStockOptionsExercised,,,,,,1578000.000
StockIssuedDuringPeriodValueStockOptionsExercisedNetOfTaxBenefitExpense,449000.000,373000.000,5233000.000,1211000.000,4694000.000,
TreasuryStockAcquiredAverageCostPerShare,,9.970,14.590,14.520,26.360,28.440
TreasuryStockSharesAcquired,,300000.000,100000.000,500000.000,300000.000,
TreasuryStockValueAcquiredCostMethod,7256000.000,2860000.000,1832000.000,7974000.000,8330000.000,13088000.000
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,,197000.000,86000.000,70000.000,103000.000,0.000
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,,,,,,0.000
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,,,,,,0.000
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,,,,,,0.000
UnrecognizedTaxBenefitsInterestOnIncomeTaxesExpense,,400000.000,,400000.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,37389000.000,37259000.000,37536000.000,37797000.000,37868000.000,37811000.000
WeightedAverageNumberOfSharesOutstandingBasic,37389000.000,37112000.000,37245000.000,37547000.000,37442000.000,37335000.000
