,2011-06-30,2011-09-30,2012-03-31
AmortizationOfIntangibleAssets,1082000.000,1118000.000,1115000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-11952000.000
CommunicationsAndInformationTechnology,2618000.000,2660000.000,2384000.000
CostsAndExpenses,40110000.000,37798000.000,40220000.000
DeferredIncomeTaxExpenseBenefit,,,441000.000
Depreciation,,,1041000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,-187000.000,-213000.000,-33000.000
EarningsPerShareBasic,0.130,-0.070,
EarningsPerShareDiluted,0.130,-0.070,
FeesAndCommissions,4902000.000,4491000.000,3987000.000
FloorBrokerageExchangeAndClearanceFees,238000.000,188000.000,131000.000
GainLossOnInvestments,,,241000.000
GainLossOnSalesOfLoansNet,-4375000.000,,
IncomeLossFromContinuingOperations,4134000.000,-1649000.000,258000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,3150000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2716000.000,3911000.000,2234000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,6368000.000,-149000.000,2437000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.140,-0.060,0.010
IncomeLossFromContinuingOperationsPerDilutedShare,0.140,-0.060,0.010
IncomeLossFromDiscontinuedOperationsNetOfTax,-293000.000,-333000.000,-134000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,-257000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,-0.010,-0.010,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,-0.010,-0.010,-0.010
IncomeLossFromEquityMethodInvestments,6078000.000,-4861000.000,916000.000
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,,,916000.000
IncomeTaxExpenseBenefit,2426000.000,-801000.000,713000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-698000.000
IncreaseDecreaseInAccountsReceivable,,,2028000.000
IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,,,-516000.000
IncreaseDecreaseInNotesReceivables,,,-1917000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-375000.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,,,-105000.000
InterestAndDividendIncomeOperating,2732000.000,2204000.000,1605000.000
InterestExpense,505000.000,486000.000,451000.000
InvestmentAdvisoryFees,29644000.000,29840000.000,30782000.000
InvestmentBankingRevenue,564000.000,2037000.000,521000.000
LaborAndRelatedExpense,24190000.000,24089000.000,25463000.000
NetCashProvidedByUsedInFinancingActivities,,,-13366000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-13366000.000
NetCashProvidedByUsedInInvestingActivities,,,-3919000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-3919000.000
NetCashProvidedByUsedInOperatingActivities,,,5333000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,5333000.000
NetIncomeLoss,3841000.000,-1982000.000,1000.000
NetIncomeLossAttributableToNoncontrollingInterest,2234000.000,1500000.000,2302000.000
NoninterestIncomeOtherOperatingIncome,1393000.000,1129000.000,1592000.000
OccupancyNet,2819000.000,2790000.000,3433000.000
OtherGeneralAndAdministrativeExpense,4283000.000,6467000.000,7243000.000
PaymentsForProceedsFromInvestments,,,-408000.000
PaymentsForProceedsFromOtherInvestingActivities,,,3000000.000
PaymentsForRepurchaseOfCommonStock,,,54000.000
PaymentsForRepurchaseOfWarrants,,,8000000.000
PaymentsOfDividends,,,1457000.000
PaymentsOfMergerRelatedCostsFinancingActivities,,,2270000.000
PaymentsToAcquireNotesReceivable,,,100000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,1103000.000
PaymentsToDevelopSoftware,,,124000.000
PaymentsToMinorityShareholders,,,1752000.000
PrincipalTransactionsRevenue,3591000.000,2008000.000,3967000.000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,,,1561000.000
ProceedsFromPaymentsForOtherFinancingActivities,,,76000.000
ProfitLoss,6075000.000,-482000.000,2303000.000
ProvisionForLoanAndLeaseLosses,,,209000.000
RepaymentsOfSeniorDebt,,,1470000.000
Revenues,42826000.000,41709000.000,42454000.000
SalesRevenueNet,42262000.000,39672000.000,41933000.000
ShareBasedCompensation,,,1194000.000
WeightedAverageNumberOfDilutedSharesOutstanding,30020000.000,28994000.000,30035000.000
WeightedAverageNumberOfSharesOutstandingBasic,29150000.000,28994000.000,29233000.000
