,2011-12-31,2012-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,-4043.000
CashPeriodIncreaseDecrease,6014.000,
CurrentStateAndLocalTaxExpenseBenefit,,7500.000
Depreciation,,29153.000
DepreciationAndAmortization,,29153.000
DepreciationDepletionAndAmortization,30767.000,29153.000
EarningsPerShareBasicAndDiluted,0.000,-4.560
EffectiveIncomeTaxRateContinuingOperations,,0.372
GeneralAndAdministrativeExpense,136418.000,223369.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-229872.000
IncomeTaxExpenseBenefit,8200.000,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,-85600.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,94819.000,49958.000
IncreaseDecreaseInDeferredIncomeTaxes,8200.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-1582.000,
IncreaseDecreaseInPrepaidExpense,,-125179.000
InterestExpense,91959.000,93556.000
InterestPaid,81140.000,82779.000
NetCashProvidedByUsedInFinancingActivities,50599.000,9039.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,50599.000,9039.000
NetCashProvidedByUsedInInvestingActivities,-955.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-955.000,
NetCashProvidedByUsedInOperatingActivities,-43630.000,-13082.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-43630.000,-13082.000
NetIncomeLoss,-215834.000,-229872.000
OperatingExpenses,232185.000,265022.000
OperatingIncomeLoss,-115675.000,-136316.000
OperatingLeasesIncomeStatementLeaseRevenue,,128706.000
OtherIncome,116510.000,
PaymentsToAcquirePropertyPlantAndEquipment,955.000,
ProceedsFromIssuanceOfCommonStock,50000.000,
ProceedsFromLinesOfCredit,862.000,
ProceedsFromRelatedPartyDebt,16076.000,28800.000
ProceedsFromRepaymentsOfLinesOfCredit,,-281.000
ProfitLoss,-207634.000,
RepaymentsOfNotesPayable,16339.000,
RepaymentsOfSecuredDebt,,19480.000
ShareBasedCompensation,40000.000,12500.000
ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,40000.000,
StockIssued1,,12500.000
StockIssuedDuringPeriodSharesAcquisitions,125000.000,
StockIssuedDuringPeriodValueNewIssues,50000.000,
StockIssuedDuringPeriodValueShareBasedCompensationGross,,12500.000
WeightedAverageNumberOfSharesOutstandingBasic,64390973.000,50357.000
