,2011-06-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
EarningsPerShareBasicAndDiluted,-0.010,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,,300.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,-0.010,-0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayable,12066.000,1800.000,,,,,,,,600.000,,,,600.000,
IncreaseDecreaseInAccruedLiabilities,217.000,,,,,,,,,,,,,,
IncreaseDecreaseInOtherAccruedLiabilities,,63.000,,156.000,,156.000,,,,155.000,,,,158.000,
InterestExpense,-479.000,-138.000,-116.000,-156.000,-156.000,-156.000,-156.000,-156.000,-157.000,-155.000,-157.000,-157.000,-158.000,-158.000,-158.000
InterestPaidCapitalized,,75.000,,,,,,,,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,39652.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,38125.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,38125.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,-38125.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-38125.000,,,,,,,,,,,,,,
NetIncomeLoss,-90322.000,-1938.000,-116.000,-156.000,-156.000,-156.000,-156.000,-156.000,-3907.000,-755.000,-757.000,-757.000,-4163.000,-758.000,-758.000
OperatingExpenses,89843.000,1800.000,500.000,,,,,,,600.000,600.000,600.000,4005.000,600.000,600.000
OtherIncome,,-138.000,-116.000,-156.000,-156.000,-156.000,-156.000,-156.000,-157.000,-155.000,-157.000,-157.000,-158.000,-158.000,-158.000
OtherNonoperatingIncomeExpense,-479.000,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,28125.000,,,,,,,,,,,,,,
ProceedsFromLoans,10000.000,,,,,,,,,,,,,,
ProfessionalFees,54681.000,1500.000,500.000,,,,,,,600.000,600.000,600.000,4005.000,600.000,600.000
SellingGeneralAndAdministrativeExpense,35162.000,,,,,,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,,8505000.000,8505000.000,8505000.000,8505000.000,8505000.000,8505000.000,8505000.000,-17010000.000,8505000.000,8505000.000,8505000.000,-17010000.000,8505000.000,8505000.000
