,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2014-01-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,,,,,,,125000.000,,,,,,,
AmortizationOfDeferredLeasingFees,,,,,,,,3225.000,,,,-71.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,-49289.000,-1378.000,,,,264.000,,
CashPeriodIncreaseDecrease,-3825.000,,,,-3300.000,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,,1106.000,-9330.000,-24496.000,-44030.000,-29897.000,-82865.000,-45029.000
CostOfGoodsSold,,,,,,,,-65887.000,-74696.000,-67096.000,-68334.000,-66162.000,-65099.000,-76357.000
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,,,750000.000,3225.000,,,,,,
Depreciation,,,,,,,,10411.000,746.000,5329.000,5585.000,4722.000,4618.000,4654.000
DepreciationAndAmortization,,,,,,,,10411.000,,,,4722.000,,
EarningsPerShareBasic,,,,,,,,,0.000,0.000,,,,
EarningsPerShareBasicAndDiluted,-0.000,0.000,0.000,0.000,0.000,0.000,-0.020,0.000,,,,0.000,0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,-1378.000,,,,121.000,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,20959.000,9208.000,0.000,-17863.000,2490.000,6768.000,-2792.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,346000.000,,,,,,,
GeneralAndAdministrativeExpense,117.000,473.000,8017.000,5605.000,5261.000,21955.000,246939.000,23432.000,26671.000,11597.000,-24182.000,9063.000,11970.000,11718.000
GrossProfit,,,,,,,,32736.000,30912.000,36739.000,34301.000,34370.000,42636.000,44683.000
ImpairmentOfInvestments,,,,,,,136990.000,,,,,,,
IncomeTaxesPaid,,,,,,,,,,,,0.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,840.000,,,,1120.000,,76855.000,8201.000,,,,7643.000,,
IncreaseDecreaseInDeposits,,,,,,,,,,,,712.000,,
IncreaseDecreaseInDueToOfficersAndStockholders,,,,,91.000,,,,,,,,,
IncreaseDecreaseInInventories,,,,,,,,,,,,53.000,,
IncreaseDecreaseInPrepaidExpense,,,,,750.000,,143750.000,,,,,,,
InterestAndDebtExpense,,,,,,,,-360.000,,,,11188.000,,
InterestExpense,,,,,,,135965.000,,,17914.000,,18216.000,50857.000,25279.000
InterestPaid,,,,,,,,,,,,0.000,,
LeaseAndRentalExpense,,,,,,,,8643.000,7623.000,12363.000,12543.000,14380.000,14270.000,13177.000
ManagementFeeExpense,,,,,,,,6878.000,7867.000,6561.000,8134.000,8049.000,18514.000,8463.000
NetCashProvidedByUsedInFinancingActivities,117.000,,,,91.000,,50000.000,-1624.000,,,,8283.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,117.000,,,,91.000,,50000.000,-1624.000,,,,8283.000,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,-61990.000,0.000,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,-61990.000,0.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,-3942.000,,,,-3391.000,,-37299.000,1624.000,,,,-8140.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-3942.000,,,,-3391.000,,-37299.000,1624.000,,,,-8140.000,,
NetIncomeLoss,-4782.000,-2113.000,-9932.000,2615.000,-5261.000,-21955.000,-865894.000,-19853.000,-18538.000,-24496.000,,,,
OperatingExpenses,,,,,,,383929.000,52589.000,49450.000,61235.000,60468.000,66757.000,132269.000,86920.000
OperatingIncomeLoss,,,,,,,,-19853.000,,,,-32387.000,-89633.000,-42237.000
OtherExpenses,,,,,,,481965.000,,,,,,,
PartnersCapitalAccountUnitsSoldInPrivatePlacement,,,,,,,30000000.000,,,,,,,
PaymentsForProceedsFromInvestments,,,,,,,-61990.000,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,0.000,,,,,,
ProceedsFromBankDebt,,,,,,,,,,,,-2905.000,,
ProceedsFromConvertibleDebt,,,,,,,,3225.000,,,,11188.000,,
ProceedsFromIssuanceOfPrivatePlacement,,,,,,,30000.000,,,,,,,
ProceedsFromNotesPayable,,,,,,,50000.000,,,,,,,
ProceedsFromRelatedPartyDebt,117.000,,,,91.000,,40326.000,,,,,,,
