,2015-05-31,2015-08-31,2016-02-29,2016-05-31,2016-08-31,2016-12-31,2017-03-31
CashAcquiredFromAcquisition,,,4438.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,-289.000,,,,
CostOfRevenue,,,,3693.000,18801.000,5658.000,3285.000
CostsAndExpenses,1800.000,1250.000,5812.000,17983.000,3436.000,14119.000,19796.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,-4199.000,
ForeignCurrencyTransactionGainLossBeforeTax,,,-289.000,-445.000,-471.000,4781.000,-2100.000
GrossProfit,,,,1847.000,8425.000,2828.000,2078.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,-11291.000,-17718.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,,,-17983.000,,,
IncomeTaxExpenseBenefit,,,,-13.000,13.000,410.000,56.000
IncreaseDecreaseInAccountsAndNotesReceivable,,,,,,-8486.000,
IncreaseDecreaseInAccountsPayable,,,9995.000,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,,-256.000,
IncreaseDecreaseInAccruedTaxesPayable,,,,,,-363.000,
IncreaseDecreaseInDeposits,,,20138.000,,,-19062.000,
IncreaseDecreaseInInventories,,,-9995.000,,,5657.000,
IncreaseDecreaseInOtherLoans,,,21801.000,,,,
IncreaseDecreaseInPrepaidExpensesOther,,,,,,286.000,
IncreaseDecreaseInPrepaidTaxes,,,,,,837.000,
NetCashProvidedByUsedInContinuingOperations,,,-5812.000,,,-14863.000,
NetCashProvidedByUsedInFinancingActivities,,,21801.000,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,21801.000,,,,
NetCashProvidedByUsedInInvestingActivities,,,4438.000,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,4438.000,,,,
NetIncomeLoss,-1800.000,-1250.000,-5812.000,-16149.000,4976.000,-11701.000,-17774.000
OperatingCostsAndExpenses,550.000,,3467.000,247.000,1082.000,14119.000,19796.000
OtherCostAndExpenseOperating,,,,-13.000,13.000,,
OtherExpenses,,,419.000,,,,
ProfessionalFees,1250.000,1250.000,1926.000,17736.000,2354.000,,
Revenues,,,,5540.000,27226.000,8486.000,5363.000
SalesRevenueNet,,,,5540.000,27226.000,8486.000,5363.000
WeightedAverageNumberOfSharesOutstandingBasic,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,120219780.000,20000000.000
