,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-44273.000,,,,-349941.000,,
EquityMethodInvestmentDividendsOrDistributions,,,0.000,,,,,,
EquityMethodInvestmentRealizedGainLossOnDisposal,,,,,,,,,224.000
EquityMethodInvestmentSummarizedFinancialInformationIncomeLossFromContinuingOperationsBeforeExtraordinaryItems,,,,12364.000,-23091.000,,,,
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,12364.000,-23091.000,,,,
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,,,278947.000,332388.000,,,,
GeneralAndAdministrativeExpense,30185.000,28956.000,40876.000,35393.000,35110.000,30993.000,44520.000,29859.000,27890.000
ImpairmentOfRealEstate,,,,,,,0.000,,
IncomeLossFromEquityMethodInvestments,106165.000,902.000,-10062.000,3233.000,-6038.000,-20216.000,-20463.000,-642437.000,3536.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-2588.000,,,,4431.000,,
IncreaseDecreaseInDueToRelatedParties,,,-2306.000,,,,-3469.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-323.000,,,,-2797.000,,
InterestAndOtherIncome,503.000,901.000,1174.000,796.000,783.000,805.000,650.000,562.000,733.000
NetCashProvidedByUsedInOperatingActivities,,,-44273.000,,,,-40111.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-44273.000,,,,-40111.000,,
NetIncomeLoss,76483.000,-27153.000,-49764.000,-31364.000,-40365.000,-50404.000,-64333.000,-671734.000,-23397.000
PaymentsToAcquireEquityMethodInvestments,,,0.000,,,,309830.000,,
