,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AssetRetirementObligationAccretionExpense,151300.000,149000.000,164000.000,152700.000,218900.000
AssetRetirementObligationLiabilitiesSettled,,,252400.000,,-600.000
AssetRetirementObligationRevisionOfEstimate,251200.000,-58300.000,-353400.000,1132200.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-637200.000,-35000.000,124200.000,-422700.000,-44900.000
ComprehensiveIncomeNetOfTax,-13051800.000,-2367100.000,-1736100.000,-14449500.000,-4826100.000
CostsAndExpenses,,8102200.000,7239200.000,18528600.000,6847200.000
DeferredFederalStateAndLocalTaxExpenseBenefit,,,,,0.000
DepletionOfOilAndGasProperties,4589400.000,3364500.000,3026500.000,1740000.000,569800.000
DerivativeGainLossOnDerivativeNet,,,,,203700.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,-48000.000
DerivativeInstrumentsLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortion,,,7500.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves10PercentAnnualDiscountForEstimatedTimingOfCashFlows,,5270300.000,7996800.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureCashInflows,,37542100.000,49127200.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureDevelopmentCosts,,1766300.000,,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureDevelopmentCosts1,,,-1013900.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureNetCashFlows,,12986900.000,18830800.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts,,22788900.000,,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts1,,,-29282500.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesStandardizedMeasure,,7716600.000,10834000.000,,
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,10033500.000,3949300.000,,,
GainLossOnFairValueHedgeIneffectivenessNet,,,0.000,0.000,
GainLossOnSaleOfDerivatives,,,,-102400.000,-104500.000
GainLossOnSaleOfOilAndGasProperty,,,-337400.000,,
GainsLossesOnSalesOfAssets,,,-337400.000,,
GeneralAndAdministrativeExpense,229900.000,217500.000,201600.000,180500.000,170500.000
