,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2013-03-31,2014-03-31,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,4000000.000,,,,,,,,,,,,,,,,,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,331000000.000,,,,99000000.000,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,5000000.000,3000000.000,,3000000.000,6000000.000,6000000.000,,,,,,,,,,,,,
AmortizationOfAcquiredIntangibleAssets,-5000000.000,,,,,,,,,,,,,,,,,,,
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,,,,,,-14000000.000
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,-14000000.000,,,-15000000.000,,,,-13000000.000,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,23000000.000,22000000.000,,22000000.000,28000000.000,28000000.000,,,,,,,,,,,,,
AssetImpairmentCharges,,,133000000.000,,,,47000000.000,,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,1000000.000,1000000.000,1000000.000,0.000,0.000,0.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-12000000.000,,,,,,,,149000000.000,,,205000000.000,,,,253000000.000,,,,-149000000.000
ComprehensiveIncomeNetOfTax,-111000000.000,-152000000.000,-77000000.000,,-27000000.000,-242000000.000,-98000000.000,,3000000.000,-17000000.000,41000000.000,-12000000.000,-19000000.000,58000000.000,-156000000.000,101000000.000,-116000000.000,263000000.000,-180000000.000,-36000000.000
CostOfGoodsAndServicesEnergyCommoditiesAndServices,,393000000.000,526000000.000,,278000000.000,306000000.000,346000000.000,,,,,,,,,,,,,
CostOfRevenue,404000000.000,,,,,,,,,,,,,,,,,,,
CostsAndExpenses,,,,,,,,,991000000.000,532000000.000,617000000.000,716000000.000,527000000.000,534000000.000,581000000.000,467000000.000,474000000.000,468000000.000,487000000.000,373000000.000
DepreciationAndAmortization,86000000.000,88000000.000,94000000.000,107000000.000,88000000.000,90000000.000,91000000.000,,,,,,,,,,,,,
