,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,,,63000.000,,,,-426000.000,,,,-659000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,1107000.000,,,,1960000.000,,,,3158000.000
AllocatedShareBasedCompensationExpense,278000.000,361000.000,491000.000,731000.000,1107000.000,1193000.000,1086000.000,1483000.000,1960000.000,2033000.000,1866000.000,1989000.000,3158000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1258000.000,1270000.000,1395000.000,-1071000.000,3302000.000,3413000.000,3409000.000,-8768000.000,,,,,1474000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,,,,,1060000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,,,,,153000.000
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,,,,,-35000.000,,,,-619000.000,,,,245000.000
ComprehensiveIncomeNetOfTax,,,,,,,-9953000.000,,-5779000.000,47278000.000,-8543000.000,-10256000.000,-14390000.000
DepreciationDepletionAndAmortization,320000.000,,,,240000.000,,,,282000.000,,,,410000.000
EarningsPerShareBasic,,-0.160,-0.200,,,,,,,1.160,-0.200,,
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,-0.310
EarningsPerShareDiluted,,-0.160,-0.200,,,,,,,1.130,-0.200,,
GainLossOnDispositionOfAssets1,,,,,1000.000,,,,,,,,
GeneralAndAdministrativeExpense,1723000.000,1594000.000,2182000.000,1962000.000,2764000.000,2524000.000,3233000.000,3439000.000,3950000.000,3043000.000,3007000.000,3108000.000,4811000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,48914000.000,-8675000.000,,-14465000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.120,,,,-0.190,-0.220,-0.250,,-0.160,,,,
IncomeTaxExpenseBenefit,,,,,,,,,,1749000.000,-598000.000,,170000.000
IncomeTaxesPaid,,,,,,,,,,,,,60000.000
IncreaseDecreaseInAccountsAndOtherReceivables,,,,,,,,,,,,,-1678000.000
IncreaseDecreaseInAccountsPayable,-529000.000,,,,699000.000,,,,-2109000.000,,,,395000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,,,,,,,110000.000
IncreaseDecreaseInAccruedInvestmentIncomeReceivable,,,,,,,,,-41000.000,,,,479000.000
IncreaseDecreaseInAccruedLiabilities,72000.000,,,,-523000.000,,,,-1243000.000,,,,-190000.000
IncreaseDecreaseInDeferredRevenue,-892000.000,,,,-91000.000,,,,-5952000.000,,,,-340000.000
IncreaseDecreaseInOtherNoncurrentAssets,-50000.000,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,99000.000,,,,142000.000,,,,683000.000,,,,1465000.000
