,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2017-04-01
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,-294000.000,,,,,,,,,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,498000.000,,,,583000.000,,,,693000.000,,,,,,,,,,,642000.000
AmortizationOfIntangibleAssets,5297000.000,5471000.000,5429000.000,5466000.000,,5446000.000,5559000.000,5554000.000,5553000.000,5544000.000,,,,,,,,9463000.000,9491000.000,9481000.000,9472000.000
BusinessAcquisitionsProFormaNetIncomeLoss,,,1056000.000,1107.000,,-5050000.000,4663000.000,1748000.000,252000.000,4062000.000,1623000.000,3336000.000,-13884000.000,-9865000.000,-4543000.000,-40000.000,-8635000.000,,,,
BusinessAcquisitionsProFormaRevenue,,,147241000.000,148169.000,,159849000.000,192711000.000,192382000.000,172629000.000,154779000.000,202598000.000,195956000.000,181336000.000,180696000.000,216818000.000,209933000.000,179464000.000,,,,
BusinessCombinationAcquisitionRelatedCosts,332000.000,152000.000,312000.000,343000.000,,2029000.000,2153000.000,1362000.000,3094000.000,,,,,,,,,0.000,0.000,0.000,
BusinessCombinationConsiderationTransferred1,,,,,,,,,,,,,,1399055000.000,,,,,,,
CapitalLeaseObligationsIncurred,,,,,,,,,,56000.000,,,,,,,,4000.000,,,
CapitalizedComputerSoftwareAdditions,,,,,,,,,,,,,,1196000.000,,,,0.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-4350000.000,,,,-42909000.000,,,,-8339000.000,,,,,,,,,,,-12122000.000
ComprehensiveIncomeNetOfTax,,-1350000.000,308000.000,1804000.000,,-4665000.000,530000.000,3707000.000,-6462000.000,-8109000.000,,,,,,,,,1556000.000,-2163000.000,-4646000.000
CostOfGoodsSold,68685000.000,63589000.000,72950000.000,73291000.000,,73646000.000,100338000.000,97805000.000,87537000.000,79415000.000,,,,,,,,,122079000.000,111039000.000,101594000.000
DeferredIncomeTaxExpenseBenefit,,-1815000.000,,,,-3033000.000,,,,-2375000.000,,,,,,,,,,,-5888000.000
Depreciation,5590000.000,5889000.000,5618000.000,4945000.000,,5542000.000,6273000.000,5759000.000,7222000.000,6868000.000,,,,,,,,,8050000.000,7974000.000,8718000.000
DepreciationDepletionAndAmortization,,11360000.000,,,,10988000.000,,,,12183000.000,,,,,,,,,,,18190000.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,-4251000.000,,,,,,,,,,,-7000.000
EffectiveIncomeTaxRateContinuingOperations,,,0.363,-3.291,,0.366,-0.932,0.764,0.510,0.420,,,,,,,,0.403,0.574,11.405,0.462
GainLossOnSaleOfAccountsReceivable,,,,,,,,,,,,,,,,,,-239000.000,0.000,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,-9000.000,,,,,,,,,,,,,,,0.000
GoodwillAcquiredDuringPeriod,,,,,,,,,,,,,,0.000,,,,0.000,,,0.000
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,573000.000
GoodwillImpairmentLoss,,,,,,,,,,0.000,,,,0.000,,,,0.000,,,0.000
GoodwillTranslationAdjustments,,,,,,,,,,-486000.000,,,,-2678000.000,,,,1662000.000,,,
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,,,,,,,,,,,,,,0.000,,,,0.000,,,0.000
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,,,,,,,,,,,,,0.000,,,,0.000,,,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,-7005000.000,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1791000.000,-4324000.000,1657000.000,258000.000,,-7227000.000,2413000.000,7397000.000,-6512000.000,-7005000.000,,,,,,,,,4102000.000,42000.000,-12434000.000
IncomeTaxExpenseBenefit,337000.000,-1737000.000,601000.000,-849000.000,,-2642000.000,-2250000.000,5649000.000,-3538000.000,-2943000.000,,,,,,,,5306000.000,2356000.000,479000.000,-5750000.000
IncomeTaxesPaidNet,,,,,,,,,,,,,,,,,,62000.000,,,52000.000
IncreaseDecreaseInAccountsPayable,,2582000.000,,,,2739000.000,,,,3601000.000,,,,,,,,,,,13097000.000
IncreaseDecreaseInAccountsReceivable,,8637000.000,,,,13176000.000,,,,7043000.000,,,,,,,,,,,6711000.000
IncreaseDecreaseInFairValueOfInterestRateFairValueHedgingInstruments1,,,,,,,,,,,,,,1543000.000,,,,-641000.000,,,-459000.000
IncreaseDecreaseInInterestPayableNet,,,,,,1019000.000,,,,1019000.000,,,,,,,,,,,
IncreaseDecreaseInInventories,,2330000.000,,,,1959000.000,,,,6630000.000,,,,,,,,,,,11624000.000
IncreaseDecreaseInOtherAccruedLiabilities,,2237000.000,,,,-2263000.000,,,,1290000.000,,,,,,,,,,,-4027000.000
IncreaseDecreaseInOtherOperatingAssets,,563000.000,,,,-2207000.000,,,,-4746000.000,,,,,,,,,,,1720000.000
InterestExpenseJuniorSubordinatedDebentures,3152000.000,3152000.000,3153000.000,3152000.000,,3152000.000,3153000.000,3152000.000,3153000.000,3152000.000,,,,,,,,,3152000.000,3152000.000,3152000.000
InterestExpenseTrustPreferredSecurities,,,,,,,,,,0.000,,,,0.000,,,,0.000,0.000,,
InterestIncomeExpenseNet,-10007000.000,-10102000.000,-10225000.000,-10266000.000,,-11953000.000,-12102000.000,-11975000.000,-12108000.000,-11545000.000,,,,,,,,,-12866000.000,-12671000.000,-12477000.000
