,2011-09-30,2012-03-31,2012-09-30
AmortizationOfIntangibleAssets,,,73823.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,9838416.000,
ComprehensiveIncomeNetOfTax,2858734.000,6710913.000,3200153.000
CostOfGoodsSold,8555112.000,7745188.000,5378123.000
CurrentIncomeTaxExpenseBenefit,,,1219239.000
DeferredIncomeTaxExpenseBenefit,,-47681.000,-48009.000
Depreciation,,,418283.000
DepreciationAndAmortization,,499448.000,
EarningsPerShareBasic,0.030,0.190,0.100
EarningsPerShareDiluted,0.030,0.190,0.100
EffectOfExchangeRateOnCashAndCashEquivalents,,94493.000,
EffectiveIncomeTaxRateContinuingOperations,,,0.250
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,0.001
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,-0.090
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,-0.001
GeneralAndAdministrativeExpense,6572746.000,592722.000,548137.000
GrossProfit,10848988.000,9928595.000,5759033.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3558136.000,8769870.000,4678361.000
IncomeTaxExpenseBenefit,2381403.000,2190184.000,1171230.000
IncomeTaxesPaidNet,,2354817.000,
IncreaseDecreaseInAccountsPayable,,-369245.000,
IncreaseDecreaseInAccountsReceivable,,-2909447.000,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,-75371.000,
IncreaseDecreaseInAccruedTaxesPayable,,-761914.000,
IncreaseDecreaseInInventories,,-757640.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-251913.000,
InvestmentIncomeInterest,80087.000,93338.000,75690.000
NetCashProvidedByUsedInOperatingActivities,,9743923.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,9743923.000,
NetIncomeLoss,1176733.000,6579686.000,3507131.000
NonoperatingIncomeExpense,110303.000,93164.000,75690.000
OperatingExpenses,7401155.000,1251889.000,1156362.000
OperatingIncomeLoss,3447833.000,8676706.000,4602671.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,1682001.000,131227.000,-306978.000
OtherNonoperatingExpense,-26625.000,174.000,
OtherNonoperatingIncome,3591.000,,
ResearchAndDevelopmentExpense,12639.000,,
Revenues,19404100.000,17673783.000,11137156.000
SalesReturnsAndAllowancesGoods,,,0.000
SalesRevenueNet,19404100.000,17673783.000,11137156.000
SellingExpense,815770.000,659167.000,608225.000
WeightedAverageNumberOfDilutedSharesOutstanding,34008184.000,34451880.000,35128358.000
WeightedAverageNumberOfSharesOutstandingBasic,34008184.000,34451880.000,35128358.000
