,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,4400000.000,,,,,,,,3600000.000,,,,5500000.000,,,,2300000.000,
AllocatedShareBasedCompensationExpense,,,9800000.000,,,,6800000.000,,,,4100000.000,,,,3700000.000,,,,5500000.000,,,,2300000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,2346818.000,,,,,,,,,,,,,,,,,,500000.000,
BusinessCombinationAcquisitionRelatedCosts,,,,,3300000.000,,800000.000,6700000.000,5100000.000,16600000.000,1600000.000,4300000.000,2400000.000,4100000.000,1000000.000,3400000.000,5700000.000,3900000.000,5100000.000,5300000.000,5000000.000,5800000.000,3900000.000,5400000.000
BusinessCombinationIntegrationRelatedCosts,,,,,,,,,300000.000,,300000.000,2300000.000,4100000.000,,1200000.000,500000.000,600000.000,,5400000.000,0.000,2400000.000,,4700000.000,700000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-241600000.000,,,,-12700000.000,,,,-17500000.000,,,,-38200000.000,,,,20700000.000,,,,-21700000.000,
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,,,0.050,0.050,0.050,,0.050,0.050,0.050,,0.075,0.075
ComprehensiveIncomeNetOfTax,,,25800000.000,42300000.000,46900000.000,-21600000.000,27900000.000,22000000.000,58400000.000,161400000.000,39200000.000,-37800000.000,32000000.000,-90100000.000,38700000.000,88700000.000,42600000.000,49000000.000,64100000.000,34000000.000,58300000.000,29700000.000,54700000.000,58000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,100000.000,-900000.000,-1200000.000,-400000.000,-300000.000,-100000.000,1300000.000,-400000.000,-300000.000,-100000.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,25900000.000,41400000.000,45700000.000,-22000000.000,27600000.000,21900000.000,59700000.000,161000000.000,38900000.000,-37900000.000,32000000.000,-90100000.000,38700000.000,88700000.000,42600000.000,49000000.000,64100000.000,34000000.000,58300000.000,29700000.000,54700000.000,58000000.000
CostOfGoodsSold,915300000.000,919300000.000,897600000.000,915500000.000,915800000.000,888600000.000,917600000.000,951100000.000,982300000.000,901500000.000,885700000.000,903600000.000,847600000.000,816400000.000,818600000.000,859100000.000,868100000.000,825300000.000,826300000.000,898400000.000,912400000.000,869100000.000,886500000.000,917800000.000
DeferredIncomeTaxExpenseBenefit,,,10900000.000,,,,19500000.000,,,,23200000.000,,,,29900000.000,,,,28900000.000,,,,11900000.000,
DepreciationDepletionAndAmortization,,,67900000.000,66900000.000,67200000.000,64800000.000,65400000.000,68300000.000,74800000.000,68900000.000,67000000.000,69400000.000,65800000.000,67800000.000,68100000.000,71200000.000,73500000.000,67700000.000,70700000.000,75200000.000,78200000.000,75200000.000,75000000.000,75200000.000
DerivativeInstrumentsGainLossReclassificationFromAccumulatedOCIToIncomeEstimatedNetAmountToBeTransferred,,,100000.000,,,,0.000,,,,1200000.000,,,,-6900000.000,,,,-15000000.000,,,,3800000.000,
Dividends,,,,,,,,,,,,,,,16400000.000,,,,16200000.000,,,,23400000.000,
EarningsPerShareBasic,0.080,-0.120,0.040,0.110,0.100,0.060,0.100,0.060,0.130,0.130,0.110,-0.120,0.160,0.120,0.170,0.170,0.180,0.180,0.180,0.240,0.180,0.110,0.120,0.140
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,,,,,,,0.180,0.240,0.180,,0.120,0.140
EarningsPerShareDiluted,0.080,-0.120,0.040,0.110,0.100,0.060,0.100,0.060,0.130,0.130,0.110,-0.120,0.160,0.120,0.170,0.170,0.180,0.180,0.180,0.240,0.180,0.110,0.120,0.140
EffectOfExchangeRateOnCashAndCashEquivalents,,,1000000.000,,,,-1500000.000,,,,300000.000,,,,-3500000.000,,,,1900000.000,,,,1300000.000,
EnvironmentalExitCostsAnticipatedCost,,,,,,,,,,,,,,,3000000.000,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,2000000.000,
GainLossOnDispositionOfAssets,,,,,,,,,,,-5900000.000,,,,0.000,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,-800000.000,-1300000.000,-8900000.000,0.000,0.000,-2100000.000,0.000,-25900000.000,-1200000.000,0.000,,0.000,0.000,,,,,,,,,,,
GoodwillImpairmentLoss,,,,,0.000,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,38900000.000,-53800000.000,30000000.000,69300000.000,65300000.000,35700000.000,58000000.000,32100000.000,81000000.000,41500000.000,59300000.000,-74100000.000,91900000.000,55600000.000,88400000.000,92400000.000,93500000.000,85000000.000,90300000.000,87400000.000,85100000.000,56600000.000,54200000.000,65100000.000
IncomeLossFromEquityMethodInvestments,600000.000,700000.000,300000.000,700000.000,600000.000,700000.000,300000.000,400000.000,500000.000,300000.000,300000.000,600000.000,400000.000,400000.000,300000.000,300000.000,300000.000,300000.000,400000.000,500000.000,700000.000,200000.000,400000.000,500000.000
IncomeTaxExpenseBenefit,7400000.000,-5600000.000,13000000.000,28600000.000,27000000.000,13900000.000,23700000.000,11400000.000,35800000.000,-3500000.000,24800000.000,-33200000.000,39300000.000,14500000.000,33600000.000,35100000.000,33600000.000,28100000.000,33200000.000,10100000.000,28000000.000,21900000.000,17600000.000,23600000.000
IncomeTaxReconciliationOtherAdjustments,,,,,,,,,,,,4300000.000,,,,,,,,-22400000.000,,,,
IncreaseDecreaseInOperatingCapital,,,88900000.000,,,,136200000.000,,,,114700000.000,,,,128000000.000,,,,104800000.000,,,,87700000.000,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,4000000.000,1800000.000,2100000.000,-5100000.000,2300000.000,1700000.000,1700000.000,-3300000.000,2700000.000,0.000,1700000.000,-2500000.000,2300000.000,700000.000,700000.000,-2500000.000,1100000.000,400000.000,700000.000,-1600000.000,1200000.000,400000.000
