,2011-03-31,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,,-20000.000,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-66000.000,206000.000,-184000.000,134000.000,-46000.000,,,,,,,,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,,,,,,,,,-180175.000,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,-68000.000,394000.000,-105000.000,12000.000,-4000.000,-245000.000,71000.000,321824.000,,
OtherNoncashExpense,,,12000.000,,,,,,,,,,,,,
OtherNonoperatingIncomeExpense,11000.000,,,,2000.000,,,,,,12000.000,,20000.000,,,
PaymentsForDeposits,6000.000,,-2000.000,,,,221000.000,,,,,,,,,
ProceedsFromNotesPayable,,,18000.000,,,,,,,,110000.000,,,,,
ProceedsFromOtherEquity,763000.000,,347000.000,,,,700000.000,,,,,,,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,48000.000,,55000.000,,,,-1000.000,,,,-10000.000,,,,,
ProceedsFromSaleOfProductiveAssets,29000.000,,,,,,,,,,,,,,,
ProfitLoss,-2631000.000,-1563000.000,-974000.000,1220000.000,-1206000.000,-2017000.000,-2236000.000,-1896000.000,-2648000.000,-1439000.000,-1102000.000,-875000.000,-979000.000,18183357.000,240585.000,-29009.000
ProvisionForDoubtfulAccounts,713000.000,,230000.000,,,,183000.000,,,,2000.000,,,,,
RepaymentsOfNotesPayable,62000.000,,,,,,6000.000,,,,4000.000,,,,,
RevenueMineralSales,,,,,,,,,,,105000.000,,,,,
Revenues,,,,,,,,,,,105000.000,,,,,
SalesRevenueNet,,,,,,,,,,,105000.000,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendPayments,,,,,,,,,,,0.000,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,,,,,,,,0.000,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,,,,,,,,0.000,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,,,,,,,,,,,0.000,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,102795119.000,102795119.000,102795119.000,-205590238.000,102795119.000,102795119.000,102795119.000,-205590238.000,102795119.000,102795119.000
