,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,-48000000.000,-80000000.000,-58000000.000
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,-181000000.000,-51000000.000,,,
AdjustmentsToAdditionalPaidInCapitalOther,-1000000.000,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,68000000.000,203000000.000,202000000.000,195000000.000,131000000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,146000000.000,,,,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,170000000.000,,,
AdvertisingExpense,85000000.000,181000000.000,226000000.000,232000000.000,230000000.000
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,41000000.000,49000000.000,53000000.000
AmortizationOfFinancingCostsAndDiscounts,6000000.000,-62000000.000,-34000000.000,6000000.000,11000000.000
AmortizationOfIntangibleAssets,23000000.000,115000000.000,150000000.000,155000000.000,168000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,22000000.000,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGainOrLoss,,,,-4000000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-717000000.000,485000000.000,-407000000.000,-480000000.000,361000000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,0.000,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,0.000,,,
ComprehensiveIncomeNetOfTax,1397000000.000,8769000000.000,161000000.000,34000000.000,669000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-2000000.000,211000000.000,217000000.000,165000000.000,245000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1395000000.000,8980000000.000,378000000.000,199000000.000,914000000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesRepurchaseOfSharesBySubsidiary,,,-2183000000.000,-2016000000.000,1674000000.000
CostsAndExpenses,1673000000.000,3188000000.000,3609000000.000,3841000000.000,3542000000.000
CurrentFederalTaxExpenseBenefit,146000000.000,45000000.000,-18000000.000,17000000.000,39000000.000
CurrentForeignTaxExpenseBenefit,2000000.000,-5000000.000,,1000000.000,
CurrentIncomeTaxExpenseBenefit,150000000.000,37000000.000,-25000000.000,35000000.000,68000000.000
CurrentStateAndLocalTaxExpenseBenefit,2000000.000,-3000000.000,-7000000.000,17000000.000,29000000.000
DeferredFederalIncomeTaxExpenseBenefit,372000000.000,-165000000.000,103000000.000,145000000.000,388000000.000
DeferredForeignIncomeTaxExpenseBenefit,0.000,0.000,,,
DeferredIncomeTaxExpenseBenefit,450000000.000,-172000000.000,91000000.000,175000000.000,427000000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,78000000.000,-7000000.000,-12000000.000,30000000.000,39000000.000
DefinedBenefitPlanContributionsByEmployer,12000000.000,12000000.000,11000000.000,15000000.000,13000000.000
Depreciation,,200000000.000,209000000.000,207000000.000,186000000.000
DepreciationAndAmortization,58000000.000,315000000.000,359000000.000,362000000.000,354000000.000
EarningsPerShareBasic,11.780,74.410,0.520,0.190,
EarningsPerShareDiluted,11.400,73.170,0.520,0.190,
EmployeeBenefitsAndShareBasedCompensation,-52000000.000,-2000000.000,-29000000.000,,
EquityMethodInvestmentDividendsOrDistributions,165000000.000,0.000,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,146000000.000,6000000.000,3000000.000,19000000.000,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,146000000.000,6000000.000,3000000.000,19000000.000,75000000.000
FairValueOfAssetsAcquired,,2586000000.000,1000000.000,,
FinancingReceivableAllowanceForCreditLossesWriteOffs,-2000000.000,-1000000.000,,,
FiniteLivedIntangibleAssetsAcquired,,1177000000.000,,,
FinitelivedIntangibleAssetsAcquired1,,,36000000.000,,
GainLossOnDerivativeInstrumentsNetPretax,232000000.000,,,,
GainLossOnDispositionOfAssets,22000000.000,7978000000.000,,,
GainLossOnSaleOfOtherAssets,22000000.000,7978000000.000,,,
GainLossRelatedToLitigationSettlement,0.000,,,,511000000.000
GainsLossesOnExtinguishmentOfDebt,,-21000000.000,,,-24000000.000
GoodwillOtherChanges,0.000,,2000000.000,,
GoodwillPeriodIncreaseDecrease,,,,,0.000
IncomeLossFromContinuingOperations,,8780000000.000,178000000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2012000000.000,8856000000.000,461000000.000,458000000.000,1419000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2012000000.000,8856000000.000,461000000.000,458000000.000,1419000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,8991000000.000,395000000.000,,
IncomeLossFromContinuingOperationsPerBasicShare,,74.410,0.520,,
IncomeLossFromContinuingOperationsPerDilutedShare,,73.170,0.520,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,0.000,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,0.000,,,
IncomeLossFromEquityMethodInvestments,1346000000.000,-32000000.000,-113000000.000,-40000000.000,14000000.000
IncomeTaxExpenseBenefit,600000000.000,-135000000.000,66000000.000,210000000.000,495000000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,-24000000.000,-9000000.000,2000000.000,44000000.000,1000000.000
IncomeTaxReconciliationDeductionsDividends,40000000.000,46000000.000,99000000.000,2000000.000,11000000.000
IncomeTaxReconciliationDispositionOfBusiness,0.000,,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,704000000.000,3100000000.000,161000000.000,160000000.000,497000000.000
IncomeTaxReconciliationOtherAdjustments,13000000.000,3000000.000,-7000000.000,7000000.000,18000000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,57000000.000,-11000000.000,4000000.000,1000000.000,46000000.000
IncomeTaxReconciliationTaxContingencies,-9000000.000,0.000,-11000000.000,,
IncomeTaxReconciliationTaxCredits,,,,,67000000.000
IncomeTaxReconciliationTaxSettlements,0.000,,,,
IncomeTaxesPaidNet,129000000.000,-75000000.000,20000000.000,3000000.000,69000000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,47000000.000,-78000000.000,33000000.000,245000000.000,277000000.000
IncreaseDecreaseInDueFromRelatedPartiesCurrent,0.000,,,,
IncreaseDecreaseInOperatingAssets,-10000000.000,-187000000.000,74000000.000,208000000.000,-25000000.000
IncreaseDecreaseInRestrictedCash,-705000000.000,0.000,,,
IndefiniteLivedIntangibleAssetsAcquiredDuringPeriod,,23694000000.000,,,
IndefinitelivedIntangibleAssetsAcquired,,,24000000.000,,
InterestAndDividendIncomeSecurities,,,27000000.000,17000000.000,
InterestCostsCapitalized,,,,,8000000.000
InterestExpense,33000000.000,132000000.000,255000000.000,328000000.000,362000000.000
InterestPaid,20000000.000,144000000.000,232000000.000,295000000.000,327000000.000
InvestmentIncomeInterestAndDividend,78000000.000,48000000.000,,,
LeaseAndRentalExpense,17000000.000,48000000.000,52000000.000,53000000.000,52000000.000
LiabilitiesAssumed1,,-5367000000.000,-12000000.000,,
LitigationSettlementExpense,,,,108000000.000,-465000000.000
NetCashProvidedByUsedInDiscontinuedOperations,,1200000000.000,,,
NetCashProvidedByUsedInFinancingActivities,-1167000000.000,813000000.000,-1121000000.000,-1407000000.000,-546000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-1167000000.000,550000000.000,-1121000000.000,-1407000000.000,-546000000.000
