,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,,,,,,,,,,,,,,,,,,,0.074,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,,,,,,,7900000.000,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,,,,,,,,7900000.000,,,,,,
ExtinguishmentOfDebtAmount,,,,,350000000.000,,,,,,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,,-13300000.000,-13200000.000,,-10700000.000,-7100000.000,-11100000.000,-24900000.000,-11200000.000,-17400000.000,3900000.000
ForeignCurrencyTransactionGainLossUnrealized,,,,,,,,,,,,,,,,,-10700000.000,-7100000.000,-11100000.000,,,,
GainLossOnInvestments,,,,,,,,,,,,,,-500000.000,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,-64975000.000,-5707000.000,-6571000.000,0.000,0.000,-1911000.000,0.000,0.000,,-30900000.000,-54900000.000,,,,,,,,-4500000.000
GoodwillAcquiredDuringPeriod,,,,,,,,,,,,,,,,,500000.000,,,,,,
GoodwillAllocationAdjustment,,,,,-2490000.000,,,,,,,,,,,,,,,,,,
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,-3900000.000,,
GoodwillPeriodIncreaseDecrease,,,,,1093935000.000,,,,,,,,-15800000.000,,,,,,,,,,
GoodwillPurchaseAccountingAdjustments,,,,,,,6887000.000,,356000.000,3536000.000,3829000.000,,1100000.000,,,,,,,,,,
GoodwillTranslationAdjustments,,,,,3180000.000,,,,2865000.000,,,,6700000.000,,,,-5100000.000,,,,,,
GoodwillTranslationAndPurchaseAccountingAdjustments,,,,,,,,,,,,,-7800000.000,,,,,,,,,,
GrossProfit,,,,,196976000.000,,,,,,,,,,,,,,,,,,
ImpairmentOfInvestments,,,,,,,,,,,,,,,,,200000.000,400000.000,600000.000,0.000,300000.000,200000.000,200000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,,,,,-92300000.000,100000.000,-76900000.000,9700000.000,-13700000.000,1600000.000,-3500000.000,-31300000.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,7752000.000,1925000.000,8514000.000,5517000.000,-80743000.000,-13973000.000,4991000.000,-78886000.000,-19362000.000,-28617000.000,-32416000.000,-62233000.000,-100900000.000,-600000.000,-72100000.000,9800000.000,-12500000.000,300000.000,-11500000.000,-44000000.000,22300000.000,20000000.000,27600000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,,,,,,,,,,,,-8600000.000,-700000.000,4800000.000,100000.000,1200000.000,-1300000.000,-8000000.000,-12700000.000,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3148000.000,-1069000.000,-2652000.000,-5276000.000,-53423000.000,-19998000.000,-8314000.000,-62830000.000,-27896000.000,-36315000.000,-43743000.000,-72523000.000,,,-53700000.000,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,1808000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,,,,,,,,,0.000,0.000,0.000,0.000,0.000,,,,,,0.000,,,,
IncomeTaxExpenseBenefit,4604000.000,2994000.000,11166000.000,10793000.000,-27320000.000,6025000.000,13305000.000,-16056000.000,8534000.000,7698000.000,11327000.000,10290000.000,9400000.000,-4300000.000,-18400000.000,4600000.000,2700000.000,11100000.000,7800000.000,-13100000.000,6600000.000,200000.000,600000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,,,,,,,,,,-4400000.000,-2000000.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,,,,-459000.000,-228000.000,-409000.000,-1168000.000,-666000.000,-943000.000,1063000.000,1537000.000,1100000.000,-300000.000,-100000.000,-100000.000,-100000.000,400000.000,500000.000,1900000.000,,400000.000,-1800000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,,-28257000.000,-4893000.000,1747000.000,-27643000.000,-6779000.000,-9943000.000,-11241000.000,-21896000.000,-35300000.000,-300000.000,-25300000.000,3600000.000,-4200000.000,-100000.000,-3900000.000,-15600000.000,,7100000.000,9600000.000
IncomeTaxReconciliationNondeductibleExpenseOther,,,,,910000.000,35000.000,25000.000,287000.000,192000.000,-64000.000,73000.000,558000.000,200000.000,100000.000,300000.000,100000.000,,500000.000,600000.000,,,200000.000,1500000.000
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,,,,,3668000.000,10912000.000,8175000.000,12821000.000,14939000.000,19840000.000,23021000.000,38542000.000,47300000.000,-5100000.000,8800000.000,8400000.000,7400000.000,10000000.000,5200000.000,5300000.000,,2400000.000,
IncomeTaxReconciliationOtherAdjustments,,,,,,,2021000.000,,,,,,,,,,,,,,,,
IncomeTaxReconciliationOtherReconcilingItems,,,,,323000.000,-264000.000,492000.000,,65000.000,65000.000,-20000.000,,600000.000,1300000.000,1700000.000,-6100000.000,200000.000,200000.000,5600000.000,-2900000.000,,-1000000.000,5800000.000
IncomeTaxReconciliationPriorYearIncomeTaxes,,,,,,,,,,,-514000.000,,,,,,,,,,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,,,,-3505000.000,463000.000,1254000.000,-413000.000,783000.000,1343000.000,-1055000.000,-7590000.000,-4500000.000,,-3800000.000,,-600000.000,100000.000,-200000.000,-1400000.000,,800000.000,600000.000
IncomeTaxesPaidNet,323000.000,,,,568000.000,,,,485000.000,,,,8700000.000,,,,4700000.000,,,,1900000.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-5268000.000,,,,41521000.000,,,,-32567000.000,,,,-46800000.000,,,,24500000.000,,,,5600000.000,,
IncreaseDecreaseInAccountsPayableRelatedParties,169000.000,,,,-993000.000,,,,-140000.000,,,,-200000.000,,,,100000.000,,,,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,,,,,,5600000.000,,,,1900000.000,,
IncreaseDecreaseInCustomerAdvances,10182000.000,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInDeferredRevenue,,,,,2899000.000,,,,24032000.000,,,,43200000.000,,,,49700000.000,,,,40900000.000,,
IncreaseDecreaseInOtherOperatingAssets,-201000.000,,,,1291000.000,,,,2307000.000,,,,5100000.000,,,,,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,,,,,,,,,,,,,,,12400000.000,,,,-9600000.000,,
IncreaseDecreaseInOtherOperatingLiabilities,20000.000,,,,-70000.000,,,,-1105000.000,,,,9500000.000,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,498000.000,,,,-4946000.000,,,,-1612000.000,,,,2100000.000,,,,-2200000.000,,,,,,
IncreaseDecreaseInReceivables,7141000.000,,,,16042000.000,,,,-5604000.000,,,,-4000000.000,,,,,,,,,,
IncreaseDecreaseInRestrictedCash,,,,,-22415000.000,,,,0.000,,,,,,,,,,,,,,
InterestCostsCapitalized,,,,,2960000.000,,,,,,,,,,,,,,,,,,
InterestExpense,9168000.000,11504000.000,14450000.000,15598000.000,62555000.000,52635000.000,49618000.000,37656000.000,51497000.000,50277000.000,49131000.000,52603000.000,-46900000.000,53400000.000,60700000.000,146800000.000,53800000.000,51200000.000,57700000.000,,,,63000000.000
InterestIncomeExpenseNonoperatingNet,,,,,,,,,,,,,,,-60700000.000,,-53800000.000,-51200000.000,-57700000.000,-57400000.000,-53300000.000,-53700000.000,-63000000.000
InterestPaid,18344000.000,,,,8062000.000,,,,74994000.000,,,,73600000.000,,,,29300000.000,,,,13200000.000,,
NetCashProvidedByUsedInContinuingOperations,,,,,61285000.000,,,,4162000.000,,,,-129400000.000,,,,38300000.000,,,,24200000.000,,
NetCashProvidedByUsedInDiscontinuedOperations,,,,,,,,,0.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-129000.000,,,,2377036000.000,,,,-2749000.000,,,,-5800000.000,,,,2600000.000,,,,-1700000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-129000.000,,,,2377036000.000,,,,-2749000.000,,,,-5800000.000,,,,2600000.000,,,,-1700000.000,,
NetCashProvidedByUsedInInvestingActivities,-28644000.000,,,,-2394821000.000,,,,-86966000.000,,,,-241800000.000,,,,-159500000.000,,,,-206800000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-28644000.000,,,,-2394821000.000,,,,-86966000.000,,,,-241800000.000,,,,-159500000.000,,,,-206800000.000,,
NetCashProvidedByUsedInOperatingActivities,24225000.000,,,,79070000.000,,,,93877000.000,,,,118200000.000,,,,195200000.000,,,,232700000.000,,
