,2016-03-31
AdvertisingExpense,24983.000
AllocatedShareBasedCompensationExpense,462140.000
AmortizationOfDebtDiscountPremium,6589.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-63870.000
Depreciation,870.000
EarningsPerShareBasicAndDiluted,-0.030
GeneralAndAdministrativeExpense,606199.000
IncreaseDecreaseInAccountsPayable,-25006.000
IncreaseDecreaseInAccountsReceivableRelatedParties,-10313.000
IncreaseDecreaseInAccruedLiabilities,59293.000
IncreaseDecreaseInDueToRelatedParties,-16725.000
IncreaseDecreaseInInterestPayableNet,32441.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,4338.000
InterestExpenseDebt,55798.000
InterestExpenseRelatedParty,1997.000
NetCashProvidedByUsedInFinancingActivities,190000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,190000.000
NetCashProvidedByUsedInOperatingActivities,-253870.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-253870.000
NetIncomeLoss,-779447.000
NonoperatingIncomeExpense,-64384.000
OperatingExpenses,715063.000
OperatingIncomeLoss,-715063.000
ProceedsFromLinesOfCredit,190000.000
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,23556.000
ResearchAndDevelopmentExpense,23405.000
SellingAndMarketingExpense,61903.000
ShareBasedCompensation,462140.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,27001222.000
