,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,,,,,59000.000
AllocatedShareBasedCompensationExpense,3073000.000,2507000.000,3904000.000,4717000.000,4244000.000,3992000.000,4279000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,4902998000.000,4843121.000,5882186.000,5612389.000,5165729.000,-11475671.000,6656552.000
CapitalExpendituresIncurredButNotYetPaid,,,3395000.000,,,,349000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,119295000.000,,,,-12640000.000
ComprehensiveIncomeNetOfTax,-12563000.000,-14653000.000,-19626000.000,-27938000.000,-18838000.000,-25356000.000,-25476000.000
DefinedContributionPlanCostRecognized,,,,188000.000,167000.000,,
DepreciationDepletionAndAmortization,119000.000,182000.000,386000.000,874000.000,1251000.000,1694000.000,1730000.000
EarningsPerShareBasicAndDiluted,-1.450,-0.380,-0.500,-0.700,-0.460,-0.640,-0.630
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersNet,0.000,,0.000,,0.000,,0.000
FairValueOptionChangesInFairValueGainLoss1,-220000.000,,,,,,
GeneralAndAdministrativeExpense,3556000.000,4711000.000,7210000.000,8970000.000,7967000.000,8469000.000,8762000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-12555000.000,-14620000.000,,,,,
IncomeTaxExpenseBenefit,0.000,0.000,0.000,,,,0.000
IncreaseDecreaseInAccountsPayable,,,1331000.000,,,,-1916000.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,-806000.000,,,,-1135000.000
IncreaseDecreaseInDeferredRevenue,,,117290000.000,,,,-3015000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,1040000.000,,,,62000.000
IncreaseDecreaseInRestrictedCash,,,1000.000,,,,1000.000
InterestExpenseOther,,,56000.000,268000.000,312000.000,333000.000,
InterestIncomeExpenseNet,5000.000,-59000.000,,,,,
InterestIncomeOther,,,268000.000,495000.000,719000.000,747000.000,775000.000
InterestPaid,,,10000.000,,,,
NetCashProvidedByUsedInFinancingActivities,,,157000.000,,,,19000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,157000.000,,,,19000.000
NetCashProvidedByUsedInInvestingActivities,,,17723000.000,,,,12990000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,17723000.000,,,,12990000.000
NetCashProvidedByUsedInOperatingActivities,,,101415000.000,,,,-25649000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,101415000.000,,,,-25649000.000
NetIncomeLoss,-12555000.000,-14620000.000,-19704000.000,-27913000.000,-18688000.000,-25274000.000,-25474000.000
NonoperatingIncomeExpense,-215000.000,-59000.000,212000.000,227000.000,407000.000,414000.000,416000.000
OperatingExpenses,12340000.000,14561000.000,22626000.000,31144000.000,32110000.000,28725000.000,28905000.000
OperatingIncomeLoss,-12340000.000,-14561000.000,-19916000.000,-28140000.000,-19095000.000,-25688000.000,-25890000.000
OtherComprehensiveIncomeLossNetOfTax,-8000.000,-33000.000,78000.000,-25000.000,-150000.000,-82000.000,-2000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-8000.000,-33000.000,78000.000,-25000.000,-150000.000,-82000.000,-2000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,0.000,0.000,0.000,0.000,0.000,0.000,0.000
OtherNonoperatingIncomeExpense,,,,,,,-359000.000
PaymentsToAcquireInvestments,,,45301000.000,,,,22513000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,3400000.000,,,,2247000.000
ProceedsFromSaleMaturityAndCollectionsOfInvestments,,,66425000.000,,,,37751000.000
ResearchAndDevelopmentExpense,8784000.000,9850000.000,15416000.000,22174000.000,24143000.000,20256000.000,20143000.000
RevenueFromRelatedParties,,,2710000.000,3004000.000,13015000.000,3037000.000,3015000.000
Revenues,0.000,0.000,2710000.000,3004000.000,13015000.000,3037000.000,3015000.000
SalesRevenueNet,0.000,0.000,2710000.000,3004000.000,13015000.000,3037000.000,3015000.000
ShareBasedCompensation,,,3904000.000,,,,4279000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,,,74156.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,992625.000,,,,1287500.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,13.400,29.250,19.590,20.640,12.450,-34.230,6.930
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,1.150,,,,0.620
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,,,,22.730
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,27.520,,,,9.880
StockIssuedDuringPeriodSharesStockOptionsExercised,,,136685.000,,,,31125.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,8640218.000,38980839.000,39186130.000,39600344.000,40235623.000,-79175169.000,40368536.000
