,2013-12-31
AssetRetirementObligationLiabilitiesIncurred,1234.000
CostsAndExpenses,89593.000
CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves,173658.000
CostsIncurredAcquisitionOfUnprovedOilAndGasProperties,114430.000
CostsIncurredDevelopmentCosts,224581.000
CostsIncurredExplorationCosts,65112.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves10PercentAnnualDiscountForEstimatedTimingOfCashFlows,1310191.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureCashInflows,5034712.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureDevelopmentCosts1,-829692.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureNetCashFlows,2858464.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts1,-1346556.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesStandardizedMeasure,1548273.000
ExplorationAndProductionCosts,577781.000
FederalIncomeTaxExpenseBenefitContinuingOperations,0.000
GeneralAndAdministrativeExpense,39593.000
ImpairmentOfOilAndGasProperties,0.000
IncomeLossAttributableToParent,-89537.000
IncreaseDecreaseInDueToAffiliatesCurrent,39593.000
IncreaseDueToPurchasesOfMineralsInPlace,1548273.000
InvestmentIncomeInterest,56.000
NetCashProvidedByUsedInContinuingOperations,2263056.000
NetCashProvidedByUsedInFinancingActivities,2313000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2313000.000
NetCashProvidedByUsedInOperatingActivities,-49944.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-49944.000
NetIncomeLossPerOutstandingGeneralPartnershipUnitNetOfTax,-3447.590
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,-3447.590
OperatingIncomeLoss,-89593.000
OtherNonoperatingIncome,56.000
PartnersCapitalAccountContributions,2239828.000
PartnersCapitalAccountSaleOfUnits,2239828.000
PartnersCapitalAccountUnitsSaleOfUnits,25.505
ResultsOfOperationsIncomeBeforeIncomeTaxes,0.000
StandardizedMeasureOfDiscountedFutureNetCashFlowOfProvedOilAndGasReservesPeriodIncreaseDecrease,1548273.000
