,2011-09-30,2012-03-31,2012-09-30,2012-12-31,2013-09-30,2013-12-31,2014-03-31
CashPeriodIncreaseDecrease,23345.000,,140900.000,,-2336.000,,
EarningsPerShareBasic,,,0.000,-0.000,,-0.000,-0.000
EarningsPerShareBasicAndDiluted,-0.000,0.000,,,,,
ExplorationExpense,,,,65726.000,,,
ExplorationExpenseMining,,,,,18807.000,,
GeneralAndAdministrativeExpense,,,,9827.000,7646.000,7599.000,2737.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,-39907.000,-158158.000,-70340.000,-38623.000,-22054.000
IncomeTaxesPaid,0.000,,,,,,
IncreaseDecreaseInAccountsPayable,2200.000,,,,,,
IncreaseDecreaseInAccountsPayableTrade,,,29862.000,,42518.000,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,,,,,25000.000,,
IncreaseDecreaseInInterestPayableNet,,,945.000,,,,
IncreaseDecreaseInPrepaidExpense,,,,,486.000,,
InterestExpenseShortTermBorrowings,,,945.000,6575.000,18274.000,10527.000,41.000
InterestPaid,0.000,,,,,,
LegalFees,,,16089.000,,4053.000,894.000,7536.000
NetCashProvidedByUsedInFinancingActivities,35000.000,,150000.000,,25000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,35000.000,,150000.000,,25000.000,,
NetCashProvidedByUsedInOperatingActivities,-11655.000,,-9100.000,,-27336.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-11655.000,,-9100.000,,-27336.000,,
NetIncomeLoss,-13855.000,-3755.000,-39907.000,-158158.000,-70340.000,-38623.000,-22054.000
OperatingExpenses,,,38962.000,151583.000,52066.000,28096.000,22013.000
OperatingIncomeLoss,-13855.000,-3756.000,-38962.000,-151583.000,-52066.000,-28096.000,-22013.000
ProceedsFromIssuanceOfCommonStock,35000.000,,,,,,
ProceedsFromShortTermDebt,,,150000.000,,,,
ProfessionalFees,,,2500.000,3077.000,3495.000,7418.000,3212.000
SellingGeneralAndAdministrativeExpense,13855.000,3756.000,14497.000,,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,,10435.000,,
WeightedAverageNumberOfSharesOutstandingBasic,,,472500000.000,448598901.000,235000000.000,235000000.000,243470940.000
