,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AssetImpairmentCharges,1000000.000,,34000000.000,,8000000.000,,7000000.000,,1000000.000,,,,1000000.000,,,,13000000.000,,,,0.000,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,,,,0.360,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,,,,0.360,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,211000000.000,153000000.000,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,2196000000.000,2191000000.000,,,,,,,,,,,,,,,
BusinessCombinationConsiderationTransferred1,,,,,,,,,,,2650000000.000,,,,,,,,,,,,,,,
BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,,,,,,,,,,,,,,,,,,,,,6383000000.000,,,,,
CashAcquiredFromAcquisition,,,,,,,,,,,,,,,,,,,,,9000000.000,,,,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-4000000.000,,,,-225000000.000,,,,-259000000.000,,,,-55000000.000,,,,-422000000.000,,,,-597000000.000,,,,-221000000.000,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,,,,,-12000000.000,259000000.000,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,,,,,68000000.000,58000000.000,,,
CommonStockDividendsPerShareCashPaid,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.170,0.170,0.200,0.220,0.220,,,0.290,,0.290,0.290,0.310,0.310,0.310,0.310,0.310,0.310,0.310,0.310
ComprehensiveIncomeNetOfTax,134000000.000,104000000.000,164000000.000,,6000000.000,60000000.000,158000000.000,-218000000.000,172000000.000,218000000.000,202000000.000,843000000.000,179000000.000,318000000.000,959000000.000,-337000000.000,115000000.000,200000000.000,201000000.000,171000000.000,130000000.000,198000000.000,250000000.000,202000000.000,188000000.000,73000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,134000000.000,104000000.000,164000000.000,,,,,,,,,,,,,,,,,,,,,,,
