,2012-02-29,2012-05-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,,44932.000,48509.000,52374.000,28276.000,0.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,,740073.000,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-29073.000,,,,0.000,-351796.000,,,,180539.000,,,,-326241.000,,,,6481.000
CommunicationsAndInformationTechnology,,,,,,,0.000,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,,-412782.000,-490281.000,-822987.000,-1211809.000,,,-614998.000,,-627551.000,-1335865.000,-157932.000,953735.000,-89160.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,-10499.000,-4041.000,-8772.000,4884.000,,,-27213.000,,-10473.000,-5033.000,9769.000,-12119.000,0.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,-423281.000,-494322.000,-831759.000,-1206925.000,,,-642211.000,,-638024.000,-1340898.000,-148163.000,941616.000,-89160.000
DepreciationAndAmortization,,,,,,,,334.000,333.000,29409.000,40441.000,36938.000,36202.000,36414.000,35989.000,36819.000,37760.000,1360.000,661.000,0.000
DerivativeGainLossOnDerivativeNet,,,,,,,,15264.000,70097.000,75972.000,130329.000,-7274.000,-517.000,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,-6900.000,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,,0.000,,0.000,-0.020,-0.020,-0.020,-0.040,-0.020,-0.020,-0.020,0.000,-0.020,-0.040,0.000,0.030,-0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,-1017.000,,,,-35200.000,,,,10883.000,,,,312.000
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,,,,,,,,,,,,,,41347.000,,,,0.000
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,,,,,,-7114.000,-38481.000,,,,,,,,,,
FairValueAdjustmentOfWarrants,,,,,,,,37212.000,,,,7274.000,,,,,,,,
GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,14799.000
GainsLossesOnExtinguishmentOfDebt,,,,,36000.000,,0.000,,,,,,,,,,,,,
