,2013-09-03,2013-12-31,2014-03-25,2014-06-17,2014-09-09,2014-12-30,2015-03-24,2015-06-16,2015-09-08,2015-12-29,2016-03-22,2016-06-14,2016-09-06,2016-12-27,2017-03-21,2017-06-13
AccountsPayableCurrent,28108000.000,26764000.000,25500000.000,29493000.000,29184000.000,31948000.000,38979000.000,41606000.000,32152000.000,39487000.000,30121000.000,38401000.000,29277000.000,39260000.000,27811000.000,36736000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,2100000.000,2000000.000,2000000.000,,,,,,,,,10449000.000,15684000.000,19256000.000,13769000.000,18045000.000
AccruedIncomeTaxesCurrent,347000.000,455000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AccruedLiabilitiesCurrent,45509000.000,36772000.000,37984000.000,30032000.000,28661000.000,44424000.000,43136000.000,36028000.000,40563000.000,37441000.000,42553000.000,52719000.000,43164000.000,42539000.000,47667000.000,52124000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,388398000.000,405094000.000,416463000.000,430348000.000,443026000.000,465775000.000,481374000.000,496301000.000,516322000.000,541960000.000,560669000.000,579029000.000,597411000.000,612768000.000,631963000.000,643699000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1660000.000,-1070000.000,-1389000.000,-923000.000,-1063000.000,-4290000.000,-4893000.000,-5557000.000,-7753000.000,-7249000.000,-7330000.000,-8109000.000,-8434000.000,-9638000.000,-8744000.000,-8063000.000
AdditionalPaidInCapitalCommonStock,149460000.000,320274000.000,313376000.000,314630000.000,300118000.000,293006000.000,285707000.000,286819000.000,269823000.000,263921000.000,255534000.000,248858000.000,250733000.000,235871000.000,228042000.000,230176000.000
AllowanceForDoubtfulAccountsReceivable,,3666000.000,,,,5424000.000,,,,5509000.000,,,,5111000.000,,
AllowanceForDoubtfulAccountsReceivableCurrent,3295000.000,3666000.000,3138000.000,3152000.000,3504000.000,5424000.000,5011000.000,5043000.000,5671000.000,5509000.000,5161000.000,5243000.000,5936000.000,5111000.000,5004000.000,4946000.000
AllowanceForNotesAndLoansReceivableNoncurrent,652000.000,724000.000,632000.000,646000.000,659000.000,704000.000,706000.000,752000.000,758000.000,805000.000,856000.000,621000.000,663000.000,618000.000,533000.000,594000.000
