,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,-292544.000,,,,,,,
CashPeriodIncreaseDecrease,,,-461765.000,,,,-289990.000,
CostOfGoodsSold,3299702.000,2776937.000,1820350.000,2058776.000,1933611.000,2329391.000,1842165.000,1796853.000
Depreciation,,,,,,,17683.000,17662.000
DepreciationDepletionAndAmortization,2171.000,1681.000,2472.000,2518.000,2490.000,12058.000,17683.000,
EarningsPerShareBasicAndDiluted,0.010,0.010,0.010,0.000,0.000,-0.010,0.000,0.000
GrossProfit,321377.000,323281.000,360640.000,255928.000,235129.000,154863.000,518746.000,356764.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,117222.000,126102.000,165371.000,53364.000,45445.000,-104491.000,250065.000,95112.000
IncomeTaxExpenseBenefit,45673.000,43581.000,61286.000,11033.000,9584.000,-4248.000,77720.000,37237.000
IncomeTaxesPaid,43977.000,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-31999.000,,-69796.000,,,,-310744.000,
IncreaseDecreaseInAccountsReceivable,423537.000,,-110934.000,,,,81850.000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,53277.000,,,,1915.000,
IncreaseDecreaseInAccruedTaxesPayable,-6181.000,,,,,,,
IncreaseDecreaseInDeferredIncomeTaxes,,,,,,,1800.000,
IncreaseDecreaseInDeferredLeasingFees,9778.000,,,,,,,
IncreaseDecreaseInDueToOfficersAndStockholders,-7702.000,,,,,,,
IncreaseDecreaseInIncomeTaxesReceivable,-8053.000,,-8009.000,,,,,
IncreaseDecreaseInInventories,35217.000,,215612.000,,,,31697.000,
IncreaseDecreaseInOtherDeferredLiability,,,1352.000,,,,-1397.000,
IncreaseDecreaseInOtherOperatingAssets,13750.000,,45513.000,,,,422.000,
IncreaseDecreaseInPrepaidExpense,-8079.000,,-45513.000,,,,-77605.000,
InterestExpenseDebt,-7642.000,-6831.000,-5372.000,-5851.000,-8851.000,-17959.000,-8409.000,-12526.000
InterestPaid,9747.000,,3212.000,,,,6253.000,
InvestmentIncomeInterest,3.000,2.000,2.000,1.000,1.000,-1.000,1.000,1.000
MarketableSecuritiesUnrealizedGainLoss,-893.000,-2244.000,1415.000,-1286.000,740.000,995.000,618.000,522.000
NetCashProvidedByUsedInFinancingActivities,-36311.000,,-453043.000,,,,-129874.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-36311.000,,-453043.000,,,,-129874.000,
NetCashProvidedByUsedInInvestingActivities,-10187.000,,-2028.000,,,,-1136.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-10187.000,,-2028.000,,,,-1136.000,
NetCashProvidedByUsedInOperatingActivities,-246046.000,,-6694.000,,,,-158980.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-246046.000,,-6694.000,,,,-158980.000,
NetIncomeLoss,235664.000,82521.000,104085.000,42331.000,35861.000,-100243.000,172345.000,57875.000
OperatingExpenses,191006.000,186425.000,188842.000,192910.000,179084.000,230331.000,243208.000,231987.000
OperatingIncomeLoss,129156.000,135175.000,169326.000,60500.000,53555.000,-87526.000,257855.000,107115.000
OtherNonoperatingIncomeExpense,-11934.000,-9073.000,-3955.000,-7136.000,-8110.000,-16965.000,-7790.000,-12003.000
PaymentsForProceedsFromInvestments,,,2028.000,,,,-1261.000,
PaymentsForRepurchaseOfCommonStock,1104.000,,947.000,,,,1235.000,
PaymentsToAcquirePropertyPlantAndEquipment,11291.000,,,,,,2397.000,
ProceedsFromRepaymentsOfLinesOfCredit,-27505.000,,-450425.000,,,,-108437.000,
ProceedsFromSaleOfShortTermInvestments,1104.000,,,,,,,
RepaymentsOfOtherDebt,,,,,,,-20202.000,
RepaymentsOfRelatedPartyDebt,,,1671.000,,,,,
Revenues,3621079.000,3100218.000,2180990.000,2314704.000,2168740.000,2484254.000,2360911.000,2153617.000
SalesRevenueNet,3621079.000,3100218.000,2180990.000,2314704.000,2168740.000,2484254.000,2360911.000,2153617.000
SellingGeneralAndAdministrativeExpense,191006.000,186425.000,188842.000,192910.000,179084.000,230331.000,243208.000,231987.000
WeightedAverageNumberOfDilutedSharesOutstanding,8470481.000,8470481.000,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,8470481.000,8470481.000,169409620.000,-16940962.000,169409620.000,169409620.000
WeightedAverageNumberOfSharesOutstandingBasic,8470481.000,8470481.000,,,,,,
