,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,,,4470.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,4905.000,1062.000,-3119.000
CostOfGoodsSold,,65177.000,58634.000,83319.000
CostsAndExpenses,,,,-33713.000
DebtInstrumentDecreaseForgiveness,,,,9660.000
DepreciationDepletionAndAmortization,,275.000,367.000,367.000
EarningsPerShareBasic,,-0.000,-0.000,0.010
GainLossOnInvestments,,,,-33713.000
GainLossOnSaleOfEquityInvestments,,,,33713.000
GainsLossesOnSalesOfAssets,,72857.000,86536.000,153758.000
GeneralAndAdministrativeExpense,,9763.000,35606.000,54233.000
GrossProfit,,7680.000,27902.000,70439.000
IncomeLossFromContinuingOperations,,,,-519456.000
IncreaseDecreaseInAccountsPayableRelatedParties,,5635.000,8425.000,16260.000
IncreaseDecreaseInAccruedInvestmentIncomeReceivable,,,,-33713.000
IncreaseDecreaseInDeferredRevenue,,2225.000,-2225.000,
IncreaseDecreaseInInventories,,-1871.000,-15600.000,-30650.000
IncreaseDecreaseInNotesReceivableCurrent,,,,-10000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,-152.000,-1181.000,-10177.000
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,500000.000
LaborAndRelatedExpense,,,,500000.000
NetCashProvidedByUsedInFinancingActivities,,23158.000,63972.000,68000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,23158.000,63972.000,68000.000
NetCashProvidedByUsedInInvestingActivities,,-1100.000,,-33713.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-1100.000,,-33713.000
NetCashProvidedByUsedInOperatingActivities,,-17153.000,-62910.000,-37406.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-17153.000,-62910.000,-37406.000
NetIncomeLoss,,-27265.000,-57166.000,-553169.000
OperatingExpenses,,34945.000,85068.000,589895.000
PaymentsForPurchaseOfOtherAssets1,,1100.000,,
ProceedsFromContributedCapital,,500.000,,
ProceedsFromIssuanceOfCommonStock,,,47630.000,78000.000
ProceedsFromRelatedPartyDebt,,22658.000,30000.000,
ProfessionalFees,,25182.000,49462.000,35662.000
ProfitLoss,,-27265.000,-57166.000,-553169.000
RepaymentOfNotesReceivableFromRelatedParties,,,-13658.000,
RevenueFromRelatedParties,,51622.000,56114.000,25260.000
Revenues,,21235.000,30422.000,128498.000
SalesRevenueNet,,21235.000,30422.000,128498.000
ShareBasedCompensation,,,340.000,6250.000
StockIssuedDuringPeriodSharesIssuedForServices,,10000000.000,47630.000,506250.000
StockIssuedDuringPeriodValueIssuedForServices,,1000.000,,
StockIssuedDuringPeriodValueOther,,,,78000.000
WeightedAverageNumberOfSharesOutstandingBasic,,42438356.000,40314219.000,65733479.000
