,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdjustmentsToAdditionalPaidInCapitalOther,554300.000,,,
AdvertisingExpense,,0.000,,
AmortizationOfAcquisitionCosts,,,35000.000,35000.000
CashPeriodIncreaseDecrease,9833.000,-7283.000,2583.000,-2639.000
CurrentFederalTaxExpenseBenefit,,,97000.000,44000.000
EarningsPerShareBasicAndDiluted,-0.010,-0.005,-0.020,-0.003
EffectiveIncomeTaxRateContinuingOperations,,,0.340,0.340
GeneralAndAdministrativeExpense,87908.000,69064.000,42590.000,28817.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-113694.000,8163.000,2135.000,-15451.000
IncreaseDecreaseInDueToRelatedParties,-226130.000,192136.000,,
IncreaseDecreaseInOtherLoans,-17472.000,18862.000,,
InterestPaidNet,10292.000,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,-200.000,,171500.000,25000.000
ManagementFeeExpense,,60000.000,60000.000,60000.000
NetCashProvidedByUsedInFinancingActivities,-7.000,2073.000,114943.000,80904.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-7.000,2073.000,114943.000,80904.000
NetCashProvidedByUsedInOperatingActivities,9840.000,9356.000,-112360.000,-83543.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,9840.000,9356.000,-112360.000,-83543.000
NetIncomeLoss,-244512.000,-190793.000,-810995.000,-131992.000
OperatingExpenses,244512.000,190793.000,285995.000,131992.000
OperatingIncomeLoss,-244512.000,-190793.000,-285995.000,-131992.000
PaymentsForCommissions,-42000.000,,,
PaymentsToAcquireMiningAssets,,100000.000,,
ProceedsFromRelatedPartyDebt,,,135107.000,85521.000
ProceedsFromRepaymentsOfDebt,,-6486.000,,
ProfessionalFees,6000.000,30729.000,11905.000,18175.000
RepaymentsOfLongTermDebt,7.000,-8559.000,,1852.000
RepaymentsOfShortTermDebt,,,20164.000,2765.000
StockIssuedDuringPeriodValueAcquisitions,2500.000,,,
StockIssuedDuringPeriodValuePurchaseOfAssets,25000.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,38421362.000,38421362.000,39341910.000,42234096.000
