,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,9433.000,,,,9796.000,,,,14271.000,,,
EarningsPerShareBasicAndDiluted,-0.020,0.000,0.000,-0.010,-0.010,-0.080,0.000,-0.010,0.000,-0.010,0.000,0.000,-0.010,-0.010
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,1500.000,,,,3000.000,,,,,,,
IncreaseDecreaseInInterestPayableNet,,,4000.000,,,,6700.000,,,,7100.000,,,
InterestExpense,41038.000,4001.000,4000.000,5000.000,20480.000,364100.000,6700.000,6900.000,6900.000,6900.000,7100.000,7000.000,7100.000,7800.000
NetCashProvidedByUsedInFinancingActivities,,,14541.000,,,,12500.000,,,,18400.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,14541.000,,,,12500.000,,,,18400.000,,,
NetCashProvidedByUsedInOperatingActivities,,,-5108.000,,,,-2704.000,,,,-4129.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-5108.000,,,,-2704.000,,,,-4129.000,,,
NetIncomeLoss,-48194.000,-6146.000,-10608.000,-16945.000,-37097.000,-230517.000,-12404.000,-20620.000,-11379.000,-15064.000,-11229.000,-13277.000,-22600.000,-17926.000
OperatingExpenses,7156.000,2145.000,6608.000,11945.000,16617.000,10343.000,5704.000,13720.000,4479.000,8164.000,4129.000,6277.000,15500.000,10126.000
OperatingIncomeLoss,-7156.000,-2145.000,-6608.000,-11945.000,-16617.000,-10343.000,-5704.000,-13720.000,-4479.000,-8164.000,-4129.000,-6277.000,-15500.000,-10126.000
ProceedsFromConvertibleDebt,,,1541.000,,,,,,,,,,,
ProceedsFromNotesPayable,,,13000.000,,,,12500.000,,,,18400.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,2970954.000,2970954.000,2970954.000,-5941908.000,2970954.000,2970954.000,2970954.000,-5941708.000
