,2011-06-30,2011-09-30
AccountsPayableCurrent,6819000.000,6949000.000
AccountsReceivableGrossCurrent,45703000.000,39364000.000
AccountsReceivableNetCurrent,43929000.000,37897000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,4422000.000,1606000.000
AdditionalPaidInCapitalCommonStock,152268000.000,161389000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1774000.000,1467000.000
Assets,406109000.000,382941000.000
AssetsCurrent,315115000.000,294853000.000
CashAndCashEquivalentsAtCarryingValue,121792000.000,108299000.000
CommonStockValue,36000.000,36000.000
ConvertibleDebtNoncurrent,175000000.000,175000000.000
DeferredRevenueCurrent,97792000.000,94889000.000
DeferredRevenueNoncurrent,2355000.000,2256000.000
DeferredTaxAssetsNetCurrent,3810000.000,3801000.000
DeferredTaxAssetsNetNoncurrent,16756000.000,16507000.000
Goodwill,32392000.000,29825000.000
IntangibleAssetsNetExcludingGoodwill,19512000.000,18234000.000
Liabilities,306907000.000,301784000.000
LiabilitiesAndStockholdersEquity,406109000.000,382941000.000
LiabilitiesCurrent,129106000.000,124123000.000
MarketableSecuritiesCurrent,134133000.000,133152000.000
OtherAccruedLiabilitiesCurrent,18465000.000,16796000.000
OtherAssetsNoncurrent,4365000.000,5012000.000
OtherLiabilitiesNoncurrent,446000.000,405000.000
PrepaidExpenseAndOtherAssetsCurrent,5488000.000,5447000.000
PropertyPlantAndEquipmentNet,13003000.000,13603000.000
RetainedEarningsAccumulatedDeficit,-28375000.000,-26843000.000
StockholdersEquity,99202000.000,81157000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,99202000.000,81157000.000
TreasuryStockValue,29149000.000,55031000.000
