,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableCurrent,243215000.000,247295000.000,251253000.000,247676000.000,239150000.000
AccountsReceivableNetCurrent,502833000.000,498291000.000,485138000.000,486413000.000,547671000.000
AccruedEnvironmentalLossContingenciesCurrent,,,2316000.000,,
AccruedEnvironmentalLossContingenciesNoncurrent,,,19026000.000,,
AccruedInsuranceCurrent,,,108530000.000,,
AccruedLiabilitiesCurrent,269334000.000,266906000.000,269402000.000,260603000.000,270621000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,1895551000.000,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,-1673000.000,-13024000.000,-43001000.000,-25415000.000,26108000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1673000.000,-13024000.000,-43001000.000,-25415000.000,26108000.000
AdditionalPaidInCapitalCommonStock,92792000.000,97418000.000,102220000.000,96745000.000,102479000.000
AllowanceForDoubtfulAccountsReceivableCurrent,14083000.000,14033000.000,13160000.000,12007000.000,14947000.000
AssetRetirementObligation,236825000.000,241187000.000,244909000.000,224021000.000,225641000.000
AssetRetirementObligationLegallyRestrictedAssetsFairValue,55200000.000,55452000.000,55388000.000,56063000.000,57135000.000
Assets,11093552000.000,11187693000.000,11193102000.000,11469432000.000,11655363000.000
AssetsCurrent,734068000.000,784633000.000,832569000.000,877343000.000,1049196000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,6339000.000,14585000.000,8731000.000
BankOverdrafts,14341000.000,18363000.000,10955000.000,31027000.000,30585000.000
BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount,,,,10297000.000,11111000.000
BusinessCombinationAcquiredReceivablesEstimatedUncollectible,,,,741000.000,700000.000
BusinessCombinationAcquiredReceivablesGrossContractualAmount,,,,13739000.000,13964000.000
BusinessCombinationContingentConsiderationLiabilityCurrent,21920000.000,24338000.000,21453000.000,27562000.000,27097000.000
BusinessCombinationContingentConsiderationLiabilityNoncurrent,34604000.000,27351000.000,30373000.000,30765000.000,31218000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther,,,,2305000.000,2586000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,,,,12998000.000,13264000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesDeferredRevenue,,,,3176000.000,3176000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent,,,,59584000.000,50283000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,,,,152769000.000,154955000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,,,,,1080000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,,,,,487000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,,,,138831000.000,128298000.000
CashAndCashEquivalentsAtCarryingValue,55624000.000,119335000.000,154382000.000,268469000.000,399741000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,6454259.000,,
CommonStockSharesIssued,175037601.000,175140948.000,175426824.000,175753513.000,263637093.000
CommonStockSharesOutstanding,175037601.000,175140948.000,175201895.000,175556828.000,263425440.000
CommonStockValueOutstanding,4163374000.000,4170279000.000,4174808000.000,4179123000.000,4184489000.000
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,,,,-1384000.000,-1384000.000
DeferredCompensationShareBasedArrangementsLiabilityCurrent,,,3955000.000,,
DeferredFinanceCostsNet,,16721000.000,14282000.000,14273000.000,16440000.000
DeferredIncomeTaxLiabilities,,,946442000.000,,
DeferredRevenueAndCreditsCurrent,134257000.000,130724000.000,134081000.000,139017000.000,140070000.000
DeferredTaxAssetsGross,,,182345000.000,,
DeferredTaxAssetsNet,,,167778000.000,,
DeferredTaxAssetsNetCurrent,86146000.000,82547000.000,89177000.000,64950000.000,82440000.000
DeferredTaxAssetsOther,,,10022000.000,,
DeferredTaxAssetsTaxCreditCarryforwards,,,43596000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,28994000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,68706000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsContingencies,,,20653000.000,,
DeferredTaxAssetsValuationAllowance,,,14567000.000,,
DeferredTaxLiabilities,,,778664000.000,,
DeferredTaxLiabilitiesDerivatives,,,2109000.000,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,,,383205000.000,,
DeferredTaxLiabilitiesNoncurrent,737946000.000,858697000.000,867841000.000,812648000.000,822209000.000
DeferredTaxLiabilitiesPrepaidExpenses,,,13244000.000,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,460878000.000,,
DerivativeFairValueOfDerivativeAsset,,12000.000,16943000.000,15040000.000,12599000.000
