,2011-09-30
AircraftMaintenanceMaterialsAndRepairs,43048000.000
AircraftRental,34920000.000
CargoAndFreightRevenue,47105000.000
CostsAndExpenses,289213000.000
DepreciationDepletionAndAmortization,22715000.000
EarningsPerShareBasic,-0.830
EarningsPerShareDiluted,-0.830
FuelCosts,85601000.000
GainLossOnInvestments,-501000.000
GeneralAndAdministrativeExpense,15340000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-36503000.000
IncomeTaxExpenseBenefit,-15004000.000
InterestExpense,12084000.000
InvestmentIncomeInterest,277000.000
LandingFeesAndOtherRentals,19425000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-21499000.000
NonoperatingIncomeExpense,-12358000.000
OperatingIncomeLoss,-24145000.000
OtherCostAndExpenseOperating,697000.000
OtherNonoperatingIncomeExpense,-50000.000
OtherSalesRevenueNet,11645000.000
PassengerRevenue,11768000.000
SalesRevenueServicesNet,265068000.000
SellingAndMarketingExpense,6862000.000
WeightedAverageNumberOfDilutedSharesOutstanding,26019901.000
WeightedAverageNumberOfSharesOutstandingBasic,26019901.000
