,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentForAmortization,73000000.000,,,,101000000.000,,,,,,,,,,,,,,,,,,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,111000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,38000000.000,43000000.000,39000000.000,41000000.000,42000000.000,40000000.000,120000000.000,46000000.000,,46000000.000,45000000.000,,49000000.000,50000000.000,48000000.000,66000000.000,54000000.000,59000000.000,63000000.000,59000000.000,47000000.000,54000000.000,48000000.000,56000000.000,,
AmortizationOfIntangibleAssets,,,,,,,,,216000000.000,,,,,,,,52000000.000,,,,44000000.000,,,,47000000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,43000000.000,27000000.000,11000000.000,-68000000.000,7000000.000,,,,1000000.000,,,,,,,,,10000000.000,,,,,,,,
AssetImpairmentCharges,15000000.000,,,,96000000.000,,,,3000000.000,,,,47000000.000,,,,13000000.000,,,,19000000.000,,,,2000000.000,141000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1628000000.000,,,,-3469000000.000,,,,-301000000.000,,,,1639000000.000,,,,723000000.000,,,,259000000.000,,,,-327000000.000,
CommonStockDividendsPerShareDeclared,0.330,0.330,0.330,0.340,0.340,0.340,0.340,0.350,0.350,0.350,0.350,0.360,0.360,0.360,0.360,0.370,0.370,0.370,0.370,0.380,0.380,0.380,0.380,0.390,0.390,0.390
ComprehensiveIncomeNetOfTax,943000000.000,927000000.000,1076000000.000,82000000.000,1128000000.000,696000000.000,-688000000.000,673000000.000,680000000.000,1147000000.000,900000000.000,897000000.000,811000000.000,375000000.000,341000000.000,193000000.000,1195000000.000,113000000.000,484000000.000,-270000000.000,970000000.000,1055000000.000,1271000000.000,1126000000.000,1663000000.000,863000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,381000000.000,405000000.000,386000000.000,386000000.000,381000000.000,163000000.000,-2000000.000,-7000000.000,14000000.000,-6000000.000,,,-1000000.000,1000000.000,11000000.000,14000000.000,13000000.000,20000000.000,24000000.000,9000000.000,11000000.000,22000000.000,13000000.000,4000000.000,-48000000.000,6000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1324000000.000,1332000000.000,1462000000.000,468000000.000,1509000000.000,859000000.000,-690000000.000,666000000.000,694000000.000,1141000000.000,900000000.000,906000000.000,810000000.000,376000000.000,352000000.000,207000000.000,1208000000.000,133000000.000,508000000.000,-261000000.000,981000000.000,1077000000.000,1284000000.000,1130000000.000,1615000000.000,869000000.000
CostOfGoodsSold,1343000000.000,1481000000.000,1407000000.000,1367000000.000,1303000000.000,1245000000.000,987000000.000,1075000000.000,1063000000.000,1108000000.000,1175000000.000,1273000000.000,968000000.000,991000000.000,1007000000.000,966000000.000,847000000.000,1013000000.000,1097000000.000,952000000.000,1052000000.000,1206000000.000,1305000000.000,1383000000.000,1259000000.000,1562000000.000
CostsAndExpenses,3244000000.000,3644000000.000,3515000000.000,3860000000.000,3224000000.000,3384000000.000,4995000000.000,3678000000.000,3157000000.000,3518000000.000,3247000000.000,3572000000.000,2826000000.000,3441000000.000,2913000000.000,4318000000.000,2593000000.000,4111000000.000,3082000000.000,4697000000.000,2736000000.000,3256000000.000,3363000000.000,4157000000.000,2974000000.000,3849000000.000
CurrentIncomeTaxExpenseBenefit,,,,,,,,,,,,,96000000.000,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,177000000.000,,,,204000000.000,,,,-182000000.000,,,,110000000.000,,,,-7000000.000,,,,-246000000.000,,,,-70000000.000,
DeferredRevenueRevenueRecognized,,,,,,,,,111000000.000,,,,80000000.000,,,,81000000.000,,,,82000000.000,,,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate,,,,,,,,,,,,,0.042,,,,0.036,,,,,,,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1,,,,,,,,,,-101000000.000,-37000000.000,,,,,,,,,,,,,,,
DefinedContributionPlanCostRecognized,,,,,,,,,,,,,,,,,44000000.000,45000000.000,53000000.000,48000000.000,42000000.000,50000000.000,49000000.000,49000000.000,44000000.000,52000000.000
Depreciation,117000000.000,,,,85000000.000,,,,108000000.000,,,,138000000.000,,,,133000000.000,,,,103000000.000,,,,166000000.000,
DepreciationDepletionAndAmortization,,,,,,,,,213000000.000,,,,137000000.000,,,,104000000.000,,,,65000000.000,,,,193000000.000,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,,,259000000.000,-7000000.000,315000000.000,,154000000.000,8000000.000,208000000.000,,270000000.000,283000000.000,21000000.000,-10000000.000,127000000.000,
DividendsCommonStockCash,567000000.000,,,,575000000.000,,,,581000000.000,,,,598000000.000,,,,,,,,,,,,,
EarningsPerShareBasic,0.580,0.530,0.570,0.500,0.650,0.380,-0.430,0.570,0.370,0.330,0.420,0.440,0.570,0.200,0.430,0.010,0.710,-0.080,0.420,-0.110,0.720,0.700,0.720,0.530,0.950,0.560
EarningsPerShareDiluted,0.570,0.520,0.560,0.510,0.640,0.380,-0.430,0.570,0.370,0.320,0.420,0.430,0.560,0.200,0.430,0.010,0.710,-0.080,0.420,-0.120,0.710,0.690,0.720,0.530,0.940,0.560
EffectOfExchangeRateOnCashAndCashEquivalents,20000000.000,,,,7000000.000,,,,10000000.000,,,,2000000.000,,,,25000000.000,,,,11000000.000,,,,28000000.000,
EffectiveIncomeTaxRateContinuingOperations,0.226,0.270,0.260,-0.509,0.269,0.237,0.434,-1.009,0.076,,0.154,,0.050,0.254,0.270,-0.426,0.172,3.115,0.260,-3.332,0.271,0.264,0.221,-0.518,0.219,0.288
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,,,,0.350,,,,0.350,,,,0.350,,,,0.350,,,,0.350,,,,0.350,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,0.017,
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,,,,,,,,,0.064,,,,,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,13000000.000,15000000.000,13000000.000,15000000.000,14000000.000,14000000.000,38000000.000,16000000.000,16000000.000,18000000.000,13000000.000,17000000.000,16000000.000,17000000.000,16000000.000,22000000.000,18000000.000,20000000.000,20000000.000,19000000.000,15000000.000,19000000.000,16000000.000,19000000.000,,
ExtinguishmentOfDebtAmount,50000000.000,,,,80000000.000,,,,,,,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,,,,,81000000.000,,,,,,,,,,,,,,,,,,,,,
FairValueOptionChangesInFairValueGainLoss,,,,,5000000.000,,,,,,,,,,,,,,,,,,,,,
FairValueOptionChangesInFairValueGainLoss1,,,,,,,,,10000000.000,,,,,,,,,,,,,,,,,
GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,269000000.000,,,,,
GainLossOnSaleOfOtherAssets,,,12000000.000,,,,,,,,,,,,,,,,,,,,,,,
GainLossRelatedToLitigationSettlement,,,,,,,,,,22000000.000,-17000000.000,,-29000000.000,20000000.000,-10000000.000,-4000000.000,-12000000.000,-4000000.000,2000000.000,-145000000.000,-43000000.000,-6000000.000,1000000.000,1000000.000,484000000.000,5000000.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,,,,-180000000.000,,,,,,,,-109000000.000
