,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,67000.000,76000.000,77000.000,59000.000,68000.000,96000.000,89000.000,47000.000,99000.000,86000.000,89000.000,124000.000,83000.000,113000.000,233000.000,230000.000,224000.000,262000.000,232000.000,258000.000
AmortizationOfIntangibleAssets,106000.000,102000.000,141000.000,155000.000,161000.000,161000.000,161000.000,161000.000,161000.000,161000.000,,,160000.000,,,,133000.000,,,,166000.000,,,
BusinessCombinationAcquisitionRelatedCosts,17000.000,-375000.000,-281000.000,20000.000,-334000.000,13000.000,133000.000,,,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,,,,,,,,-7000.000,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,9000.000,5000.000,,4000.000,4000.000,1000.000,0.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-378000.000,,,,-155000.000,,,,-45000.000,,,,1123000.000,,,,-3065000.000,,,,-943000.000,,,
ContractRevenueCost,4867000.000,4672000.000,6154000.000,6249000.000,,,,,,,,,,,,,,,,,,,,
ContractsRevenue,6997000.000,6652000.000,8283000.000,8795000.000,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,,,,,10040000.000,9433000.000,8843000.000,10111000.000,10304000.000,10115000.000,10356000.000,11479000.000,11309000.000,11251000.000,10678000.000,10831000.000,10728000.000,12690000.000,11803000.000,11858000.000,14518000.000,14605000.000,14071000.000,15386000.000
DeferredIncomeTaxExpenseBenefit,63000.000,,,,359000.000,,,,233000.000,,,,11000.000,,,,-204000.000,,,,7000.000,,,
Depreciation,269000.000,,,,223000.000,,,,211000.000,,,,127000.000,,,,151000.000,,,,176000.000,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,1115000.000,129000.000,,87000.000,,1391000.000,,30000.000,,10000.000,,49000.000,46000.000,56000.000,56000.000,52000.000,54000.000,57000.000,51000.000,56000.000,135000.000,87000.000,83000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,,,,,,,,,,0.000,0.000,,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.010,0.000,0.010,0.010,-0.010
EarningsPerShareBasic,0.000,0.040,0.020,,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,,,,0.020,0.020,0.030,0.000,0.010,0.020,0.010,-0.000,0.000,-0.010,0.000,-0.020,-0.010,-0.010,-0.330,-0.030,0.000,0.000,-0.040,-0.110
EarningsPerShareDiluted,0.000,0.040,0.020,,,,,,,,,,,,,,,,,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,0.347,0.339,-0.290,,0.351,0.345,0.274,,0.299,-0.284,-0.741,,0.448,0.199,8.266,,-0.010,0.043,0.003,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,,,,,,,,,,,4000.000,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,-13000.000,,,
GrossProfit,6542000.000,6005000.000,5464000.000,5060000.000,6264000.000,6071000.000,5151000.000,5772000.000,6726000.000,6912000.000,6192000.000,6144000.000,6807000.000,7299000.000,6862000.000,7214000.000,7637000.000,7883000.000,7211000.000,7938000.000,9409000.000,9455000.000,8620000.000,9918000.000
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,,,0.000,0.000,,0.000,,0.000,,0.000,,,,0.000,,,
