,2012-12-28,2013-03-29,2013-06-28,2013-09-27,2014-04-04,2014-07-04,2015-01-02,2015-04-03,2015-07-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30
AmortizationOfFinancingCosts,,,,,,,,,,,,,,,800000.000
AmortizationOfIntangibleAssets,2730000.000,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,7542000.000,,,,,,7494000.000,,,,-3280000.000,,,,-5810000.000
ComprehensiveIncomeNetOfTax,988000.000,729000.000,5661000.000,3148000.000,5320000.000,4516000.000,2307000.000,-1758000.000,2095000.000,953000.000,-1589000.000,3112000.000,5331000.000,1513000.000,-502000.000
CostOfGoodsAndServicesSold,70603000.000,74503000.000,75704000.000,80511000.000,84901000.000,83502000.000,78051000.000,79096000.000,79831000.000,85103000.000,81784000.000,87807000.000,89820000.000,96179000.000,82533000.000
DepreciationDepletionAndAmortization,5885000.000,5495000.000,5058000.000,5189000.000,5784000.000,5821000.000,5902000.000,5826000.000,5812000.000,5779000.000,6718000.000,6651000.000,6561000.000,6504000.000,5676000.000
Dividends,,,,,,175000000.000,,,,,,,,,
DividendsCash,,,,,,175000000.000,,,,,,,,,
EffectiveIncomeTaxRateContinuingOperations,0.408,0.273,0.278,-0.627,0.346,7.996,0.168,-7.878,0.022,8.180,0.586,0.474,0.480,-0.958,0.590
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350,0.350,-0.700,0.350,0.350,0.350,0.350,0.350,-0.700,0.350,0.350,0.350,-0.700,0.350
GainsLossesOnRestructuringOfDebt,,,,,,-7235000.000,,,0.000,,,,,,
GeneralAndAdministrativeExpense,6167000.000,7411000.000,7227000.000,8229000.000,8137000.000,7754000.000,8189000.000,7473000.000,7572000.000,8295000.000,8118000.000,7364000.000,7650000.000,7912000.000,8165000.000
GoodwillPurchaseAccountingAdjustments,,,,,,1074000.000,,,,,,,,,
GrossProfit,26958000.000,27716000.000,33912000.000,29501000.000,36258000.000,35911000.000,32623000.000,28868000.000,29814000.000,34278000.000,28898000.000,32478000.000,39792000.000,37874000.000,32090000.000
IncomeLossFromContinuingOperations,,,6151000.000,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2453000.000,1789000.000,8517000.000,3536000.000,9014000.000,-496000.000,3586000.000,-98000.000,1246000.000,4990000.000,-2923000.000,901000.000,8674000.000,7091000.000,534000.000
IncomeTaxExpenseBenefit,1002000.000,489000.000,2366000.000,1549000.000,3117000.000,-3966000.000,603000.000,772000.000,27000.000,3383000.000,-1713000.000,427000.000,4161000.000,5122000.000,315000.000
IncomeTaxesPaidNet,178000.000,,,,,,-669000.000,,,,1061000.000,,,,4463000.000
InterestExpense,6861000.000,6853000.000,6753000.000,6770000.000,,,,,,,,,,,
InterestIncomeExpenseNet,,,,,-6863000.000,-9018000.000,-9039000.000,-9154000.000,-9119000.000,-9194000.000,-9723000.000,-9785000.000,-9800000.000,-9746000.000,-10786000.000
InterestPaid,1979000.000,,,,,,3416000.000,,,,3991000.000,,,,3886000.000
NetCashProvidedByUsedInFinancingActivities,-3200000.000,,,,,,-775000.000,,,,-5138000.000,,,,-12461000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-3200000.000,,,,,,-775000.000,,,,-5138000.000,,,,-12461000.000
NetCashProvidedByUsedInInvestingActivities,-1603000.000,,,,,,-1651000.000,,,,-2288000.000,,,,-2248000.000
