,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment,,,,7060000.000,6888000.000
AmortizationOfDebtDiscountPremium,,,157000.000,,
AmortizationOfFinancingCosts,,,385000.000,,
AssetImpairmentCharges,,,,0.000,4500000.000
CapitalExpendituresIncurredButNotYetPaid,,,-82000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,450000.000,,
DepreciationAndAmortization,2623000.000,2632000.000,2515000.000,2519000.000,2541000.000
DerivativeInstrumentsGainRecognizedInIncome,759000.000,799000.000,,,
GainLossOnSaleOfPropertyPlantEquipment,-588000.000,-923000.000,-9000.000,1929000.000,-9000.000
GainLossRelatedToLitigationSettlement,900000.000,,,,
ImpairmentOfLongLivedAssetsHeldForUse,,,,,4517000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-4699000.000,-6238000.000,-9825000.000,-6446000.000,-13688000.000
IncomeTaxExpenseBenefit,476000.000,480000.000,570000.000,539000.000,201000.000
IncomeTaxesPaidNet,,,1000.000,,
IncreaseDecreaseInAccountsPayable,,,-87000.000,,
IncreaseDecreaseInAccountsReceivable,,,-1330000.000,,
IncreaseDecreaseInAccruedLiabilities,,,-129000.000,,
IncreaseDecreaseInDeferredIncomeTaxes,,,-518000.000,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,,,49000.000,,
IncreaseDecreaseInEmployeeRelatedLiabilities,,,667000.000,,
IncreaseDecreaseInInterestPayableNet,,,1379000.000,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,151000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,313000.000,,
InterestAndOtherIncome,31000.000,46000.000,14000.000,114000.000,28000.000
InterestExpense,12540000.000,12119000.000,11818000.000,11970000.000,12000000.000
InterestPaidNet,,,9878000.000,,
NetCashProvidedByUsedInFinancingActivities,,,5357000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,5357000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-452000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-452000.000,,
NetCashProvidedByUsedInOperatingActivities,,,-4455000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-4455000.000,,
OperatingExpenses,24503000.000,25425000.000,25606000.000,25581000.000,32255000.000
OperatingIncomeLoss,7051000.000,5036000.000,1979000.000,6470000.000,-179000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,516000.000,,
ProceedsFromBankDebt,,,5900000.000,,
ProceedsFromCollectionOfLoansReceivable,,,64000.000,,
ProfitLoss,-5175000.000,-6718000.000,-10395000.000,-6985000.000,-13889000.000
ProvisionForDoubtfulAccounts,,,384000.000,,
RepaymentsOfBankDebt,,,543000.000,,
Revenues,31554000.000,30461000.000,27585000.000,32051000.000,32076000.000
SalesRevenueNet,31554000.000,30461000.000,27585000.000,32051000.000,32076000.000
SellingGeneralAndAdministrativeExpense,11389000.000,10640000.000,11540000.000,11008000.000,11919000.000
UnrecognizedTaxBenefitsPeriodIncreaseDecrease,,,,,0.000
