,2012-04-30,2013-04-30,2014-04-30,2015-04-30,2016-04-30,2017-04-30
CashAcquiredFromAcquisition,0.000,0.000,0.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,52873.000,-56972.000,54285.000,-57131.000,-10800.000,12027.000
ComprehensiveIncomeNetOfTax,,,-1944222.000,-1305005.000,-839773.000,
DepreciationAndAmortization,84303.000,103995.000,99895.000,74615.000,69765.000,44366.000
EarningsPerShareBasic,-1743848.000,-0.010,-0.010,-0.010,,
EarningsPerShareBasicAndDiluted,,,,,0.000,0.000
ExplorationExpense,,,,87974.000,69803.000,69522.000
ExplorationExpenseMining,,,,423731.000,282968.000,221774.000
GainLossOnSaleOfPropertyPlantEquipment,,-11500.000,0.000,,,
GainLossRelatedToLitigationSettlement,,,,-19142.000,0.000,-106966.000
GainsLossesOnExtinguishmentOfDebt,,-1613.000,0.000,6133.000,0.000,
GeneralAndAdministrativeExpense,,,,129133.000,115113.000,109434.000
ImpairmentOfIntangibleAssetsExcludingGoodwill,,150000.000,0.000,159610.000,0.000,
IncomeTaxesPaid,0.000,0.000,0.000,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayableRelatedParties,85000.000,60000.000,58567.000,70651.000,108731.000,70793.000
IncreaseDecreaseInAccountsPayableTrade,5844.000,75663.000,60188.000,54081.000,-26409.000,-31948.000
IncreaseDecreaseInAccruedLiabilities,-17000.000,-5000.000,,,,
IncreaseDecreaseInDeferredLeasingFees,,-35804.000,10405.000,12881.000,0.000,
IncreaseDecreaseInDueToRelatedPartiesCurrent,11815.000,56616.000,55469.000,34205.000,64646.000,110279.000
IncreaseDecreaseInOtherAccruedLiabilities,3050.000,20401.000,23959.000,23544.000,21442.000,24095.000
IncreaseDecreaseInOtherCurrentLiabilities,,,2540.000,-2540.000,0.000,
IncreaseDecreaseInOtherOperatingAssets,22202.000,-4489.000,4977.000,-7587.000,0.000,
IncreaseDecreaseInPrepaidExpense,-10759.000,-1216.000,-3000.000,-7500.000,0.000,6086.000
InterestAndOtherIncome,160.000,0.000,12.000,0.000,,
InterestExpense,15967.000,79557.000,81110.000,60993.000,26835.000,24250.000
InterestExpenseRelatedParty,,,,,64646.000,113089.000
InterestPaid,1005.000,2540.000,681.000,954.000,714.000,1.000
MarketableSecuritiesGainLoss,,,,-150253.000,0.000,13199.000
MarketableSecuritiesRealizedGainLossOtherThanTemporaryImpairmentsAmount,,,,528000.000,55352.000,0.000
MarketableSecuritiesUnrealizedGainLoss,,,-500000.000,0.000,,
NetCashProvidedByUsedInFinancingActivities,1663151.000,682717.000,758777.000,518000.000,505000.000,466000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1663151.000,682717.000,758777.000,518000.000,505000.000,466000.000
NetCashProvidedByUsedInInvestingActivities,-114407.000,11810.000,-120478.000,49747.000,0.000,40280.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-114407.000,11810.000,-120478.000,49747.000,0.000,40280.000
NetCashProvidedByUsedInOperatingActivities,-1495871.000,-751499.000,-584014.000,-624878.000,-515800.000,-494253.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1495871.000,-751499.000,-584014.000,-624878.000,-515800.000,-494253.000
NetIncomeLoss,-1743848.000,-1319011.000,-1444222.000,-1805005.000,-839773.000,-1015672.000
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,0.000,0.000,0.000,159610.000,0.000,
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,14000.000,0.000,0.000,0.000,,0.000
NonoperatingIncomeExpense,-15807.000,-79557.000,-81098.000,-60993.000,-91481.000,-137339.000
OperatingExpenses,1777272.000,1239454.000,1363124.000,1744012.000,748292.000,878333.000
OperatingIncomeLoss,-1728041.000,-1239454.000,-1363124.000,-1744012.000,-748292.000,-878333.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,-500000.000,500000.000,,
PaymentsToAcquireMineralRights,7110.000,-310.000,0.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,24242.000,0.000,103533.000,0.000,,
ProceedsFromIssuanceOfCommonStock,637140.000,0.000,345000.000,170000.000,0.000,57000.000
ProceedsFromOtherDebt,100000.000,148030.000,250000.000,10000.000,0.000,10000.000
ProceedsFromRepaymentsOfDebt,-83055.000,0.000,0.000,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,926011.000,534687.000,250.000,163000.000,505000.000,400000.000
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,,49747.000,0.000,40280.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,11500.000,0.000,,,
ProvisionForDoubtfulAccounts,,14041.000,0.000,720.000,1037.000,0.000
ReclassificationFromAociCurrentPeriodNetOfTaxAttributableToParent,,,,,0.000,
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,,,176967.000,154254.000,149903.000
RepaymentsOfRelatedPartyDebt,,,127.000,0.000,,1000.000
Revenues,49231.000,0.000,0.000,0.000,0.000,0.000
SalesRevenueNet,49231.000,0.000,0.000,0.000,0.000,0.000
ShareBasedCompensation,86408.000,0.000,218306.000,27974.000,7352.000,5161.000
StockIssuedDuringPeriodValueAcquisitions,0.000,0.000,0.000,0.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,228793634.000,238497469.000
WeightedAverageNumberOfSharesOutstandingBasic,170743450.000,185537251.000,197746182.000,220363455.000,,
