,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,18619.000,20084.000,25649.000,8983.000,6529.000,7675.000,10872.000,10539.000,4191.000,3551.000
Assets,15239304.000,15214449.000,15185554.000,15212149.000,15462436.000,15660075.000,15859539.000,16032582.000,15560486.000,16067089.000
CashAndCashEquivalentsAtCarryingValue,554426.000,657433.000,650690.000,792375.000,1098779.000,1454932.000,1750838.000,1847974.000,2131060.000,16031488.000
DividendsPayableCurrentAndNoncurrent,251024.000,251025.000,150615.000,0.000,0.000,0.000,0.000,,,
DueFromJointVentures,399147.000,291611.000,374623.000,366993.000,431192.000,399525.000,378631.000,374673.000,386127.000,0.000
DueToRelatedPartiesCurrentAndNoncurrent,8442.000,7748.000,8076.000,6189.000,5204.000,9371.000,8160.000,4072.000,7053.000,4131.000
EquityMethodInvestmentSummarizedFinancialInformationAssets,,,,,,,34908977.000,,,
EquityMethodInvestmentSummarizedFinancialInformationEquity,,,,,,,33323545.000,,,
EquityMethodInvestmentSummarizedFinancialInformationLiabilities,,,,,,,1585432.000,,,
EquityMethodInvestments,,14262961.000,14157721.000,14050261.000,13925445.000,13795598.000,13713800.000,13792712.000,13022178.000,0.000
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,14283287.000,,,,,,,,,
Liabilities,278085.000,278857.000,184340.000,15172.000,11733.000,17046.000,19032.000,14611.000,11244.000,7682.000
LiabilitiesAndStockholdersEquity,15239304.000,15214449.000,15185554.000,15212149.000,15462436.000,15660075.000,15859539.000,16032582.000,15560486.000,16067089.000
OtherAssets,2444.000,2444.000,2520.000,2520.000,7020.000,10020.000,16270.000,17223.000,21121.000,35601.000
PartnersCapital,14961219.000,14935592.000,15001214.000,15196977.000,15450703.000,15643029.000,15840507.000,16017971.000,15549242.000,16059407.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,14961219.000,14935592.000,15001214.000,15196977.000,15450703.000,15643029.000,15840507.000,16017971.000,15549242.000,16059407.000
