,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AdministrativeFeesExpense,,,,148721.000,
FloorBrokerageExchangeAndClearanceFees,4603077.000,3507794.000,2391993.000,1125659.000,
ForeignCurrencyTransactionGainLossUnrealized,,6686.000,5616.000,-59929.000,
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,,,,,1445721.000
GainLossOnSaleOfCommodityContracts,,,,,2280468.000
GainLossRelatedToLitigationSettlement,,0.000,,,
IncentiveFeeExpense,,,,782951.000,486201.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,-1.050
InterestIncomeOperating,,,,,6832.000
InvestmentIncomeInterest,31131.000,41509.000,22276.000,6237.000,
InvestmentIncomeNet,,,,,-2112435.000
ManagementFeeExpense,,,,,445382.000
NetIncomeLoss,1269385.000,-6263596.000,2901949.000,5158872.000,-666714.000
NetIncomeLossAllocatedToGeneralPartners,14595.000,-76753.000,35417.000,69374.000,-4878.000
NetIncomeLossAllocatedToLimitedPartners,1254790.000,-6186843.000,2866532.000,5089498.000,-661836.000
NetIncomeLossPerOutstandingGeneralPartnershipUnit,0.200,-1.250,0.850,,
NetIncomeLossPerOutstandingGeneralPartnershipUnitNetOfTax,,,,2.320,-0.340
NetIncomeLossPerOutstandingLimitedPartnershipUnit,0.200,-1.250,0.850,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,2.320,-0.340
NetRealizedOrUnrealizedGainLossOnTradingSecurities,,-1920363.000,5869664.000,7825895.000,
NoninterestExpenseInvestmentAdvisoryFees,1251170.000,876948.000,597998.000,467208.000,
NoninterestExpenseRelatedToPerformanceFees,0.000,,,,
OperatingExpenses,5854247.000,4384742.000,2989991.000,2673260.000,2119267.000
PartnersCapitalAccountRedemptions,-12495683.000,19736157.000,9054428.000,11236493.000,3264178.000
PartnersCapitalAccountUnitsRedeemed,-993900.324,1679265.122,768478.549,907519.038,225131.295
ProceedsFromLegalSettlements,0.000,,,,
RealizedInvestmentGainsLosses,8058605.000,-1128261.000,4765656.000,8548536.000,
TradingGainsLosses,,,,7825895.000,1445721.000
TradingSecuritiesRealizedGainLoss,,-1128261.000,4765656.000,8548536.000,
TradingSecuritiesUnrealizedHoldingGainLoss,,-792102.000,1104008.000,-722641.000,
UnrealizedGainLossOnCommodityContracts,,,,,-834747.000
UnrealizedGainLossOnInvestments,-966104.000,-792102.000,1104008.000,-722641.000,
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,6123882.782,4846874.575,3418522.950,2473873.456,2044032.244
