,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,0.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-104.000,,,
ComprehensiveIncomeNetOfTax,-45054.000,-61525.000,-31679.000,-223536.000
ConcentrationRiskPercentage1,1.000,,,
CostOfRevenue,74963.000,115094.000,89624.000,91546.000
DepreciationAndAmortization,,,2506.000,
EarningsPerShareBasicAndDiluted,0.000,,-0.000,
EffectOfExchangeRateOnCashAndCashEquivalents,-1629.000,,,
ForeignCurrencyTransactionGainLossUnrealized,5164.000,-2971.000,4792.000,10526.000
GeneralAndAdministrativeExpense,9852.000,24733.000,2851.000,26478.000
GrossProfit,24854.000,1789.000,44426.000,15307.000
IncreaseDecreaseInAccountsReceivable,11067.000,,,
IncreaseDecreaseInAccruedLiabilities,8947.000,,,
IncreaseDecreaseInDueToOfficersAndStockholders,23368.000,,,
IncreaseDecreaseInDueToRelatedParties,8226.000,,,
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,12185.000,,,
IncreaseDecreaseInInterestPayableNet,1204.000,,,
InterestExpense,1204.000,1218.000,1230.000,1231.000
NetCashProvidedByUsedInFinancingActivities,8880.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,8880.000,,,
NetCashProvidedByUsedInOperatingActivities,-7355.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-7355.000,,,
NetIncomeLoss,-50218.000,-58554.000,-36471.000,-234062.000
NonoperatingIncomeExpense,-5815.000,-4642.000,-8150.000,-12280.000
OfficersCompensation,18348.000,9059.000,52287.000,121747.000
OperatingExpenses,69256.000,55701.000,72747.000,237090.000
OperatingIncomeLoss,-44402.000,-53912.000,-28321.000,-221783.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,-50218.000,-58554.000,-36471.000,
ProceedsFromRelatedPartyDebt,1000.000,,,
ProfessionalFees,41056.000,21909.000,15103.000,9046.000
Revenues,99817.000,116883.000,134050.000,106853.000
SalesRevenueNet,99817.000,116883.000,134050.000,106853.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardDiscountFromMarketPriceOfferingDate,0.200,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,75000000.000,76626374.000,83539130.000,-152464545.000
