,2013-04-30,2013-07-31
AdditionalPaidInCapital,25955.000,25955.000
Assets,20192.000,5924.000
Cash,20192.000,5924.000
CashEquivalentsAtCarryingValue,20192.000,5924.000
CommonStockValue,4895.000,4895.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,13132.000,
DueToRelatedPartiesCurrent,2474.000,2474.000
Liabilities,2474.000,2474.000
LiabilitiesAndStockholdersEquity,20192.000,5924.000
LiabilitiesCurrent,2474.000,2474.000
RetainedEarningsAccumulatedDeficit,,-27400.000
StockholdersEquity,17718.000,3450.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,17718.000,3450.000
