,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AllocatedShareBasedCompensationExpense,,,,,,,500000.000,
AmortizationOfFinancingCosts,,,1740000.000,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,814000.000,
AssetImpairmentCharges,,,,,,,0.000,
CapitalExpendituresIncurredButNotYetPaid,,,56000.000,,,,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,48780000.000,,,,-6713000.000,
ComprehensiveIncomeNetOfTax,,,12534000.000,75921000.000,95948000.000,209681000.000,-12579000.000,92733000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,1592000.000,9187000.000,2505000.000,625000.000,-31000.000,200000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,14126000.000,85108000.000,98453000.000,210306000.000,-12610000.000,92933000.000
ConversionOfStockAmountConverted1,,,,,,,106000.000,
CostsAndExpenses,,,111815000.000,106802000.000,95155000.000,-24502000.000,56010000.000,62284000.000
CurrentIncomeTaxExpenseBenefit,,,,,,,-4000.000,
DepreciationAndAmortization,25890000.000,24680000.000,21703000.000,20740000.000,19100000.000,-77000.000,11901000.000,11740000.000
DepreciationDepletionAndAmortization,,,22052000.000,,,,14111000.000,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,21578000.000,20892000.000,18521000.000,18574000.000,19178000.000,385000.000,10362000.000,10280000.000
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,1830000.000,3226000.000,,3136000.000,3891000.000
DisposalGroupIncludingDiscontinuedOperationRentalIncome,,,,896000.000,1805000.000,,4642000.000,5163000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,963000.000,2360000.000,,8238000.000,8772000.000
DividendsPreferredStock,4766000.000,,,,,,,
EarningsPerShareBasic,2.420,0.510,0.100,1.320,1.570,3.780,-0.290,1.520
EarningsPerShareDiluted,,,,,,,-0.290,
GainLossOnSaleOfProperties,,,5192000.000,,,,0.000,
GainsLossesOnExtinguishmentOfDebt,,,,0.000,0.000,,,
GainsLossesOnSalesOfOtherRealEstate,63629000.000,10215000.000,5192000.000,16032000.000,45483000.000,40235000.000,0.000,111864000.000
GeneralAndAdministrativeExpense,5308000.000,5258000.000,5671000.000,6189000.000,5861000.000,6615000.000,5982000.000,13071000.000
ImpairmentOfLongLivedAssetsHeldForUse,,9330000.000,,0.000,0.000,,0.000,0.000
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,2121000.000,0.000,,,,
IncomeLossFromContinuingOperations,-30069000.000,-36443000.000,-7986000.000,-31969000.000,-26596000.000,75519000.000,-10956000.000,-18876000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,-36484000.000,-27476000.000,,-10995000.000,-18927000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-34623000.000,-41691000.000,-9589000.000,-36439000.000,-27438000.000,79759000.000,-10995000.000,-18927000.000
IncomeLossFromContinuingOperationsPerBasicShare,-0.710,-0.770,-0.250,-0.710,-0.560,1.350,-0.270,-0.400
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,-0.270,
IncomeLossFromDiscontinuedOperationsNetOfTax,173296000.000,72058000.000,20055000.000,116611000.000,122447000.000,130712000.000,-1454000.000,112024000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,153259000.000,63895000.000,17795000.000,103919000.000,119232000.000,134340000.000,-1450000.000,111783000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,3.130,1.280,0.350,2.030,2.130,2.430,-0.020,1.920
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,-0.020,
IncomeLossFromEquityMethodInvestments,-21000.000,204000.000,14229000.000,45000.000,38000.000,29000.000,0.000,0.000
IncomeTaxesPaid,,,,,,,1325000.000,
IncreaseDecreaseInAccountsAndOtherReceivables,,,381000.000,,,,168000.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,8778000.000,,,,354000.000,
IncreaseDecreaseInDeferredCompensation,,,,,,,504000.000,
IncreaseDecreaseInDeferredLeasingFees,,,974000.000,,,,689000.000,
IncreaseDecreaseInOtherOperatingAssets,,,2838000.000,,,,4145000.000,
IncreaseDecreaseInRestrictedCash,,,-3975000.000,,,,-2277000.000,
InterestExpense,56380000.000,54018000.000,53314000.000,49643000.000,40733000.000,-31649000.000,22206000.000,21711000.000
InterestPaidNet,,,38673000.000,,,,23165000.000,
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,,,,,,0.998,
ManagementFeesRevenue,1126000.000,2590000.000,1156000.000,626000.000,414000.000,216000.000,108000.000,0.000
MinorityInterestInNetIncomeLossOperatingPartnerships,15483000.000,2915000.000,657000.000,8222000.000,2373000.000,612000.000,-43000.000,190000.000
NetCashProvidedByUsedInFinancingActivities,,,-62000.000,,,,-3795000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-62000.000,,,,-3795000.000,
NetCashProvidedByUsedInInvestingActivities,,,42057000.000,,,,480000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,42057000.000,,,,480000.000,
NetCashProvidedByUsedInOperatingActivities,,,6785000.000,,,,-3398000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,6785000.000,,,,-3398000.000,
NetIncomeLoss,123190000.000,27452000.000,9809000.000,71950000.000,92636000.000,209859000.000,-12406000.000,92907000.000
NetIncomeLossAvailableToCommonStockholdersBasic,118424000.000,25595000.000,5172000.000,67312000.000,87999000.000,205221000.000,-17043000.000,88269000.000
NonoperatingGainsLosses,0.000,0.000,,,,,,
OperatingLeasesIncomeStatementLeaseRevenue,53639000.000,50881000.000,45135000.000,41549000.000,38352000.000,-1393000.000,26230000.000,24330000.000
OtherComprehensiveIncomeLossNetOfTax,,,,4936000.000,3444000.000,,-161000.000,-164000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,3660000.000,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,,,,-498000.000,-310000.000,,-161000.000,-164000.000
OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,,,-477000.000,,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,4137000.000,5434000.000,1819000.000,,0.000,0.000
OtherExpenses,1917000.000,1986000.000,1404000.000,3039000.000,1831000.000,-1260000.000,65000.000,-4000.000
OtherRealEstateRevenue,1800000.000,614000.000,13937000.000,385000.000,1481000.000,-175000.000,362000.000,288000.000
ParkingRevenue,9193000.000,8996000.000,8675000.000,8594000.000,7725000.000,2360000.000,5500000.000,5621000.000
PartnersCapitalAccountReturnOfCapital,,,25823000.000,,,,0.000,
PartnersCapitalAccountUnitsRedeemed,,,,1100000.000,,,,
PaymentsForCapitalImprovements,,,1823000.000,,,,1797000.000,
PaymentsToAcquireInterestInJointVenture,,,-82000.000,,,,,
PreferredStockDividendsAndOtherAdjustments,,,0.000,,,,0.000,
PreferredStockDividendsIncomeStatementImpact,,4637000.000,4637000.000,4638000.000,4637000.000,4638000.000,4637000.000,4638000.000
PreferredStockRedemptionDiscount,,2780000.000,,,0.000,,,
ProceedsFromPaymentsForOtherFinancingActivities,,,158000.000,,,,0.000,
ProceedsFromSaleOfRealEstateHeldforinvestment,,,14000000.000,,,,0.000,
ProfitLoss,138673000.000,30367000.000,10466000.000,80172000.000,95009000.000,210471000.000,-12449000.000,93097000.000
ProvisionForDoubtfulAccounts,,,348000.000,,,,94000.000,
RealEstateTaxExpense,7495000.000,7516000.000,6969000.000,6432000.000,6439000.000,268000.000,4055000.000,3950000.000
RecognitionOfDeferredRevenue,,,252000.000,,,,,
RepaymentsOfFirstMortgageBond,,,135000.000,,,,,
RepaymentsOfLongTermCapitalLeaseObligations,,,85000.000,,,,68000.000,
RepaymentsOfSecuredDebt,,,,,,,3727000.000,
Revenues,86420000.000,84016000.000,87997000.000,70318000.000,67679000.000,5177000.000,45015000.000,43357000.000
SalesRevenueNet,86420000.000,84016000.000,87997000.000,70318000.000,67679000.000,5177000.000,45015000.000,43357000.000
ShareBasedCompensation,,,444000.000,,,,518000.000,
StockIssuedDuringPeriodSharesConversionOfUnits,,,,1100000.000,,,,
StockIssuedDuringPeriodValueConversionOfUnits,,,,,,,0.000,
StockIssuedDuringPeriodValueShareBasedCompensation,,,444000.000,,,,460000.000,
StockRepurchasedDuringPeriodValue,,,,,,,90000.000,
StraightLineRent,,,,,,,915000.000,
TenantReimbursements,20662000.000,20935000.000,19094000.000,19164000.000,19707000.000,4169000.000,12815000.000,13118000.000
UnrealizedGainLossOnDerivatives,,,313000.000,,,,0.000,
UnrealizedGainLossOnInterestRateCashFlowHedgesPretaxAccumulatedOtherComprehensiveIncomeLoss,,,4137000.000,,,,0.000,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,,,,58086416.000,
WeightedAverageNumberOfSharesOutstandingBasic,49040268.000,49961007.000,51048621.000,51285961.000,56118506.000,-104409433.000,58086416.000,58314537.000
WriteOffOfDeferredDebtIssuanceCost,,0.000,,,,,,
