,2011-12-31,2012-06-30
AccountsPayableCurrent,166410.000,137768.000
AccountsReceivableNetCurrent,992.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,-47942.000,-16421.000
AdditionalPaidInCapital,10827070.000,11475856.000
Assets,98546.000,39513.000
AssetsCurrent,6029.000,2422.000
CashAndCashEquivalentsAtCarryingValue,5037.000,
CashEquivalentsAtCarryingValue,441.000,2422.000
CommonStockValueOutstanding,2400.000,4888.000
ConvertibleDebtCurrent,50000.000,
DebtCurrent,353306.000,281799.000
DueToRelatedPartiesCurrent,89426.000,138337.000
InterestAndDividendsPayableCurrent,26368.000,
InvestmentsAndOtherNoncurrentAssets,,2000.000
Liabilities,361424.000,288045.000
LiabilitiesAndStockholdersEquity,98546.000,39513.000
NotesAndLoansReceivableGrossNoncurrent,,14500.000
OtherAssets,71402.000,24502.000
OtherAssetsNoncurrent,71402.000,8002.000
OtherLongTermDebtNoncurrent,8118.000,6246.000
OtherShortTermBorrowings,,2000.000
PreferredStockParOrStatedValuePerShare,560000.000,0.000
PreferredStockValueOutstanding,178.000,0.000
PropertyPlantAndEquipmentNet,21115.000,12589.000
PropertyPlantAndEquipmentOther,69057.000,29010.000
RestrictedCashAndCashEquivalents,4596.000,
RetainedEarningsAccumulatedDeficit,-11115026.000,-11191776.000
ShortTermBankLoansAndNotesPayable,17503.000,
ShortTermNonBankLoansAndNotesPayable,3599.000,3694.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-262878.000,-248532.000
TreasuryStockValue,-537500.000,-537500.000
