,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccretionExpense,,,,,,,,,,,,,,,,,,,,,1000000.000,1000000.000,1000000.000,2000000.000,1000000.000,2000000.000
AccrualForEnvironmentalLossContingenciesPayments,,,,,,,,,,,,,,,,,,,,,3000000.000,,,,,
AccrualForEnvironmentalLossContingenciesPayments1,,,,,,,,,,,,,,,,,,,,,,,,,8000000.000,
AdditionsToNoncurrentAssets,,,,,720000000.000,,,,497000000.000,,,,,,,,,,,,,,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,298000000.000,,,,-366000000.000,,,,-370000000.000,,,,485000000.000,,,,472000000.000,,,,,,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,42000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AffiliateCosts,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,,20000000.000,18000000.000,,16000000.000,21000000.000,17000000.000,16000000.000,16000000.000,19000000.000
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,,-21000000.000,0.000,0.000,-28000000.000,0.000,,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,1000000.000,,,,4000000.000,,,,,,,,0.000,,,,,,,,,
AssetImpairmentCharges,,,,,,,,,,2261000000.000,3000000.000,,,13000000.000,5000000.000,,,,,,,,,,,
AssetRetirementObligationAccretionExpense,-14000000.000,,,,16000000.000,,,,18000000.000,,,,20000000.000,21000000.000,,,22000000.000,,,,23000000.000,23000000.000,19000000.000,10000000.000,25000000.000,25000000.000
